排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中粮期货,526599,560.0,2026-05-06,m2609,空单持仓,M
2,国投期货,357061,-9606.0,2026-05-06,m2609,空单持仓,M
3,广发期货,170986,-7431.0,2026-05-06,m2609,空单持仓,M
4,东证期货,137438,1866.0,2026-05-06,m2609,空单持仓,M
5,国泰君安,106342,5999.0,2026-05-06,m2609,空单持仓,M
6,中信期货,104809,7375.0,2026-05-06,m2609,空单持仓,M
7,永安期货,87835,1559.0,2026-05-06,m2609,空单持仓,M
8,中泰期货,70636,-885.0,2026-05-06,m2609,空单持仓,M
9,摩根大通,68403,-1167.0,2026-05-06,m2609,空单持仓,M
10,一德期货,68333,670.0,2026-05-06,m2609,空单持仓,M
11,华泰期货,46192,3151.0,2026-05-06,m2609,空单持仓,M
12,银河期货,45928,3451.0,2026-05-06,m2609,空单持仓,M
13,中金财富,42129,-19369.0,2026-05-06,m2609,空单持仓,M
14,西部期货,41402,-51.0,2026-05-06,m2609,空单持仓,M
15,五矿期货,41221,2154.0,2026-05-06,m2609,空单持仓,M
16,新湖期货,41184,-1185.0,2026-05-06,m2609,空单持仓,M
17,海通期货,37836,1541.0,2026-05-06,m2609,空单持仓,M
18,北京首创,33785,-244.0,2026-05-06,m2609,空单持仓,M
19,大地期货,28825,-223.0,2026-05-06,m2609,空单持仓,M
20,宏源期货,28041,-1312.0,2026-05-06,m2609,空单持仓,M
1,中粮期货,517546,-9053.0,2026-05-07,m2609,空单持仓,M
2,国投期货,353786,-3275.0,2026-05-07,m2609,空单持仓,M
3,广发期货,167185,-3801.0,2026-05-07,m2609,空单持仓,M
4,东证期货,141399,3961.0,2026-05-07,m2609,空单持仓,M
5,国泰君安,121138,14796.0,2026-05-07,m2609,空单持仓,M
6,中信期货,111171,6362.0,2026-05-07,m2609,空单持仓,M
7,永安期货,88034,199.0,2026-05-07,m2609,空单持仓,M
8,摩根大通,73856,5453.0,2026-05-07,m2609,空单持仓,M
9,中泰期货,70529,-107.0,2026-05-07,m2609,空单持仓,M
10,一德期货,68278,-55.0,2026-05-07,m2609,空单持仓,M
11,华泰期货,48316,2124.0,2026-05-07,m2609,空单持仓,M
12,中金财富,47007,4878.0,2026-05-07,m2609,空单持仓,M
13,银河期货,46988,1060.0,2026-05-07,m2609,空单持仓,M
14,西部期货,41180,-222.0,2026-05-07,m2609,空单持仓,M
15,新湖期货,40896,-288.0,2026-05-07,m2609,空单持仓,M
16,五矿期货,38877,-2344.0,2026-05-07,m2609,空单持仓,M
17,海通期货,36892,-944.0,2026-05-07,m2609,空单持仓,M
18,北京首创,33629,-156.0,2026-05-07,m2609,空单持仓,M
19,中信建投,29551,3902.0,2026-05-07,m2609,空单持仓,M
20,大地期货,28252,-573.0,2026-05-07,m2609,空单持仓,M
1,中粮期货,533291,15745.0,2026-05-08,m2609,空单持仓,M
2,国投期货,359828,6042.0,2026-05-08,m2609,空单持仓,M
3,广发期货,179556,12371.0,2026-05-08,m2609,空单持仓,M
4,东证期货,128602,-12797.0,2026-05-08,m2609,空单持仓,M
5,国泰君安,125448,4310.0,2026-05-08,m2609,空单持仓,M
6,中信期货,105602,-5569.0,2026-05-08,m2609,空单持仓,M
7,永安期货,90040,2006.0,2026-05-08,m2609,空单持仓,M
8,摩根大通,78237,4381.0,2026-05-08,m2609,空单持仓,M
9,一德期货,72153,3875.0,2026-05-08,m2609,空单持仓,M
10,中泰期货,70867,338.0,2026-05-08,m2609,空单持仓,M
11,华泰期货,48686,370.0,2026-05-08,m2609,空单持仓,M
12,银河期货,47750,762.0,2026-05-08,m2609,空单持仓,M
13,中金财富,42939,-4068.0,2026-05-08,m2609,空单持仓,M
14,西部期货,41275,95.0,2026-05-08,m2609,空单持仓,M
15,新湖期货,41006,110.0,2026-05-08,m2609,空单持仓,M
16,五矿期货,37516,-1361.0,2026-05-08,m2609,空单持仓,M
17,海通期货,35172,-1720.0,2026-05-08,m2609,空单持仓,M
18,北京首创,34143,514.0,2026-05-08,m2609,空单持仓,M
19,中信建投,29837,286.0,2026-05-08,m2609,空单持仓,M
20,大地期货,28137,-115.0,2026-05-08,m2609,空单持仓,M
