排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,254633,-24533.0,2026-05-06,m2609,成交量,M
2,国泰君安,221437,-24551.0,2026-05-06,m2609,成交量,M
3,中信期货,172035,-19721.0,2026-05-06,m2609,成交量,M
4,广发期货,71621,-9154.0,2026-05-06,m2609,成交量,M
5,南华期货,49314,-5205.0,2026-05-06,m2609,成交量,M
6,华泰期货,49218,7892.0,2026-05-06,m2609,成交量,M
7,中泰期货,45387,-604.0,2026-05-06,m2609,成交量,M
8,银河期货,42805,-4761.0,2026-05-06,m2609,成交量,M
9,海通期货,41266,-1542.0,2026-05-06,m2609,成交量,M
10,国联期货,38752,-2876.0,2026-05-06,m2609,成交量,M
11,中金财富,32355,16037.0,2026-05-06,m2609,成交量,M
12,摩根大通,31059,-10735.0,2026-05-06,m2609,成交量,M
13,国投期货,30891,-12099.0,2026-05-06,m2609,成交量,M
14,华闻期货,26810,-6871.0,2026-05-06,m2609,成交量,M
15,中粮期货,25719,-23619.0,2026-05-06,m2609,成交量,M
16,中信建投,25139,693.0,2026-05-06,m2609,成交量,M
17,兴证期货,24272,10532.0,2026-05-06,m2609,成交量,M
18,徽商期货,22094,-4327.0,2026-05-06,m2609,成交量,M
19,国信期货,18607,-774.0,2026-05-06,m2609,成交量,M
20,永安期货,17804,-10329.0,2026-05-06,m2609,成交量,M
1,东证期货,308501,53868.0,2026-05-07,m2609,成交量,M
2,国泰君安,260219,38782.0,2026-05-07,m2609,成交量,M
3,中信期货,203573,31538.0,2026-05-07,m2609,成交量,M
4,广发期货,85292,13671.0,2026-05-07,m2609,成交量,M
5,银河期货,56876,14071.0,2026-05-07,m2609,成交量,M
6,南华期货,54950,5636.0,2026-05-07,m2609,成交量,M
7,中泰期货,52117,6730.0,2026-05-07,m2609,成交量,M
8,五矿期货,45195,30409.0,2026-05-07,m2609,成交量,M
9,海通期货,43525,2259.0,2026-05-07,m2609,成交量,M
10,中粮期货,43016,17297.0,2026-05-07,m2609,成交量,M
11,国联期货,41589,2837.0,2026-05-07,m2609,成交量,M
12,华泰期货,39552,-9666.0,2026-05-07,m2609,成交量,M
13,中信建投,32623,7484.0,2026-05-07,m2609,成交量,M
14,徽商期货,31170,9076.0,2026-05-07,m2609,成交量,M
15,华闻期货,25716,-1094.0,2026-05-07,m2609,成交量,M
16,国信期货,25030,6423.0,2026-05-07,m2609,成交量,M
17,永安期货,24634,6830.0,2026-05-07,m2609,成交量,M
18,摩根大通,21309,-9750.0,2026-05-07,m2609,成交量,M
19,方正中期,20110,5932.0,2026-05-07,m2609,成交量,M
20,兴证期货,19987,-4285.0,2026-05-07,m2609,成交量,M
1,东证期货,319768,11267.0,2026-05-08,m2609,成交量,M
2,国泰君安,289112,28893.0,2026-05-08,m2609,成交量,M
3,中信期货,225543,21970.0,2026-05-08,m2609,成交量,M
4,广发期货,100201,14909.0,2026-05-08,m2609,成交量,M
5,华泰期货,67995,28443.0,2026-05-08,m2609,成交量,M
6,中泰期货,67847,15730.0,2026-05-08,m2609,成交量,M
7,银河期货,63141,6265.0,2026-05-08,m2609,成交量,M
8,南华期货,54038,-912.0,2026-05-08,m2609,成交量,M
9,中粮期货,51697,8681.0,2026-05-08,m2609,成交量,M
10,海通期货,45827,2302.0,2026-05-08,m2609,成交量,M
11,五矿期货,44379,-816.0,2026-05-08,m2609,成交量,M
12,国联期货,40509,-1080.0,2026-05-08,m2609,成交量,M
13,国投期货,38629,20251.0,2026-05-08,m2609,成交量,M
14,国信期货,34644,9614.0,2026-05-08,m2609,成交量,M
15,中信建投,31836,-787.0,2026-05-08,m2609,成交量,M
16,徽商期货,29047,-2123.0,2026-05-08,m2609,成交量,M
17,华闻期货,27673,1957.0,2026-05-08,m2609,成交量,M
18,国元期货,26945,15916.0,2026-05-08,m2609,成交量,M
19,摩根大通,26606,5297.0,2026-05-08,m2609,成交量,M
20,申银万国,20676,5944.0,2026-05-08,m2609,成交量,M
