排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,109402,1371.0,2026-05-06,MA2609,多单持仓,MA
2,中信期货,95246,2142.0,2026-05-06,MA2609,多单持仓,MA
3,东证期货,55253,7043.0,2026-05-06,MA2609,多单持仓,MA
4,浙商期货,23977,613.0,2026-05-06,MA2609,多单持仓,MA
5,永安期货,23349,301.0,2026-05-06,MA2609,多单持仓,MA
6,申银万国,21876,-250.0,2026-05-06,MA2609,多单持仓,MA
7,华泰期货,20899,-542.0,2026-05-06,MA2609,多单持仓,MA
8,南华期货,19626,308.0,2026-05-06,MA2609,多单持仓,MA
9,中金财富,18686,1569.0,2026-05-06,MA2609,多单持仓,MA
10,银河期货,12407,766.0,2026-05-06,MA2609,多单持仓,MA
11,乾坤期货,12276,-786.0,2026-05-06,MA2609,多单持仓,MA
12,渤海期货,10454,4827.0,2026-05-06,MA2609,多单持仓,MA
13,广发期货,9946,484.0,2026-05-06,MA2609,多单持仓,MA
14,国投期货,9636,1053.0,2026-05-06,MA2609,多单持仓,MA
15,五矿期货,8519,2938.0,2026-05-06,MA2609,多单持仓,MA
16,招商期货,8478,-106.0,2026-05-06,MA2609,多单持仓,MA
17,兴证期货,8249,2918.0,2026-05-06,MA2609,多单持仓,MA
18,华闻期货,8232,888.0,2026-05-06,MA2609,多单持仓,MA
19,中泰期货,8230,468.0,2026-05-06,MA2609,多单持仓,MA
20,中信建投,7709,1648.0,2026-05-06,MA2609,多单持仓,MA
1,国泰君安,111461,2059.0,2026-05-07,MA2609,多单持仓,MA
2,中信期货,92523,-2723.0,2026-05-07,MA2609,多单持仓,MA
3,东证期货,43353,-11900.0,2026-05-07,MA2609,多单持仓,MA
4,华泰期货,26367,5468.0,2026-05-07,MA2609,多单持仓,MA
5,永安期货,24128,779.0,2026-05-07,MA2609,多单持仓,MA
6,申银万国,23246,1370.0,2026-05-07,MA2609,多单持仓,MA
7,南华期货,19109,-517.0,2026-05-07,MA2609,多单持仓,MA
8,中金财富,15889,-2797.0,2026-05-07,MA2609,多单持仓,MA
9,浙商期货,15869,-8108.0,2026-05-07,MA2609,多单持仓,MA
10,乾坤期货,14046,1770.0,2026-05-07,MA2609,多单持仓,MA
11,中信建投,12783,5074.0,2026-05-07,MA2609,多单持仓,MA
12,银河期货,11743,-664.0,2026-05-07,MA2609,多单持仓,MA
13,广发期货,11742,1796.0,2026-05-07,MA2609,多单持仓,MA
14,渤海期货,10272,-182.0,2026-05-07,MA2609,多单持仓,MA
15,中泰期货,9927,1697.0,2026-05-07,MA2609,多单持仓,MA
16,物产中大,9119,4130.0,2026-05-07,MA2609,多单持仓,MA
17,五矿期货,8814,295.0,2026-05-07,MA2609,多单持仓,MA
18,国投期货,8003,-1633.0,2026-05-07,MA2609,多单持仓,MA
19,平安期货,7805,688.0,2026-05-07,MA2609,多单持仓,MA
20,招商期货,7800,-678.0,2026-05-07,MA2609,多单持仓,MA
1,国泰君安,113926,2465.0,2026-05-08,MA2609,多单持仓,MA
2,中信期货,84187,-8336.0,2026-05-08,MA2609,多单持仓,MA
3,东证期货,44109,756.0,2026-05-08,MA2609,多单持仓,MA
4,华泰期货,23095,-3272.0,2026-05-08,MA2609,多单持仓,MA
5,永安期货,23017,-1111.0,2026-05-08,MA2609,多单持仓,MA
6,申银万国,22858,-388.0,2026-05-08,MA2609,多单持仓,MA
7,南华期货,18841,-268.0,2026-05-08,MA2609,多单持仓,MA
8,中金财富,15527,-362.0,2026-05-08,MA2609,多单持仓,MA
9,中信建投,15185,2402.0,2026-05-08,MA2609,多单持仓,MA
10,浙商期货,14988,-881.0,2026-05-08,MA2609,多单持仓,MA
11,银河期货,13629,1886.0,2026-05-08,MA2609,多单持仓,MA
12,乾坤期货,13338,-708.0,2026-05-08,MA2609,多单持仓,MA
13,广发期货,11492,-250.0,2026-05-08,MA2609,多单持仓,MA
14,渤海期货,10003,-269.0,2026-05-08,MA2609,多单持仓,MA
15,物产中大,9879,760.0,2026-05-08,MA2609,多单持仓,MA
16,中泰期货,9862,-65.0,2026-05-08,MA2609,多单持仓,MA
17,国投期货,8223,220.0,2026-05-08,MA2609,多单持仓,MA
18,国信期货,7700,-27.0,2026-05-08,MA2609,多单持仓,MA
19,华闻期货,7576,198.0,2026-05-08,MA2609,多单持仓,MA
20,招商期货,7407,-393.0,2026-05-08,MA2609,多单持仓,MA
