排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,75029,2779.0,2026-05-06,MA2609,空单持仓,MA
2,国泰君安,56413,-93.0,2026-05-06,MA2609,空单持仓,MA
3,华泰期货,45088,1170.0,2026-05-06,MA2609,空单持仓,MA
4,东证期货,24367,135.0,2026-05-06,MA2609,空单持仓,MA
5,永安期货,22750,3640.0,2026-05-06,MA2609,空单持仓,MA
6,广发期货,21718,990.0,2026-05-06,MA2609,空单持仓,MA
7,银河期货,21162,2318.0,2026-05-06,MA2609,空单持仓,MA
8,乾坤期货,20979,-5022.0,2026-05-06,MA2609,空单持仓,MA
9,东吴期货,19407,802.0,2026-05-06,MA2609,空单持仓,MA
10,中信建投,15748,437.0,2026-05-06,MA2609,空单持仓,MA
11,建信期货,14233,459.0,2026-05-06,MA2609,空单持仓,MA
12,方正中期,13729,1182.0,2026-05-06,MA2609,空单持仓,MA
13,中泰期货,13090,1468.0,2026-05-06,MA2609,空单持仓,MA
14,国投期货,11471,-97.0,2026-05-06,MA2609,空单持仓,MA
15,浙商期货,11389,352.0,2026-05-06,MA2609,空单持仓,MA
16,招商期货,10953,406.0,2026-05-06,MA2609,空单持仓,MA
17,中辉期货,10430,789.0,2026-05-06,MA2609,空单持仓,MA
18,创元期货,10413,1054.0,2026-05-06,MA2609,空单持仓,MA
19,徽商期货,9727,916.0,2026-05-06,MA2609,空单持仓,MA
20,五矿期货,9157,2711.0,2026-05-06,MA2609,空单持仓,MA
1,中信期货,67107,-7922.0,2026-05-07,MA2609,空单持仓,MA
2,国泰君安,59634,3221.0,2026-05-07,MA2609,空单持仓,MA
3,华泰期货,57764,12676.0,2026-05-07,MA2609,空单持仓,MA
4,东证期货,27371,3004.0,2026-05-07,MA2609,空单持仓,MA
5,乾坤期货,24285,3306.0,2026-05-07,MA2609,空单持仓,MA
6,永安期货,22686,-64.0,2026-05-07,MA2609,空单持仓,MA
7,广发期货,19475,-2243.0,2026-05-07,MA2609,空单持仓,MA
8,银河期货,16730,-4432.0,2026-05-07,MA2609,空单持仓,MA
9,建信期货,14754,521.0,2026-05-07,MA2609,空单持仓,MA
10,南华期货,13484,4340.0,2026-05-07,MA2609,空单持仓,MA
11,中信建投,13366,-2382.0,2026-05-07,MA2609,空单持仓,MA
12,浙商期货,13302,1913.0,2026-05-07,MA2609,空单持仓,MA
13,海通期货,12291,5350.0,2026-05-07,MA2609,空单持仓,MA
14,方正中期,11840,-1889.0,2026-05-07,MA2609,空单持仓,MA
15,五矿期货,11711,2554.0,2026-05-07,MA2609,空单持仓,MA
16,国投期货,10629,-842.0,2026-05-07,MA2609,空单持仓,MA
17,东吴期货,10357,-9050.0,2026-05-07,MA2609,空单持仓,MA
18,中泰期货,10227,-2863.0,2026-05-07,MA2609,空单持仓,MA
19,招商期货,9407,-1546.0,2026-05-07,MA2609,空单持仓,MA
20,紫金天风,9404,293.0,2026-05-07,MA2609,空单持仓,MA
1,华泰期货,61844,4080.0,2026-05-08,MA2609,空单持仓,MA
2,国泰君安,58465,-1169.0,2026-05-08,MA2609,空单持仓,MA
3,中信期货,58026,-9081.0,2026-05-08,MA2609,空单持仓,MA
4,乾坤期货,30134,5849.0,2026-05-08,MA2609,空单持仓,MA
5,东证期货,25395,-1976.0,2026-05-08,MA2609,空单持仓,MA
6,永安期货,23427,741.0,2026-05-08,MA2609,空单持仓,MA
7,广发期货,19213,-262.0,2026-05-08,MA2609,空单持仓,MA
8,银河期货,16508,-222.0,2026-05-08,MA2609,空单持仓,MA
9,建信期货,15426,672.0,2026-05-08,MA2609,空单持仓,MA
10,浙商期货,13717,415.0,2026-05-08,MA2609,空单持仓,MA
11,中信建投,13167,-199.0,2026-05-08,MA2609,空单持仓,MA
12,方正中期,12603,763.0,2026-05-08,MA2609,空单持仓,MA
13,海通期货,11858,-433.0,2026-05-08,MA2609,空单持仓,MA
14,国投期货,10641,12.0,2026-05-08,MA2609,空单持仓,MA
15,中泰期货,10507,280.0,2026-05-08,MA2609,空单持仓,MA
16,中辉期货,10258,854.0,2026-05-08,MA2609,空单持仓,MA
17,招商期货,9890,483.0,2026-05-08,MA2609,空单持仓,MA
18,创元期货,9690,377.0,2026-05-08,MA2609,空单持仓,MA
19,徽商期货,9228,416.0,2026-05-08,MA2609,空单持仓,MA
20,五矿期货,8815,-2896.0,2026-05-08,MA2609,空单持仓,MA
