排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,136357,-37392.0,2026-05-06,MA2609,成交量,MA
2,国泰君安,86528,-11539.0,2026-05-06,MA2609,成交量,MA
3,东证期货,75620,-36568.0,2026-05-06,MA2609,成交量,MA
4,银河期货,44952,-4575.0,2026-05-06,MA2609,成交量,MA
5,广发期货,29172,-3074.0,2026-05-06,MA2609,成交量,MA
6,华闻期货,25718,-4434.0,2026-05-06,MA2609,成交量,MA
7,中信建投,24721,-7939.0,2026-05-06,MA2609,成交量,MA
8,海通期货,22718,-741.0,2026-05-06,MA2609,成交量,MA
9,浙商期货,20627,259.0,2026-05-06,MA2609,成交量,MA
10,华泰期货,20350,-3461.0,2026-05-06,MA2609,成交量,MA
11,光大期货,15441,-1123.0,2026-05-06,MA2609,成交量,MA
12,招商期货,15158,-7277.0,2026-05-06,MA2609,成交量,MA
13,中辉期货,14572,460.0,2026-05-06,MA2609,成交量,MA
14,瑞达期货,13887,1478.0,2026-05-06,MA2609,成交量,MA
15,永安期货,13699,-240.0,2026-05-06,MA2609,成交量,MA
16,国投期货,13522,-1644.0,2026-05-06,MA2609,成交量,MA
17,方正中期,13378,-1394.0,2026-05-06,MA2609,成交量,MA
18,徽商期货,13358,-3898.0,2026-05-06,MA2609,成交量,MA
19,国信期货,13182,-6898.0,2026-05-06,MA2609,成交量,MA
20,乾坤期货,13156,6329.0,2026-05-06,MA2609,成交量,MA
1,中信期货,248077,111720.0,2026-05-07,MA2609,成交量,MA
2,国泰君安,171642,85114.0,2026-05-07,MA2609,成交量,MA
3,东证期货,163054,87434.0,2026-05-07,MA2609,成交量,MA
4,银河期货,95790,50838.0,2026-05-07,MA2609,成交量,MA
5,中信建投,70662,45941.0,2026-05-07,MA2609,成交量,MA
6,广发期货,61799,32627.0,2026-05-07,MA2609,成交量,MA
7,华泰期货,57988,37638.0,2026-05-07,MA2609,成交量,MA
8,华闻期货,54786,29068.0,2026-05-07,MA2609,成交量,MA
9,海通期货,47925,25207.0,2026-05-07,MA2609,成交量,MA
10,浙商期货,47155,26528.0,2026-05-07,MA2609,成交量,MA
11,申银万国,40114,27411.0,2026-05-07,MA2609,成交量,MA
12,国信期货,38762,25580.0,2026-05-07,MA2609,成交量,MA
13,光大期货,35469,20028.0,2026-05-07,MA2609,成交量,MA
14,永安期货,35163,21464.0,2026-05-07,MA2609,成交量,MA
15,东吴期货,33638,24428.0,2026-05-07,MA2609,成交量,MA
16,徽商期货,30795,17437.0,2026-05-07,MA2609,成交量,MA
17,招商期货,29934,14776.0,2026-05-07,MA2609,成交量,MA
18,方正中期,29540,16162.0,2026-05-07,MA2609,成交量,MA
19,中辉期货,28591,14019.0,2026-05-07,MA2609,成交量,MA
20,渤海期货,28208,15872.0,2026-05-07,MA2609,成交量,MA
1,中信期货,196389,-51688.0,2026-05-08,MA2609,成交量,MA
2,东证期货,116764,-46290.0,2026-05-08,MA2609,成交量,MA
3,国泰君安,110496,-61146.0,2026-05-08,MA2609,成交量,MA
4,银河期货,60638,-35152.0,2026-05-08,MA2609,成交量,MA
5,中信建投,49065,-21597.0,2026-05-08,MA2609,成交量,MA
6,广发期货,35226,-26573.0,2026-05-08,MA2609,成交量,MA
7,华泰期货,33394,-24594.0,2026-05-08,MA2609,成交量,MA
8,华闻期货,31738,-23048.0,2026-05-08,MA2609,成交量,MA
9,浙商期货,29028,-18127.0,2026-05-08,MA2609,成交量,MA
10,海通期货,27015,-20910.0,2026-05-08,MA2609,成交量,MA
11,国信期货,25269,-13493.0,2026-05-08,MA2609,成交量,MA
12,南华期货,24579,9406.0,2026-05-08,MA2609,成交量,MA
13,永安期货,24490,-10673.0,2026-05-08,MA2609,成交量,MA
14,申银万国,22407,-17707.0,2026-05-08,MA2609,成交量,MA
15,徽商期货,22025,-8770.0,2026-05-08,MA2609,成交量,MA
16,招商期货,20470,-9464.0,2026-05-08,MA2609,成交量,MA
17,平安期货,18691,-184.0,2026-05-08,MA2609,成交量,MA
18,国投期货,17920,-7151.0,2026-05-08,MA2609,成交量,MA
19,中泰期货,17057,-9299.0,2026-05-08,MA2609,成交量,MA
20,方正中期,16810,-12730.0,2026-05-08,MA2609,成交量,MA
