排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,19596,1526.0,2026-05-06,ni2606,多单持仓,NI
2,国泰君安,14040,1429.0,2026-05-06,ni2606,多单持仓,NI
3,永安期货,9178,91.0,2026-05-06,ni2606,多单持仓,NI
4,东证期货,7413,-156.0,2026-05-06,ni2606,多单持仓,NI
5,华泰期货,5754,-440.0,2026-05-06,ni2606,多单持仓,NI
6,银河期货,4323,449.0,2026-05-06,ni2606,多单持仓,NI
7,海通期货,4277,673.0,2026-05-06,ni2606,多单持仓,NI
8,新湖期货,4273,429.0,2026-05-06,ni2606,多单持仓,NI
9,广发期货,4106,236.0,2026-05-06,ni2606,多单持仓,NI
10,海证期货,3406,1160.0,2026-05-06,ni2606,多单持仓,NI
11,南华期货,3293,-643.0,2026-05-06,ni2606,多单持仓,NI
12,中金财富,3231,120.0,2026-05-06,ni2606,多单持仓,NI
13,东海期货,3118,-9.0,2026-05-06,ni2606,多单持仓,NI
14,瑞达期货,3080,1429.0,2026-05-06,ni2606,多单持仓,NI
15,中泰期货,2818,-512.0,2026-05-06,ni2606,多单持仓,NI
16,齐盛期货,2684,447.0,2026-05-06,ni2606,多单持仓,NI
17,中信建投,2608,-27.0,2026-05-06,ni2606,多单持仓,NI
18,国联期货,2603,128.0,2026-05-06,ni2606,多单持仓,NI
19,宏源期货,2527,627.0,2026-05-06,ni2606,多单持仓,NI
20,国投期货,2489,195.0,2026-05-06,ni2606,多单持仓,NI
1,中信期货,18220,-1376.0,2026-05-07,ni2606,多单持仓,NI
2,国泰君安,10115,-3925.0,2026-05-07,ni2606,多单持仓,NI
3,永安期货,7828,-1350.0,2026-05-07,ni2606,多单持仓,NI
4,东证期货,6832,-581.0,2026-05-07,ni2606,多单持仓,NI
5,华泰期货,5423,-331.0,2026-05-07,ni2606,多单持仓,NI
6,海通期货,3870,-407.0,2026-05-07,ni2606,多单持仓,NI
7,广发期货,3866,-240.0,2026-05-07,ni2606,多单持仓,NI
8,银河期货,3849,-474.0,2026-05-07,ni2606,多单持仓,NI
9,新湖期货,3614,-659.0,2026-05-07,ni2606,多单持仓,NI
10,中泰期货,3441,623.0,2026-05-07,ni2606,多单持仓,NI
11,方正中期,3294,938.0,2026-05-07,ni2606,多单持仓,NI
12,南华期货,3264,-29.0,2026-05-07,ni2606,多单持仓,NI
13,申万期货,2931,923.0,2026-05-07,ni2606,多单持仓,NI
14,中信建投,2903,295.0,2026-05-07,ni2606,多单持仓,NI
15,瑞达期货,2746,-334.0,2026-05-07,ni2606,多单持仓,NI
16,齐盛期货,2623,-61.0,2026-05-07,ni2606,多单持仓,NI
17,平安期货,2444,264.0,2026-05-07,ni2606,多单持仓,NI
18,中金财富,2314,-917.0,2026-05-07,ni2606,多单持仓,NI
19,国投期货,2226,-263.0,2026-05-07,ni2606,多单持仓,NI
20,国信期货,2201,80.0,2026-05-07,ni2606,多单持仓,NI
1,中信期货,16810,-1410.0,2026-05-08,ni2606,多单持仓,NI
2,国泰君安,9669,-446.0,2026-05-08,ni2606,多单持仓,NI
3,永安期货,7647,-181.0,2026-05-08,ni2606,多单持仓,NI
4,东证期货,6756,-76.0,2026-05-08,ni2606,多单持仓,NI
5,华泰期货,5389,-34.0,2026-05-08,ni2606,多单持仓,NI
6,广发期货,3784,-82.0,2026-05-08,ni2606,多单持仓,NI
7,银河期货,3741,-108.0,2026-05-08,ni2606,多单持仓,NI
8,新湖期货,3477,-137.0,2026-05-08,ni2606,多单持仓,NI
9,海通期货,3353,-517.0,2026-05-08,ni2606,多单持仓,NI
10,中泰期货,3274,-167.0,2026-05-08,ni2606,多单持仓,NI
11,方正中期,2942,-352.0,2026-05-08,ni2606,多单持仓,NI
12,中信建投,2923,20.0,2026-05-08,ni2606,多单持仓,NI
13,南华期货,2906,-358.0,2026-05-08,ni2606,多单持仓,NI
14,宏源期货,2540,393.0,2026-05-08,ni2606,多单持仓,NI
15,瑞达期货,2522,-224.0,2026-05-08,ni2606,多单持仓,NI
16,齐盛期货,2457,-166.0,2026-05-08,ni2606,多单持仓,NI
17,招商期货,2456,506.0,2026-05-08,ni2606,多单持仓,NI
18,申万期货,2455,-476.0,2026-05-08,ni2606,多单持仓,NI
19,平安期货,2427,-17.0,2026-05-08,ni2606,多单持仓,NI
20,国投期货,2195,-31.0,2026-05-08,ni2606,多单持仓,NI
