排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,26367,965.0,2026-05-06,ni2606,空单持仓,NI
2,东证期货,10236,1614.0,2026-05-06,ni2606,空单持仓,NI
3,广发期货,9806,860.0,2026-05-06,ni2606,空单持仓,NI
4,中信期货,9339,1298.0,2026-05-06,ni2606,空单持仓,NI
5,国投期货,8793,117.0,2026-05-06,ni2606,空单持仓,NI
6,方正中期,6419,847.0,2026-05-06,ni2606,空单持仓,NI
7,银河期货,5993,140.0,2026-05-06,ni2606,空单持仓,NI
8,华泰期货,5824,116.0,2026-05-06,ni2606,空单持仓,NI
9,永安期货,5708,216.0,2026-05-06,ni2606,空单持仓,NI
10,瑞达期货,3959,152.0,2026-05-06,ni2606,空单持仓,NI
11,中粮期货,3745,415.0,2026-05-06,ni2606,空单持仓,NI
12,建信期货,3684,197.0,2026-05-06,ni2606,空单持仓,NI
13,五矿期货,3513,411.0,2026-05-06,ni2606,空单持仓,NI
14,浙商期货,3428,149.0,2026-05-06,ni2606,空单持仓,NI
15,中泰期货,3234,589.0,2026-05-06,ni2606,空单持仓,NI
16,东吴期货,3085,45.0,2026-05-06,ni2606,空单持仓,NI
17,申万期货,2830,220.0,2026-05-06,ni2606,空单持仓,NI
18,中信建投,2693,630.0,2026-05-06,ni2606,空单持仓,NI
19,兴业期货,2516,79.0,2026-05-06,ni2606,空单持仓,NI
20,金瑞期货,2276,590.0,2026-05-06,ni2606,空单持仓,NI
1,国泰君安,25608,-759.0,2026-05-07,ni2606,空单持仓,NI
2,东证期货,10688,452.0,2026-05-07,ni2606,空单持仓,NI
3,中信期货,8724,-615.0,2026-05-07,ni2606,空单持仓,NI
4,国投期货,8705,-88.0,2026-05-07,ni2606,空单持仓,NI
5,广发期货,8574,-1232.0,2026-05-07,ni2606,空单持仓,NI
6,银河期货,5834,-159.0,2026-05-07,ni2606,空单持仓,NI
7,永安期货,5397,-311.0,2026-05-07,ni2606,空单持仓,NI
8,华泰期货,5308,-516.0,2026-05-07,ni2606,空单持仓,NI
9,方正中期,4949,-1470.0,2026-05-07,ni2606,空单持仓,NI
10,瑞达期货,4911,952.0,2026-05-07,ni2606,空单持仓,NI
11,中粮期货,3497,-248.0,2026-05-07,ni2606,空单持仓,NI
12,浙商期货,3285,-143.0,2026-05-07,ni2606,空单持仓,NI
13,建信期货,3142,-542.0,2026-05-07,ni2606,空单持仓,NI
14,五矿期货,3114,-399.0,2026-05-07,ni2606,空单持仓,NI
15,中泰期货,2987,-247.0,2026-05-07,ni2606,空单持仓,NI
16,东吴期货,2929,-156.0,2026-05-07,ni2606,空单持仓,NI
17,申万期货,2911,81.0,2026-05-07,ni2606,空单持仓,NI
18,兴业期货,2375,-141.0,2026-05-07,ni2606,空单持仓,NI
19,东兴期货,2268,223.0,2026-05-07,ni2606,空单持仓,NI
20,海通期货,2004,124.0,2026-05-07,ni2606,空单持仓,NI
1,国泰君安,23930,-1678.0,2026-05-08,ni2606,空单持仓,NI
2,东证期货,9794,-894.0,2026-05-08,ni2606,空单持仓,NI
3,中信期货,9638,914.0,2026-05-08,ni2606,空单持仓,NI
4,国投期货,8648,-57.0,2026-05-08,ni2606,空单持仓,NI
5,广发期货,7888,-686.0,2026-05-08,ni2606,空单持仓,NI
6,银河期货,5843,9.0,2026-05-08,ni2606,空单持仓,NI
7,华泰期货,5573,265.0,2026-05-08,ni2606,空单持仓,NI
8,瑞达期货,5127,216.0,2026-05-08,ni2606,空单持仓,NI
9,永安期货,5115,-282.0,2026-05-08,ni2606,空单持仓,NI
10,方正中期,4422,-527.0,2026-05-08,ni2606,空单持仓,NI
11,中粮期货,3718,221.0,2026-05-08,ni2606,空单持仓,NI
12,浙商期货,3282,-3.0,2026-05-08,ni2606,空单持仓,NI
13,五矿期货,2988,-126.0,2026-05-08,ni2606,空单持仓,NI
14,东吴期货,2853,-76.0,2026-05-08,ni2606,空单持仓,NI
15,中泰期货,2824,-163.0,2026-05-08,ni2606,空单持仓,NI
16,申万期货,2588,-323.0,2026-05-08,ni2606,空单持仓,NI
17,建信期货,2493,-649.0,2026-05-08,ni2606,空单持仓,NI
18,东兴期货,2306,38.0,2026-05-08,ni2606,空单持仓,NI
19,兴业期货,2242,-133.0,2026-05-08,ni2606,空单持仓,NI
20,海通期货,1938,-66.0,2026-05-08,ni2606,空单持仓,NI
