排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,92266,-20328.0,2026-05-06,ni2606,成交量,NI
2,中信期货,38952,-39696.0,2026-05-06,ni2606,成交量,NI
3,东证期货,27658,-11212.0,2026-05-06,ni2606,成交量,NI
4,海通期货,26986,-12387.0,2026-05-06,ni2606,成交量,NI
5,中泰期货,18335,-7728.0,2026-05-06,ni2606,成交量,NI
6,银河期货,15741,-7813.0,2026-05-06,ni2606,成交量,NI
7,华闻期货,14542,-6922.0,2026-05-06,ni2606,成交量,NI
8,广发期货,13984,-29743.0,2026-05-06,ni2606,成交量,NI
9,华泰期货,13852,-7211.0,2026-05-06,ni2606,成交量,NI
10,浙商期货,13185,-1135.0,2026-05-06,ni2606,成交量,NI
11,中信建投,9275,-11713.0,2026-05-06,ni2606,成交量,NI
12,方正中期,9217,-6082.0,2026-05-06,ni2606,成交量,NI
13,徽商期货,7742,-9323.0,2026-05-06,ni2606,成交量,NI
14,东方财富,6506,-7646.0,2026-05-06,ni2606,成交量,NI
15,国信期货,6494,-9710.0,2026-05-06,ni2606,成交量,NI
16,东吴期货,5948,-1536.0,2026-05-06,ni2606,成交量,NI
17,瑞达期货,4649,-4080.0,2026-05-06,ni2606,成交量,NI
18,中辉期货,4516,-3604.0,2026-05-06,ni2606,成交量,NI
19,宏源期货,4401,-3883.0,2026-05-06,ni2606,成交量,NI
20,华安期货,4067,-4233.0,2026-05-06,ni2606,成交量,NI
1,国泰君安,145476,53210.0,2026-05-07,ni2606,成交量,NI
2,中信期货,76997,38045.0,2026-05-07,ni2606,成交量,NI
3,东证期货,51243,23585.0,2026-05-07,ni2606,成交量,NI
4,海通期货,43053,16067.0,2026-05-07,ni2606,成交量,NI
5,华闻期货,28344,13802.0,2026-05-07,ni2606,成交量,NI
6,广发期货,27086,13102.0,2026-05-07,ni2606,成交量,NI
7,华泰期货,23647,9795.0,2026-05-07,ni2606,成交量,NI
8,中泰期货,22586,4251.0,2026-05-07,ni2606,成交量,NI
9,银河期货,21915,6174.0,2026-05-07,ni2606,成交量,NI
10,中信建投,18932,9657.0,2026-05-07,ni2606,成交量,NI
11,徽商期货,16993,9251.0,2026-05-07,ni2606,成交量,NI
12,方正中期,16140,6923.0,2026-05-07,ni2606,成交量,NI
13,国信期货,14529,8035.0,2026-05-07,ni2606,成交量,NI
14,浙商期货,14429,1244.0,2026-05-07,ni2606,成交量,NI
15,东方财富,12411,5905.0,2026-05-07,ni2606,成交量,NI
16,瑞达期货,10280,5631.0,2026-05-07,ni2606,成交量,NI
17,东吴期货,9888,3940.0,2026-05-07,ni2606,成交量,NI
18,五矿期货,9856,6346.0,2026-05-07,ni2606,成交量,NI
19,宏源期货,8817,4416.0,2026-05-07,ni2606,成交量,NI
20,中辉期货,8397,3881.0,2026-05-07,ni2606,成交量,NI
1,国泰君安,118816,-26660.0,2026-05-08,ni2606,成交量,NI
2,中信期货,67354,-9643.0,2026-05-08,ni2606,成交量,NI
3,东证期货,43010,-8233.0,2026-05-08,ni2606,成交量,NI
4,海通期货,34823,-8230.0,2026-05-08,ni2606,成交量,NI
5,中泰期货,20822,-1764.0,2026-05-08,ni2606,成交量,NI
6,广发期货,20382,-6704.0,2026-05-08,ni2606,成交量,NI
7,银河期货,19427,-2488.0,2026-05-08,ni2606,成交量,NI
8,华闻期货,18437,-9907.0,2026-05-08,ni2606,成交量,NI
9,华泰期货,17983,-5664.0,2026-05-08,ni2606,成交量,NI
10,中信建投,14430,-4502.0,2026-05-08,ni2606,成交量,NI
11,徽商期货,14083,-2910.0,2026-05-08,ni2606,成交量,NI
12,浙商期货,13798,-631.0,2026-05-08,ni2606,成交量,NI
13,方正中期,12051,-4089.0,2026-05-08,ni2606,成交量,NI
14,国信期货,10574,-3955.0,2026-05-08,ni2606,成交量,NI
15,东方财富,10500,-1911.0,2026-05-08,ni2606,成交量,NI
16,五矿期货,8012,-1844.0,2026-05-08,ni2606,成交量,NI
17,东吴期货,7717,-2171.0,2026-05-08,ni2606,成交量,NI
18,华安期货,7485,-454.0,2026-05-08,ni2606,成交量,NI
19,瑞达期货,7364,-2916.0,2026-05-08,ni2606,成交量,NI
20,国元期货,6576,-878.0,2026-05-08,ni2606,成交量,NI
