排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,乾坤期货,34456,-546.0,2026-05-06,OI2609,多单持仓,OI
2,摩根大通,28411,1072.0,2026-05-06,OI2609,多单持仓,OI
3,中信期货,27544,844.0,2026-05-06,OI2609,多单持仓,OI
4,东证期货,23602,14.0,2026-05-06,OI2609,多单持仓,OI
5,国泰君安,19606,296.0,2026-05-06,OI2609,多单持仓,OI
6,瑞银期货,12884,1746.0,2026-05-06,OI2609,多单持仓,OI
7,中金财富,9751,134.0,2026-05-06,OI2609,多单持仓,OI
8,华泰期货,7960,348.0,2026-05-06,OI2609,多单持仓,OI
9,永安期货,6330,262.0,2026-05-06,OI2609,多单持仓,OI
10,广发期货,5445,122.0,2026-05-06,OI2609,多单持仓,OI
11,银河期货,5439,308.0,2026-05-06,OI2609,多单持仓,OI
12,平安期货,5349,-918.0,2026-05-06,OI2609,多单持仓,OI
13,国投期货,4248,-121.0,2026-05-06,OI2609,多单持仓,OI
14,中信建投,4224,274.0,2026-05-06,OI2609,多单持仓,OI
15,信达期货,3682,5.0,2026-05-06,OI2609,多单持仓,OI
16,宏源期货,3570,17.0,2026-05-06,OI2609,多单持仓,OI
17,中粮期货,3282,135.0,2026-05-06,OI2609,多单持仓,OI
18,光大期货,3076,250.0,2026-05-06,OI2609,多单持仓,OI
19,海证期货,2891,-31.0,2026-05-06,OI2609,多单持仓,OI
20,兴证期货,2761,130.0,2026-05-06,OI2609,多单持仓,OI
1,乾坤期货,33915,-541.0,2026-05-07,OI2609,多单持仓,OI
2,摩根大通,31606,3195.0,2026-05-07,OI2609,多单持仓,OI
3,中信期货,28731,1187.0,2026-05-07,OI2609,多单持仓,OI
4,东证期货,22649,-953.0,2026-05-07,OI2609,多单持仓,OI
5,国泰君安,19503,-103.0,2026-05-07,OI2609,多单持仓,OI
6,瑞银期货,12912,28.0,2026-05-07,OI2609,多单持仓,OI
7,中金财富,9885,134.0,2026-05-07,OI2609,多单持仓,OI
8,华泰期货,7887,-73.0,2026-05-07,OI2609,多单持仓,OI
9,永安期货,6550,220.0,2026-05-07,OI2609,多单持仓,OI
10,广发期货,5644,199.0,2026-05-07,OI2609,多单持仓,OI
11,银河期货,5618,179.0,2026-05-07,OI2609,多单持仓,OI
12,平安期货,5468,119.0,2026-05-07,OI2609,多单持仓,OI
13,中信建投,4509,285.0,2026-05-07,OI2609,多单持仓,OI
14,国投期货,4042,-206.0,2026-05-07,OI2609,多单持仓,OI
15,信达期货,3684,2.0,2026-05-07,OI2609,多单持仓,OI
16,宏源期货,3494,-76.0,2026-05-07,OI2609,多单持仓,OI
17,海证期货,3228,337.0,2026-05-07,OI2609,多单持仓,OI
18,兴证期货,3214,453.0,2026-05-07,OI2609,多单持仓,OI
19,光大期货,3193,117.0,2026-05-07,OI2609,多单持仓,OI
20,中粮期货,2909,-373.0,2026-05-07,OI2609,多单持仓,OI
1,摩根大通,32291,685.0,2026-05-08,OI2609,多单持仓,OI
2,乾坤期货,30395,-3520.0,2026-05-08,OI2609,多单持仓,OI
3,中信期货,26568,-2163.0,2026-05-08,OI2609,多单持仓,OI
4,国泰君安,19386,-117.0,2026-05-08,OI2609,多单持仓,OI
5,东证期货,17993,-4656.0,2026-05-08,OI2609,多单持仓,OI
6,瑞银期货,12893,-19.0,2026-05-08,OI2609,多单持仓,OI
7,中金财富,8909,-976.0,2026-05-08,OI2609,多单持仓,OI
8,华泰期货,7996,109.0,2026-05-08,OI2609,多单持仓,OI
9,永安期货,6851,301.0,2026-05-08,OI2609,多单持仓,OI
10,平安期货,6272,804.0,2026-05-08,OI2609,多单持仓,OI
11,广发期货,5772,128.0,2026-05-08,OI2609,多单持仓,OI
12,银河期货,5474,-144.0,2026-05-08,OI2609,多单持仓,OI
13,中信建投,4072,-437.0,2026-05-08,OI2609,多单持仓,OI
14,国投期货,3886,-156.0,2026-05-08,OI2609,多单持仓,OI
15,宏源期货,3753,259.0,2026-05-08,OI2609,多单持仓,OI
16,信达期货,3674,-10.0,2026-05-08,OI2609,多单持仓,OI
17,中粮期货,3211,302.0,2026-05-08,OI2609,多单持仓,OI
18,光大期货,3079,-114.0,2026-05-08,OI2609,多单持仓,OI
19,海证期货,3055,-173.0,2026-05-08,OI2609,多单持仓,OI
20,兴证期货,2933,-281.0,2026-05-08,OI2609,多单持仓,OI
