排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中粮期货,53029,890.0,2026-05-06,OI2609,空单持仓,OI
2,国投期货,48633,966.0,2026-05-06,OI2609,空单持仓,OI
3,国泰君安,14634,1299.0,2026-05-06,OI2609,空单持仓,OI
4,中信期货,13693,1160.0,2026-05-06,OI2609,空单持仓,OI
5,华泰期货,10464,318.0,2026-05-06,OI2609,空单持仓,OI
6,东证期货,9832,431.0,2026-05-06,OI2609,空单持仓,OI
7,浙商期货,8266,395.0,2026-05-06,OI2609,空单持仓,OI
8,建信期货,7000,187.0,2026-05-06,OI2609,空单持仓,OI
9,南华期货,5818,168.0,2026-05-06,OI2609,空单持仓,OI
10,一德期货,5568,1359.0,2026-05-06,OI2609,空单持仓,OI
11,申银万国,5309,20.0,2026-05-06,OI2609,空单持仓,OI
12,方正中期,4154,89.0,2026-05-06,OI2609,空单持仓,OI
13,中泰期货,3455,61.0,2026-05-06,OI2609,空单持仓,OI
14,银河期货,3452,-100.0,2026-05-06,OI2609,空单持仓,OI
15,广发期货,3413,280.0,2026-05-06,OI2609,空单持仓,OI
16,紫金天风,3359,31.0,2026-05-06,OI2609,空单持仓,OI
17,弘业期货,3098,65.0,2026-05-06,OI2609,空单持仓,OI
18,宏源期货,3035,121.0,2026-05-06,OI2609,空单持仓,OI
19,中信建投,2877,-796.0,2026-05-06,OI2609,空单持仓,OI
20,中州期货,2860,313.0,2026-05-06,OI2609,空单持仓,OI
1,中粮期货,54276,1247.0,2026-05-07,OI2609,空单持仓,OI
2,国投期货,50888,2255.0,2026-05-07,OI2609,空单持仓,OI
3,国泰君安,15226,592.0,2026-05-07,OI2609,空单持仓,OI
4,中信期货,14249,556.0,2026-05-07,OI2609,空单持仓,OI
5,华泰期货,10436,-28.0,2026-05-07,OI2609,空单持仓,OI
6,东证期货,9510,-322.0,2026-05-07,OI2609,空单持仓,OI
7,浙商期货,8392,126.0,2026-05-07,OI2609,空单持仓,OI
8,建信期货,7384,384.0,2026-05-07,OI2609,空单持仓,OI
9,南华期货,5871,53.0,2026-05-07,OI2609,空单持仓,OI
10,一德期货,5756,188.0,2026-05-07,OI2609,空单持仓,OI
11,申银万国,5337,28.0,2026-05-07,OI2609,空单持仓,OI
12,方正中期,4247,93.0,2026-05-07,OI2609,空单持仓,OI
13,中信建投,3988,1111.0,2026-05-07,OI2609,空单持仓,OI
14,中泰期货,3422,-33.0,2026-05-07,OI2609,空单持仓,OI
15,银河期货,3269,-183.0,2026-05-07,OI2609,空单持仓,OI
16,紫金天风,3268,-91.0,2026-05-07,OI2609,空单持仓,OI
17,宏源期货,3163,128.0,2026-05-07,OI2609,空单持仓,OI
18,弘业期货,3015,-83.0,2026-05-07,OI2609,空单持仓,OI
19,广发期货,2995,-418.0,2026-05-07,OI2609,空单持仓,OI
20,永安期货,2900,232.0,2026-05-07,OI2609,空单持仓,OI
1,中粮期货,53904,-372.0,2026-05-08,OI2609,空单持仓,OI
2,国投期货,48715,-2173.0,2026-05-08,OI2609,空单持仓,OI
3,国泰君安,17928,2702.0,2026-05-08,OI2609,空单持仓,OI
4,中信期货,14681,432.0,2026-05-08,OI2609,空单持仓,OI
5,华泰期货,10003,-433.0,2026-05-08,OI2609,空单持仓,OI
6,东证期货,8597,-913.0,2026-05-08,OI2609,空单持仓,OI
7,浙商期货,8413,21.0,2026-05-08,OI2609,空单持仓,OI
8,建信期货,7088,-296.0,2026-05-08,OI2609,空单持仓,OI
9,中信建投,6115,2127.0,2026-05-08,OI2609,空单持仓,OI
10,南华期货,5766,-105.0,2026-05-08,OI2609,空单持仓,OI
11,一德期货,5707,-49.0,2026-05-08,OI2609,空单持仓,OI
12,申银万国,5219,-118.0,2026-05-08,OI2609,空单持仓,OI
13,方正中期,3810,-437.0,2026-05-08,OI2609,空单持仓,OI
14,中泰期货,3395,-27.0,2026-05-08,OI2609,空单持仓,OI
15,宏源期货,2890,-273.0,2026-05-08,OI2609,空单持仓,OI
16,中天期货,2819,-3.0,2026-05-08,OI2609,空单持仓,OI
17,紫金天风,2796,-472.0,2026-05-08,OI2609,空单持仓,OI
18,国富期货,2764,-55.0,2026-05-08,OI2609,空单持仓,OI
19,中州期货,2764,-130.0,2026-05-08,OI2609,空单持仓,OI
20,弘业期货,2674,-341.0,2026-05-08,OI2609,空单持仓,OI
