排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,40235,-13577.0,2026-05-06,OI2609,成交量,OI
2,中信期货,37014,-21731.0,2026-05-06,OI2609,成交量,OI
3,国泰君安,19265,-578.0,2026-05-06,OI2609,成交量,OI
4,中信建投,13830,-3977.0,2026-05-06,OI2609,成交量,OI
5,银河期货,8874,2036.0,2026-05-06,OI2609,成交量,OI
6,摩根大通,6870,2921.0,2026-05-06,OI2609,成交量,OI
7,中泰期货,6415,-1280.0,2026-05-06,OI2609,成交量,OI
8,海通期货,6170,-1353.0,2026-05-06,OI2609,成交量,OI
9,广发期货,5204,-1729.0,2026-05-06,OI2609,成交量,OI
10,中粮期货,5147,-2234.0,2026-05-06,OI2609,成交量,OI
11,华闻期货,5013,-28.0,2026-05-06,OI2609,成交量,OI
12,光大期货,4984,-164.0,2026-05-06,OI2609,成交量,OI
13,国投期货,4925,-15604.0,2026-05-06,OI2609,成交量,OI
14,徽商期货,4345,-2827.0,2026-05-06,OI2609,成交量,OI
15,南华期货,4243,-4067.0,2026-05-06,OI2609,成交量,OI
16,华泰期货,4242,-2065.0,2026-05-06,OI2609,成交量,OI
17,方正中期,4148,6.0,2026-05-06,OI2609,成交量,OI
18,乾坤期货,3270,-2094.0,2026-05-06,OI2609,成交量,OI
19,一德期货,3093,-1005.0,2026-05-06,OI2609,成交量,OI
20,东吴期货,2967,-145.0,2026-05-06,OI2609,成交量,OI
1,东证期货,45995,5760.0,2026-05-07,OI2609,成交量,OI
2,中信期货,39671,2657.0,2026-05-07,OI2609,成交量,OI
3,国泰君安,21795,2530.0,2026-05-07,OI2609,成交量,OI
4,中信建投,15692,1862.0,2026-05-07,OI2609,成交量,OI
5,中粮期货,9964,4817.0,2026-05-07,OI2609,成交量,OI
6,徽商期货,8931,4586.0,2026-05-07,OI2609,成交量,OI
7,国投期货,8147,3222.0,2026-05-07,OI2609,成交量,OI
8,中泰期货,7189,774.0,2026-05-07,OI2609,成交量,OI
9,银河期货,6884,-1990.0,2026-05-07,OI2609,成交量,OI
10,海通期货,6358,188.0,2026-05-07,OI2609,成交量,OI
11,广发期货,6047,843.0,2026-05-07,OI2609,成交量,OI
12,华泰期货,5455,1213.0,2026-05-07,OI2609,成交量,OI
13,南华期货,5347,1104.0,2026-05-07,OI2609,成交量,OI
14,摩根大通,4452,-2418.0,2026-05-07,OI2609,成交量,OI
15,方正中期,4437,289.0,2026-05-07,OI2609,成交量,OI
16,华闻期货,4345,-668.0,2026-05-07,OI2609,成交量,OI
17,国元期货,3865,2841.0,2026-05-07,OI2609,成交量,OI
18,光大期货,3535,-1449.0,2026-05-07,OI2609,成交量,OI
19,东吴期货,3401,434.0,2026-05-07,OI2609,成交量,OI
20,东方财富,3363,1284.0,2026-05-07,OI2609,成交量,OI
1,东证期货,60015,14020.0,2026-05-08,OI2609,成交量,OI
2,中信期货,49851,10180.0,2026-05-08,OI2609,成交量,OI
3,国泰君安,26835,5040.0,2026-05-08,OI2609,成交量,OI
4,中信建投,22840,7148.0,2026-05-08,OI2609,成交量,OI
5,中粮期货,9614,-350.0,2026-05-08,OI2609,成交量,OI
6,徽商期货,9426,495.0,2026-05-08,OI2609,成交量,OI
7,国投期货,8925,778.0,2026-05-08,OI2609,成交量,OI
8,银河期货,8641,1757.0,2026-05-08,OI2609,成交量,OI
9,中泰期货,8167,978.0,2026-05-08,OI2609,成交量,OI
10,浙商期货,8127,5443.0,2026-05-08,OI2609,成交量,OI
11,南华期货,8029,2682.0,2026-05-08,OI2609,成交量,OI
12,华泰期货,7034,1579.0,2026-05-08,OI2609,成交量,OI
13,海通期货,6986,628.0,2026-05-08,OI2609,成交量,OI
14,华闻期货,6646,2301.0,2026-05-08,OI2609,成交量,OI
15,方正中期,6579,2142.0,2026-05-08,OI2609,成交量,OI
16,广发期货,6528,481.0,2026-05-08,OI2609,成交量,OI
17,光大期货,4803,1268.0,2026-05-08,OI2609,成交量,OI
18,东吴期货,4780,1379.0,2026-05-08,OI2609,成交量,OI
19,乾坤期货,4624,2804.0,2026-05-08,OI2609,成交量,OI
20,摩根大通,4395,-57.0,2026-05-08,OI2609,成交量,OI
