排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,35276,1697.0,2026-05-06,p2609,多单持仓,P
2,一德期货,29273,1561.0,2026-05-06,p2609,多单持仓,P
3,东证期货,27868,-2533.0,2026-05-06,p2609,多单持仓,P
4,摩根大通,19162,-1032.0,2026-05-06,p2609,多单持仓,P
5,永安期货,17972,167.0,2026-05-06,p2609,多单持仓,P
6,国投期货,17836,544.0,2026-05-06,p2609,多单持仓,P
7,中粮期货,16766,2216.0,2026-05-06,p2609,多单持仓,P
8,中信期货,16036,1078.0,2026-05-06,p2609,多单持仓,P
9,华泰期货,13489,1369.0,2026-05-06,p2609,多单持仓,P
10,五矿期货,13426,-307.0,2026-05-06,p2609,多单持仓,P
11,西部期货,11092,-207.0,2026-05-06,p2609,多单持仓,P
12,银河期货,11026,411.0,2026-05-06,p2609,多单持仓,P
13,申银万国,10908,592.0,2026-05-06,p2609,多单持仓,P
14,广发期货,9564,586.0,2026-05-06,p2609,多单持仓,P
15,高盛期货,8636,841.0,2026-05-06,p2609,多单持仓,P
16,光大期货,8553,-490.0,2026-05-06,p2609,多单持仓,P
17,宏源期货,7206,198.0,2026-05-06,p2609,多单持仓,P
18,中泰期货,7007,913.0,2026-05-06,p2609,多单持仓,P
19,紫金天风,6655,-601.0,2026-05-06,p2609,多单持仓,P
20,瑞达期货,6493,-373.0,2026-05-06,p2609,多单持仓,P
1,国泰君安,31102,-4174.0,2026-05-07,p2609,多单持仓,P
2,一德期货,28884,-389.0,2026-05-07,p2609,多单持仓,P
3,东证期货,28422,554.0,2026-05-07,p2609,多单持仓,P
4,永安期货,21495,3523.0,2026-05-07,p2609,多单持仓,P
5,国投期货,18571,735.0,2026-05-07,p2609,多单持仓,P
6,摩根大通,17989,-1173.0,2026-05-07,p2609,多单持仓,P
7,中粮期货,17776,1010.0,2026-05-07,p2609,多单持仓,P
8,中信期货,16954,918.0,2026-05-07,p2609,多单持仓,P
9,华泰期货,13051,-438.0,2026-05-07,p2609,多单持仓,P
10,五矿期货,12967,-459.0,2026-05-07,p2609,多单持仓,P
11,西部期货,12849,1757.0,2026-05-07,p2609,多单持仓,P
12,银河期货,11020,-6.0,2026-05-07,p2609,多单持仓,P
13,广发期货,10524,960.0,2026-05-07,p2609,多单持仓,P
14,申银万国,10142,-766.0,2026-05-07,p2609,多单持仓,P
15,光大期货,8198,-355.0,2026-05-07,p2609,多单持仓,P
16,高盛期货,8033,-603.0,2026-05-07,p2609,多单持仓,P
17,中泰期货,6970,-37.0,2026-05-07,p2609,多单持仓,P
18,宏源期货,6811,-395.0,2026-05-07,p2609,多单持仓,P
19,海通期货,6689,207.0,2026-05-07,p2609,多单持仓,P
20,中信建投,6469,1029.0,2026-05-07,p2609,多单持仓,P
1,国泰君安,30975,-127.0,2026-05-08,p2609,多单持仓,P
2,一德期货,29838,954.0,2026-05-08,p2609,多单持仓,P
3,东证期货,27037,-1385.0,2026-05-08,p2609,多单持仓,P
4,永安期货,21421,-74.0,2026-05-08,p2609,多单持仓,P
5,国投期货,20375,1804.0,2026-05-08,p2609,多单持仓,P
6,摩根大通,17705,-284.0,2026-05-08,p2609,多单持仓,P
7,中信期货,16612,-342.0,2026-05-08,p2609,多单持仓,P
8,中粮期货,14450,-3326.0,2026-05-08,p2609,多单持仓,P
9,西部期货,13346,497.0,2026-05-08,p2609,多单持仓,P
10,华泰期货,13292,241.0,2026-05-08,p2609,多单持仓,P
11,五矿期货,12929,-38.0,2026-05-08,p2609,多单持仓,P
12,广发期货,11145,621.0,2026-05-08,p2609,多单持仓,P
13,银河期货,11053,33.0,2026-05-08,p2609,多单持仓,P
14,申银万国,9902,-240.0,2026-05-08,p2609,多单持仓,P
15,光大期货,9134,936.0,2026-05-08,p2609,多单持仓,P
16,高盛期货,7684,-349.0,2026-05-08,p2609,多单持仓,P
17,宏源期货,6963,152.0,2026-05-08,p2609,多单持仓,P
18,中信建投,6865,396.0,2026-05-08,p2609,多单持仓,P
19,中泰期货,6832,-138.0,2026-05-08,p2609,多单持仓,P
20,瑞达期货,6797,529.0,2026-05-08,p2609,多单持仓,P
