排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,35357,1258.0,2026-05-06,p2609,空单持仓,P
2,一德期货,30873,-74.0,2026-05-06,p2609,空单持仓,P
3,国泰君安,25486,3443.0,2026-05-06,p2609,空单持仓,P
4,中粮期货,25268,-1381.0,2026-05-06,p2609,空单持仓,P
5,海通期货,22114,1080.0,2026-05-06,p2609,空单持仓,P
6,东证期货,20429,4657.0,2026-05-06,p2609,空单持仓,P
7,高盛期货,18626,-5742.0,2026-05-06,p2609,空单持仓,P
8,中信建投,18236,165.0,2026-05-06,p2609,空单持仓,P
9,浙商期货,18180,1356.0,2026-05-06,p2609,空单持仓,P
10,广发期货,13830,2614.0,2026-05-06,p2609,空单持仓,P
11,永安期货,12599,36.0,2026-05-06,p2609,空单持仓,P
12,国投期货,12211,-1149.0,2026-05-06,p2609,空单持仓,P
13,国富期货,10250,898.0,2026-05-06,p2609,空单持仓,P
14,国贸期货,9981,-464.0,2026-05-06,p2609,空单持仓,P
15,方正中期,9915,1108.0,2026-05-06,p2609,空单持仓,P
16,华泰期货,9717,2798.0,2026-05-06,p2609,空单持仓,P
17,银河期货,9574,471.0,2026-05-06,p2609,空单持仓,P
18,中泰期货,6453,7.0,2026-05-06,p2609,空单持仓,P
19,瑞达期货,5728,718.0,2026-05-06,p2609,空单持仓,P
20,新湖期货,5653,-431.0,2026-05-06,p2609,空单持仓,P
1,中信期货,35972,615.0,2026-05-07,p2609,空单持仓,P
2,一德期货,33010,2137.0,2026-05-07,p2609,空单持仓,P
3,国泰君安,29413,3927.0,2026-05-07,p2609,空单持仓,P
4,中粮期货,25863,595.0,2026-05-07,p2609,空单持仓,P
5,东证期货,20847,418.0,2026-05-07,p2609,空单持仓,P
6,海通期货,20568,-1546.0,2026-05-07,p2609,空单持仓,P
7,高盛期货,20051,1425.0,2026-05-07,p2609,空单持仓,P
8,中信建投,18876,640.0,2026-05-07,p2609,空单持仓,P
9,浙商期货,18454,274.0,2026-05-07,p2609,空单持仓,P
10,广发期货,15064,1234.0,2026-05-07,p2609,空单持仓,P
11,永安期货,11273,-1326.0,2026-05-07,p2609,空单持仓,P
12,华泰期货,10442,725.0,2026-05-07,p2609,空单持仓,P
13,国富期货,10354,104.0,2026-05-07,p2609,空单持仓,P
14,国投期货,10091,-2120.0,2026-05-07,p2609,空单持仓,P
15,国贸期货,9466,-515.0,2026-05-07,p2609,空单持仓,P
16,方正中期,9444,-471.0,2026-05-07,p2609,空单持仓,P
17,银河期货,8896,-678.0,2026-05-07,p2609,空单持仓,P
18,中泰期货,6481,28.0,2026-05-07,p2609,空单持仓,P
19,新湖期货,6101,448.0,2026-05-07,p2609,空单持仓,P
20,国信期货,5623,464.0,2026-05-07,p2609,空单持仓,P
1,中信期货,37834,1862.0,2026-05-08,p2609,空单持仓,P
2,一德期货,32212,-798.0,2026-05-08,p2609,空单持仓,P
3,国泰君安,31749,2336.0,2026-05-08,p2609,空单持仓,P
4,中粮期货,25670,-193.0,2026-05-08,p2609,空单持仓,P
5,高盛期货,25669,5618.0,2026-05-08,p2609,空单持仓,P
6,海通期货,20619,51.0,2026-05-08,p2609,空单持仓,P
7,东证期货,19827,-1020.0,2026-05-08,p2609,空单持仓,P
8,中信建投,18462,-414.0,2026-05-08,p2609,空单持仓,P
9,浙商期货,17501,-953.0,2026-05-08,p2609,空单持仓,P
10,广发期货,15865,801.0,2026-05-08,p2609,空单持仓,P
11,永安期货,11308,35.0,2026-05-08,p2609,空单持仓,P
12,华泰期货,10366,-76.0,2026-05-08,p2609,空单持仓,P
13,国富期货,10145,-209.0,2026-05-08,p2609,空单持仓,P
14,银河期货,9810,914.0,2026-05-08,p2609,空单持仓,P
15,方正中期,9527,83.0,2026-05-08,p2609,空单持仓,P
16,国贸期货,9404,-62.0,2026-05-08,p2609,空单持仓,P
17,国投期货,9075,-1016.0,2026-05-08,p2609,空单持仓,P
18,中泰期货,6695,214.0,2026-05-08,p2609,空单持仓,P
19,国信期货,5571,-52.0,2026-05-08,p2609,空单持仓,P
20,摩根大通,5480,1470.0,2026-05-08,p2609,空单持仓,P
