排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,139594,-978.0,2026-05-06,p2609,成交量,P
2,东证期货,94912,1223.0,2026-05-06,p2609,成交量,P
3,国泰君安,85614,2947.0,2026-05-06,p2609,成交量,P
4,广发期货,41568,12700.0,2026-05-06,p2609,成交量,P
5,华闻期货,32778,8969.0,2026-05-06,p2609,成交量,P
6,银河期货,27842,-1374.0,2026-05-06,p2609,成交量,P
7,光大期货,26833,-1312.0,2026-05-06,p2609,成交量,P
8,海通期货,24955,298.0,2026-05-06,p2609,成交量,P
9,华泰期货,21531,67.0,2026-05-06,p2609,成交量,P
10,南华期货,15308,2966.0,2026-05-06,p2609,成交量,P
11,中信建投,14143,-1284.0,2026-05-06,p2609,成交量,P
12,徽商期货,14094,-3855.0,2026-05-06,p2609,成交量,P
13,国投期货,14089,8270.0,2026-05-06,p2609,成交量,P
14,国信期货,13718,2511.0,2026-05-06,p2609,成交量,P
15,中粮期货,12949,2911.0,2026-05-06,p2609,成交量,P
16,方正中期,10805,-1990.0,2026-05-06,p2609,成交量,P
17,摩根大通,9903,5538.0,2026-05-06,p2609,成交量,P
18,中泰期货,9636,-5648.0,2026-05-06,p2609,成交量,P
19,高盛期货,8511,3144.0,2026-05-06,p2609,成交量,P
20,永安期货,8015,714.0,2026-05-06,p2609,成交量,P
1,中信期货,189165,49571.0,2026-05-07,p2609,成交量,P
2,东证期货,119248,24336.0,2026-05-07,p2609,成交量,P
3,国泰君安,106821,21207.0,2026-05-07,p2609,成交量,P
4,广发期货,41988,420.0,2026-05-07,p2609,成交量,P
5,华闻期货,34756,1978.0,2026-05-07,p2609,成交量,P
6,光大期货,30851,4018.0,2026-05-07,p2609,成交量,P
7,银河期货,28874,1032.0,2026-05-07,p2609,成交量,P
8,海通期货,27703,2748.0,2026-05-07,p2609,成交量,P
9,华泰期货,27309,5778.0,2026-05-07,p2609,成交量,P
10,徽商期货,26229,12135.0,2026-05-07,p2609,成交量,P
11,南华期货,21551,6243.0,2026-05-07,p2609,成交量,P
12,中信建投,20775,6632.0,2026-05-07,p2609,成交量,P
13,国信期货,18955,5237.0,2026-05-07,p2609,成交量,P
14,中粮期货,17483,4534.0,2026-05-07,p2609,成交量,P
15,方正中期,14634,3829.0,2026-05-07,p2609,成交量,P
16,永安期货,13825,5810.0,2026-05-07,p2609,成交量,P
17,东吴期货,13344,5455.0,2026-05-07,p2609,成交量,P
18,申银万国,13125,5734.0,2026-05-07,p2609,成交量,P
19,中泰期货,13037,3401.0,2026-05-07,p2609,成交量,P
20,国联期货,12746,6055.0,2026-05-07,p2609,成交量,P
1,中信期货,155504,-33661.0,2026-05-08,p2609,成交量,P
2,东证期货,141889,22641.0,2026-05-08,p2609,成交量,P
3,国泰君安,95599,-11222.0,2026-05-08,p2609,成交量,P
4,广发期货,33928,-8060.0,2026-05-08,p2609,成交量,P
5,华闻期货,32870,-1886.0,2026-05-08,p2609,成交量,P
6,光大期货,28707,-2144.0,2026-05-08,p2609,成交量,P
7,徽商期货,27539,1310.0,2026-05-08,p2609,成交量,P
8,银河期货,26703,-2171.0,2026-05-08,p2609,成交量,P
9,华泰期货,22979,-4330.0,2026-05-08,p2609,成交量,P
10,海通期货,22198,-5505.0,2026-05-08,p2609,成交量,P
11,中粮期货,18981,1498.0,2026-05-08,p2609,成交量,P
12,中信建投,18664,-2111.0,2026-05-08,p2609,成交量,P
13,国信期货,18036,-919.0,2026-05-08,p2609,成交量,P
14,中泰期货,14950,1913.0,2026-05-08,p2609,成交量,P
15,方正中期,14833,199.0,2026-05-08,p2609,成交量,P
16,南华期货,14639,-6912.0,2026-05-08,p2609,成交量,P
17,国联期货,13613,867.0,2026-05-08,p2609,成交量,P
18,国投期货,11436,-875.0,2026-05-08,p2609,成交量,P
19,宏源期货,10872,1736.0,2026-05-08,p2609,成交量,P
20,东吴期货,10751,-2593.0,2026-05-08,p2609,成交量,P
