排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,9624,-122.0,2026-05-06,pb2606,多单持仓,PB
2,国泰君安,8375,1594.0,2026-05-06,pb2606,多单持仓,PB
3,东证期货,5042,1356.0,2026-05-06,pb2606,多单持仓,PB
4,银河期货,3182,-1819.0,2026-05-06,pb2606,多单持仓,PB
5,平安期货,2978,-573.0,2026-05-06,pb2606,多单持仓,PB
6,华泰期货,2535,769.0,2026-05-06,pb2606,多单持仓,PB
7,广发期货,2438,-30.0,2026-05-06,pb2606,多单持仓,PB
8,申万期货,1996,-161.0,2026-05-06,pb2606,多单持仓,PB
9,中金财富,1974,662.0,2026-05-06,pb2606,多单持仓,PB
10,恒力期货,1667,39.0,2026-05-06,pb2606,多单持仓,PB
11,方正中期,1634,729.0,2026-05-06,pb2606,多单持仓,PB
12,招商期货,1584,472.0,2026-05-06,pb2606,多单持仓,PB
13,海证期货,1287,916.0,2026-05-06,pb2606,多单持仓,PB
14,永安期货,1150,-723.0,2026-05-06,pb2606,多单持仓,PB
15,华闻期货,1149,681.0,2026-05-06,pb2606,多单持仓,PB
16,国联期货,1146,1039.0,2026-05-06,pb2606,多单持仓,PB
17,中信建投,1028,-189.0,2026-05-06,pb2606,多单持仓,PB
18,国投期货,989,205.0,2026-05-06,pb2606,多单持仓,PB
19,宏源期货,899,529.0,2026-05-06,pb2606,多单持仓,PB
20,国信期货,868,-330.0,2026-05-06,pb2606,多单持仓,PB
1,中信期货,9312,-312.0,2026-05-07,pb2606,多单持仓,PB
2,国泰君安,6874,-1501.0,2026-05-07,pb2606,多单持仓,PB
3,东证期货,4852,-190.0,2026-05-07,pb2606,多单持仓,PB
4,平安期货,2622,-356.0,2026-05-07,pb2606,多单持仓,PB
5,广发期货,2550,112.0,2026-05-07,pb2606,多单持仓,PB
6,申万期货,2441,445.0,2026-05-07,pb2606,多单持仓,PB
7,银河期货,2183,-999.0,2026-05-07,pb2606,多单持仓,PB
8,华泰期货,1986,-549.0,2026-05-07,pb2606,多单持仓,PB
9,恒力期货,1630,-37.0,2026-05-07,pb2606,多单持仓,PB
10,中金财富,1541,-433.0,2026-05-07,pb2606,多单持仓,PB
11,国投期货,1431,442.0,2026-05-07,pb2606,多单持仓,PB
12,宝城期货,1319,516.0,2026-05-07,pb2606,多单持仓,PB
13,国联期货,1218,72.0,2026-05-07,pb2606,多单持仓,PB
14,中辉期货,1215,361.0,2026-05-07,pb2606,多单持仓,PB
15,华闻期货,1115,-34.0,2026-05-07,pb2606,多单持仓,PB
16,招商期货,1085,-499.0,2026-05-07,pb2606,多单持仓,PB
17,方正中期,991,-643.0,2026-05-07,pb2606,多单持仓,PB
18,国贸期货,876,13.0,2026-05-07,pb2606,多单持仓,PB
19,宏源期货,845,-54.0,2026-05-07,pb2606,多单持仓,PB
20,东吴期货,833,384.0,2026-05-07,pb2606,多单持仓,PB
1,中信期货,9811,499.0,2026-05-08,pb2606,多单持仓,PB
2,国泰君安,4730,-2144.0,2026-05-08,pb2606,多单持仓,PB
3,东证期货,3590,-1262.0,2026-05-08,pb2606,多单持仓,PB
4,银河期货,3448,1265.0,2026-05-08,pb2606,多单持仓,PB
5,申万期货,2761,320.0,2026-05-08,pb2606,多单持仓,PB
6,平安期货,2322,-300.0,2026-05-08,pb2606,多单持仓,PB
7,广发期货,2153,-397.0,2026-05-08,pb2606,多单持仓,PB
8,华泰期货,1921,-65.0,2026-05-08,pb2606,多单持仓,PB
9,恒力期货,1665,35.0,2026-05-08,pb2606,多单持仓,PB
10,中金财富,1211,-330.0,2026-05-08,pb2606,多单持仓,PB
11,东亚期货,1188,539.0,2026-05-08,pb2606,多单持仓,PB
12,中辉期货,1168,-47.0,2026-05-08,pb2606,多单持仓,PB
13,国投期货,1151,-280.0,2026-05-08,pb2606,多单持仓,PB
14,招商期货,1081,-4.0,2026-05-08,pb2606,多单持仓,PB
15,宝城期货,1060,-259.0,2026-05-08,pb2606,多单持仓,PB
16,海通期货,1033,492.0,2026-05-08,pb2606,多单持仓,PB
17,方正中期,1029,38.0,2026-05-08,pb2606,多单持仓,PB
18,华闻期货,1023,-92.0,2026-05-08,pb2606,多单持仓,PB
19,东吴期货,992,159.0,2026-05-08,pb2606,多单持仓,PB
20,永安期货,889,151.0,2026-05-08,pb2606,多单持仓,PB
