排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,8214,1466.0,2026-05-06,pb2606,空单持仓,PB
2,国泰君安,7742,-471.0,2026-05-06,pb2606,空单持仓,PB
3,银河期货,5448,2623.0,2026-05-06,pb2606,空单持仓,PB
4,金瑞期货,3918,836.0,2026-05-06,pb2606,空单持仓,PB
5,海证期货,3004,593.0,2026-05-06,pb2606,空单持仓,PB
6,东证期货,2897,-537.0,2026-05-06,pb2606,空单持仓,PB
7,国投期货,2844,-438.0,2026-05-06,pb2606,空单持仓,PB
8,申万期货,2680,712.0,2026-05-06,pb2606,空单持仓,PB
9,国信期货,2461,571.0,2026-05-06,pb2606,空单持仓,PB
10,中粮期货,2333,1495.0,2026-05-06,pb2606,空单持仓,PB
11,永安期货,1837,384.0,2026-05-06,pb2606,空单持仓,PB
12,中泰期货,1711,-277.0,2026-05-06,pb2606,空单持仓,PB
13,华鑫期货,1708,564.0,2026-05-06,pb2606,空单持仓,PB
14,大有期货,1568,295.0,2026-05-06,pb2606,空单持仓,PB
15,建信期货,1382,-13.0,2026-05-06,pb2606,空单持仓,PB
16,方正中期,1290,298.0,2026-05-06,pb2606,空单持仓,PB
17,南华期货,1129,17.0,2026-05-06,pb2606,空单持仓,PB
18,创元期货,1116,716.0,2026-05-06,pb2606,空单持仓,PB
19,海通期货,1095,-272.0,2026-05-06,pb2606,空单持仓,PB
20,中信建投,952,251.0,2026-05-06,pb2606,空单持仓,PB
1,国泰君安,7819,77.0,2026-05-07,pb2606,空单持仓,PB
2,中信期货,6317,-1897.0,2026-05-07,pb2606,空单持仓,PB
3,银河期货,5656,208.0,2026-05-07,pb2606,空单持仓,PB
4,东证期货,4336,1439.0,2026-05-07,pb2606,空单持仓,PB
5,金瑞期货,3543,-375.0,2026-05-07,pb2606,空单持仓,PB
6,海证期货,3376,372.0,2026-05-07,pb2606,空单持仓,PB
7,国投期货,2649,-195.0,2026-05-07,pb2606,空单持仓,PB
8,申万期货,2381,-299.0,2026-05-07,pb2606,空单持仓,PB
9,国信期货,2200,-261.0,2026-05-07,pb2606,空单持仓,PB
10,方正中期,2180,890.0,2026-05-07,pb2606,空单持仓,PB
11,中粮期货,2093,-240.0,2026-05-07,pb2606,空单持仓,PB
12,永安期货,1717,-120.0,2026-05-07,pb2606,空单持仓,PB
13,华鑫期货,1677,-31.0,2026-05-07,pb2606,空单持仓,PB
14,大有期货,1563,-5.0,2026-05-07,pb2606,空单持仓,PB
15,中泰期货,1520,-191.0,2026-05-07,pb2606,空单持仓,PB
16,建信期货,1444,62.0,2026-05-07,pb2606,空单持仓,PB
17,南华期货,1137,8.0,2026-05-07,pb2606,空单持仓,PB
18,海通期货,1001,-94.0,2026-05-07,pb2606,空单持仓,PB
19,创元期货,891,-225.0,2026-05-07,pb2606,空单持仓,PB
20,中金财富,804,10.0,2026-05-07,pb2606,空单持仓,PB
1,国泰君安,7737,-82.0,2026-05-08,pb2606,空单持仓,PB
2,中信期货,5756,-561.0,2026-05-08,pb2606,空单持仓,PB
3,银河期货,4841,-815.0,2026-05-08,pb2606,空单持仓,PB
4,东证期货,4159,-177.0,2026-05-08,pb2606,空单持仓,PB
5,海证期货,3472,96.0,2026-05-08,pb2606,空单持仓,PB
6,金瑞期货,3097,-446.0,2026-05-08,pb2606,空单持仓,PB
7,国投期货,2672,23.0,2026-05-08,pb2606,空单持仓,PB
8,申万期货,2158,-223.0,2026-05-08,pb2606,空单持仓,PB
9,国信期货,2004,-196.0,2026-05-08,pb2606,空单持仓,PB
10,永安期货,1671,-46.0,2026-05-08,pb2606,空单持仓,PB
11,方正中期,1553,-627.0,2026-05-08,pb2606,空单持仓,PB
12,大有期货,1551,-12.0,2026-05-08,pb2606,空单持仓,PB
13,中泰期货,1504,-16.0,2026-05-08,pb2606,空单持仓,PB
14,华鑫期货,1384,-293.0,2026-05-08,pb2606,空单持仓,PB
15,中粮期货,1223,-870.0,2026-05-08,pb2606,空单持仓,PB
16,南华期货,1107,-30.0,2026-05-08,pb2606,空单持仓,PB
17,建信期货,1020,-424.0,2026-05-08,pb2606,空单持仓,PB
18,海通期货,979,-22.0,2026-05-08,pb2606,空单持仓,PB
19,云晨期货,809,70.0,2026-05-08,pb2606,空单持仓,PB
20,中金财富,808,4.0,2026-05-08,pb2606,空单持仓,PB
