排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,26461,11596.0,2026-05-06,pb2606,成交量,PB
2,中信期货,25212,9311.0,2026-05-06,pb2606,成交量,PB
3,东证期货,20333,8830.0,2026-05-06,pb2606,成交量,PB
4,华泰期货,14424,1451.0,2026-05-06,pb2606,成交量,PB
5,银河期货,11600,6113.0,2026-05-06,pb2606,成交量,PB
6,海通期货,5458,871.0,2026-05-06,pb2606,成交量,PB
7,浙商期货,4985,2304.0,2026-05-06,pb2606,成交量,PB
8,永安期货,3373,2377.0,2026-05-06,pb2606,成交量,PB
9,国盛期货,3074,1070.0,2026-05-06,pb2606,成交量,PB
10,海证期货,2767,1634.0,2026-05-06,pb2606,成交量,PB
11,国信期货,2605,-966.0,2026-05-06,pb2606,成交量,PB
12,长安期货,2376,2346.0,2026-05-06,pb2606,成交量,PB
13,金瑞期货,2349,1558.0,2026-05-06,pb2606,成交量,PB
14,国联期货,2334,1681.0,2026-05-06,pb2606,成交量,PB
15,国投期货,2281,963.0,2026-05-06,pb2606,成交量,PB
16,中金财富,2187,366.0,2026-05-06,pb2606,成交量,PB
17,招商期货,2092,1257.0,2026-05-06,pb2606,成交量,PB
18,方正中期,2055,-1417.0,2026-05-06,pb2606,成交量,PB
19,创元期货,1982,1567.0,2026-05-06,pb2606,成交量,PB
20,中粮期货,1763,1507.0,2026-05-06,pb2606,成交量,PB
1,东证期货,17515,-2818.0,2026-05-07,pb2606,成交量,PB
2,国泰君安,14828,-11633.0,2026-05-07,pb2606,成交量,PB
3,中信期货,13039,-12173.0,2026-05-07,pb2606,成交量,PB
4,华泰期货,9851,-4573.0,2026-05-07,pb2606,成交量,PB
5,海通期货,5851,393.0,2026-05-07,pb2606,成交量,PB
6,银河期货,4171,-7429.0,2026-05-07,pb2606,成交量,PB
7,方正中期,2649,594.0,2026-05-07,pb2606,成交量,PB
8,海证期货,2034,-733.0,2026-05-07,pb2606,成交量,PB
9,华闻期货,1971,232.0,2026-05-07,pb2606,成交量,PB
10,国盛期货,1966,-1108.0,2026-05-07,pb2606,成交量,PB
11,国投期货,1907,-374.0,2026-05-07,pb2606,成交量,PB
12,招商期货,1607,-485.0,2026-05-07,pb2606,成交量,PB
13,宝城期货,1508,288.0,2026-05-07,pb2606,成交量,PB
14,中信建投,1469,-77.0,2026-05-07,pb2606,成交量,PB
15,中辉期货,1453,-229.0,2026-05-07,pb2606,成交量,PB
16,申万期货,1350,-135.0,2026-05-07,pb2606,成交量,PB
17,乾坤期货,1277,816.0,2026-05-07,pb2606,成交量,PB
18,中泰期货,1223,136.0,2026-05-07,pb2606,成交量,PB
19,中金财富,1177,-1010.0,2026-05-07,pb2606,成交量,PB
20,国信期货,1048,-1557.0,2026-05-07,pb2606,成交量,PB
1,国泰君安,18316,3488.0,2026-05-08,pb2606,成交量,PB
2,东证期货,16087,-1428.0,2026-05-08,pb2606,成交量,PB
3,中信期货,15630,2591.0,2026-05-08,pb2606,成交量,PB
4,华泰期货,11890,2039.0,2026-05-08,pb2606,成交量,PB
5,银河期货,5332,1161.0,2026-05-08,pb2606,成交量,PB
6,海通期货,5314,-537.0,2026-05-08,pb2606,成交量,PB
7,华闻期货,5292,3321.0,2026-05-08,pb2606,成交量,PB
8,方正中期,2417,-232.0,2026-05-08,pb2606,成交量,PB
9,国盛期货,2133,167.0,2026-05-08,pb2606,成交量,PB
10,国联期货,1783,893.0,2026-05-08,pb2606,成交量,PB
11,中泰期货,1660,437.0,2026-05-08,pb2606,成交量,PB
12,创元期货,1647,824.0,2026-05-08,pb2606,成交量,PB
13,国信期货,1544,496.0,2026-05-08,pb2606,成交量,PB
14,国元期货,1372,337.0,2026-05-08,pb2606,成交量,PB
15,浙商期货,1360,923.0,2026-05-08,pb2606,成交量,PB
16,海证期货,1344,-690.0,2026-05-08,pb2606,成交量,PB
17,申万期货,1283,-67.0,2026-05-08,pb2606,成交量,PB
18,中金财富,1276,99.0,2026-05-08,pb2606,成交量,PB
19,金瑞期货,1241,447.0,2026-05-08,pb2606,成交量,PB
20,国投期货,1177,-730.0,2026-05-08,pb2606,成交量,PB
