排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,24268,2139.0,2026-05-06,PF2607,多单持仓,PF
2,国泰君安,11217,617.0,2026-05-06,PF2607,多单持仓,PF
3,乾坤期货,9832,414.0,2026-05-06,PF2607,多单持仓,PF
4,东证期货,9266,2648.0,2026-05-06,PF2607,多单持仓,PF
5,浙商期货,8136,1160.0,2026-05-06,PF2607,多单持仓,PF
6,长江期货,6783,6565.0,2026-05-06,PF2607,多单持仓,PF
7,永安期货,6247,1779.0,2026-05-06,PF2607,多单持仓,PF
8,招商期货,5915,681.0,2026-05-06,PF2607,多单持仓,PF
9,中金财富,5902,1075.0,2026-05-06,PF2607,多单持仓,PF
10,五矿期货,5885,-475.0,2026-05-06,PF2607,多单持仓,PF
11,国投期货,4998,511.0,2026-05-06,PF2607,多单持仓,PF
12,中信建投,4444,2213.0,2026-05-06,PF2607,多单持仓,PF
13,广发期货,3963,484.0,2026-05-06,PF2607,多单持仓,PF
14,华泰期货,3560,426.0,2026-05-06,PF2607,多单持仓,PF
15,申银万国,2922,2187.0,2026-05-06,PF2607,多单持仓,PF
16,银河期货,2784,-49.0,2026-05-06,PF2607,多单持仓,PF
17,平安期货,2073,552.0,2026-05-06,PF2607,多单持仓,PF
18,中融汇信,1515,39.0,2026-05-06,PF2607,多单持仓,PF
19,创元期货,1499,486.0,2026-05-06,PF2607,多单持仓,PF
20,国信期货,1343,103.0,2026-05-06,PF2607,多单持仓,PF
1,中信期货,25299,1031.0,2026-05-07,PF2607,多单持仓,PF
2,东证期货,16231,6965.0,2026-05-07,PF2607,多单持仓,PF
3,国泰君安,11921,704.0,2026-05-07,PF2607,多单持仓,PF
4,中信建投,11478,7034.0,2026-05-07,PF2607,多单持仓,PF
5,乾坤期货,9860,28.0,2026-05-07,PF2607,多单持仓,PF
6,浙商期货,7815,-321.0,2026-05-07,PF2607,多单持仓,PF
7,永安期货,7560,1313.0,2026-05-07,PF2607,多单持仓,PF
8,长江期货,6511,-272.0,2026-05-07,PF2607,多单持仓,PF
9,国投期货,6375,1377.0,2026-05-07,PF2607,多单持仓,PF
10,五矿期货,6331,446.0,2026-05-07,PF2607,多单持仓,PF
11,招商期货,5800,-115.0,2026-05-07,PF2607,多单持仓,PF
12,方正中期,5457,4321.0,2026-05-07,PF2607,多单持仓,PF
13,申银万国,5388,2466.0,2026-05-07,PF2607,多单持仓,PF
14,中金财富,4473,-1429.0,2026-05-07,PF2607,多单持仓,PF
15,华泰期货,4188,628.0,2026-05-07,PF2607,多单持仓,PF
16,银河期货,2507,-277.0,2026-05-07,PF2607,多单持仓,PF
17,广发期货,1871,-2092.0,2026-05-07,PF2607,多单持仓,PF
18,平安期货,1760,-313.0,2026-05-07,PF2607,多单持仓,PF
19,创元期货,1738,239.0,2026-05-07,PF2607,多单持仓,PF
20,中融汇信,1352,-163.0,2026-05-07,PF2607,多单持仓,PF
1,中信期货,26189,890.0,2026-05-08,PF2607,多单持仓,PF
2,东证期货,15197,-1034.0,2026-05-08,PF2607,多单持仓,PF
3,国泰君安,12488,567.0,2026-05-08,PF2607,多单持仓,PF
4,中信建投,11891,413.0,2026-05-08,PF2607,多单持仓,PF
5,乾坤期货,8207,-1653.0,2026-05-08,PF2607,多单持仓,PF
6,浙商期货,7806,-9.0,2026-05-08,PF2607,多单持仓,PF
7,国投期货,7768,1393.0,2026-05-08,PF2607,多单持仓,PF
8,永安期货,7635,75.0,2026-05-08,PF2607,多单持仓,PF
9,长江期货,6485,-26.0,2026-05-08,PF2607,多单持仓,PF
10,方正中期,6455,998.0,2026-05-08,PF2607,多单持仓,PF
11,招商期货,5708,-92.0,2026-05-08,PF2607,多单持仓,PF
12,五矿期货,5278,-1053.0,2026-05-08,PF2607,多单持仓,PF
13,华泰期货,4891,703.0,2026-05-08,PF2607,多单持仓,PF
14,申银万国,4636,-752.0,2026-05-08,PF2607,多单持仓,PF
15,中金财富,4424,-49.0,2026-05-08,PF2607,多单持仓,PF
16,银河期货,2599,92.0,2026-05-08,PF2607,多单持仓,PF
17,广发期货,2329,458.0,2026-05-08,PF2607,多单持仓,PF
18,创元期货,1866,128.0,2026-05-08,PF2607,多单持仓,PF
19,兴证期货,1485,506.0,2026-05-08,PF2607,多单持仓,PF
20,平安期货,1393,-367.0,2026-05-08,PF2607,多单持仓,PF
