排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,21194,2171.0,2026-05-06,PF2607,空单持仓,PF
2,国泰君安,11262,2242.0,2026-05-06,PF2607,空单持仓,PF
3,国贸期货,10600,2542.0,2026-05-06,PF2607,空单持仓,PF
4,永安期货,8697,2537.0,2026-05-06,PF2607,空单持仓,PF
5,物产中大,7947,1514.0,2026-05-06,PF2607,空单持仓,PF
6,东证期货,7899,1871.0,2026-05-06,PF2607,空单持仓,PF
7,浙商期货,7371,774.0,2026-05-06,PF2607,空单持仓,PF
8,长江期货,6943,6630.0,2026-05-06,PF2607,空单持仓,PF
9,招商期货,5830,-140.0,2026-05-06,PF2607,空单持仓,PF
10,五矿期货,5802,-502.0,2026-05-06,PF2607,空单持仓,PF
11,银河期货,4400,918.0,2026-05-06,PF2607,空单持仓,PF
12,国投期货,4152,417.0,2026-05-06,PF2607,空单持仓,PF
13,东海期货,4088,992.0,2026-05-06,PF2607,空单持仓,PF
14,中信建投,4042,1499.0,2026-05-06,PF2607,空单持仓,PF
15,南华期货,2743,320.0,2026-05-06,PF2607,空单持仓,PF
16,宝城期货,2509,126.0,2026-05-06,PF2607,空单持仓,PF
17,申银万国,2278,2116.0,2026-05-06,PF2607,空单持仓,PF
18,创元期货,2095,1313.0,2026-05-06,PF2607,空单持仓,PF
19,东吴期货,1955,897.0,2026-05-06,PF2607,空单持仓,PF
20,海通期货,1560,328.0,2026-05-06,PF2607,空单持仓,PF
1,中信期货,21243,49.0,2026-05-07,PF2607,空单持仓,PF
2,国泰君安,12014,752.0,2026-05-07,PF2607,空单持仓,PF
3,中信建投,11978,7936.0,2026-05-07,PF2607,空单持仓,PF
4,永安期货,9858,1161.0,2026-05-07,PF2607,空单持仓,PF
5,东证期货,8501,602.0,2026-05-07,PF2607,空单持仓,PF
6,浙商期货,7385,14.0,2026-05-07,PF2607,空单持仓,PF
7,物产中大,7300,-647.0,2026-05-07,PF2607,空单持仓,PF
8,国贸期货,7281,-3319.0,2026-05-07,PF2607,空单持仓,PF
9,长江期货,6519,-424.0,2026-05-07,PF2607,空单持仓,PF
10,五矿期货,6278,476.0,2026-05-07,PF2607,空单持仓,PF
11,国投期货,6029,1877.0,2026-05-07,PF2607,空单持仓,PF
12,招商期货,5916,86.0,2026-05-07,PF2607,空单持仓,PF
13,乾坤期货,5557,4104.0,2026-05-07,PF2607,空单持仓,PF
14,申银万国,4982,2704.0,2026-05-07,PF2607,空单持仓,PF
15,方正中期,4860,4319.0,2026-05-07,PF2607,空单持仓,PF
16,银河期货,4418,18.0,2026-05-07,PF2607,空单持仓,PF
17,创元期货,3198,1103.0,2026-05-07,PF2607,空单持仓,PF
18,南华期货,2648,-95.0,2026-05-07,PF2607,空单持仓,PF
19,宝城期货,2479,-30.0,2026-05-07,PF2607,空单持仓,PF
20,瑞达期货,1651,106.0,2026-05-07,PF2607,空单持仓,PF
1,中信期货,21365,122.0,2026-05-08,PF2607,空单持仓,PF
2,国泰君安,14334,2320.0,2026-05-08,PF2607,空单持仓,PF
3,中信建投,13861,1883.0,2026-05-08,PF2607,空单持仓,PF
4,永安期货,11941,2083.0,2026-05-08,PF2607,空单持仓,PF
5,东证期货,9146,645.0,2026-05-08,PF2607,空单持仓,PF
6,国投期货,7531,1502.0,2026-05-08,PF2607,空单持仓,PF
7,物产中大,7144,-156.0,2026-05-08,PF2607,空单持仓,PF
8,乾坤期货,6685,1128.0,2026-05-08,PF2607,空单持仓,PF
9,浙商期货,6631,-754.0,2026-05-08,PF2607,空单持仓,PF
10,国贸期货,6029,-1252.0,2026-05-08,PF2607,空单持仓,PF
11,招商期货,5961,45.0,2026-05-08,PF2607,空单持仓,PF
12,长江期货,5931,-588.0,2026-05-08,PF2607,空单持仓,PF
13,方正中期,5407,547.0,2026-05-08,PF2607,空单持仓,PF
14,五矿期货,5244,-1034.0,2026-05-08,PF2607,空单持仓,PF
15,申银万国,4457,-525.0,2026-05-08,PF2607,空单持仓,PF
16,创元期货,3226,28.0,2026-05-08,PF2607,空单持仓,PF
17,银河期货,2944,-1474.0,2026-05-08,PF2607,空单持仓,PF
18,宝城期货,2084,-395.0,2026-05-08,PF2607,空单持仓,PF
19,广发期货,1999,808.0,2026-05-08,PF2607,空单持仓,PF
20,中泰期货,1693,425.0,2026-05-08,PF2607,空单持仓,PF
