排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,62838,23510.0,2026-05-06,PF2607,成交量,PF
2,东证期货,38157,2810.0,2026-05-06,PF2607,成交量,PF
3,广发期货,14625,-2566.0,2026-05-06,PF2607,成交量,PF
4,长江期货,14337,6312.0,2026-05-06,PF2607,成交量,PF
5,浙商期货,13380,-4683.0,2026-05-06,PF2607,成交量,PF
6,国泰君安,12621,1227.0,2026-05-06,PF2607,成交量,PF
7,银河期货,9723,-3075.0,2026-05-06,PF2607,成交量,PF
8,招商期货,8057,4049.0,2026-05-06,PF2607,成交量,PF
9,华闻期货,7909,5809.0,2026-05-06,PF2607,成交量,PF
10,五矿期货,7059,844.0,2026-05-06,PF2607,成交量,PF
11,申银万国,6709,2968.0,2026-05-06,PF2607,成交量,PF
12,国信期货,6582,1426.0,2026-05-06,PF2607,成交量,PF
13,永安期货,5964,-2675.0,2026-05-06,PF2607,成交量,PF
14,渤海期货,5221,-8778.0,2026-05-06,PF2607,成交量,PF
15,中信建投,5052,-17547.0,2026-05-06,PF2607,成交量,PF
16,国贸期货,4464,2725.0,2026-05-06,PF2607,成交量,PF
17,国投期货,3932,-23318.0,2026-05-06,PF2607,成交量,PF
18,方正中期,3727,-2825.0,2026-05-06,PF2607,成交量,PF
19,东吴期货,2897,1834.0,2026-05-06,PF2607,成交量,PF
20,华泰期货,2765,-1520.0,2026-05-06,PF2607,成交量,PF
1,中信期货,88824,25986.0,2026-05-07,PF2607,成交量,PF
2,东证期货,62093,23936.0,2026-05-07,PF2607,成交量,PF
3,长江期货,38528,24191.0,2026-05-07,PF2607,成交量,PF
4,广发期货,34701,20076.0,2026-05-07,PF2607,成交量,PF
5,浙商期货,34627,21247.0,2026-05-07,PF2607,成交量,PF
6,五矿期货,23920,16861.0,2026-05-07,PF2607,成交量,PF
7,中信建投,18704,13652.0,2026-05-07,PF2607,成交量,PF
8,国泰君安,17900,5279.0,2026-05-07,PF2607,成交量,PF
9,方正中期,15648,11921.0,2026-05-07,PF2607,成交量,PF
10,国投期货,15074,11142.0,2026-05-07,PF2607,成交量,PF
11,招商期货,11219,3162.0,2026-05-07,PF2607,成交量,PF
12,银河期货,10319,596.0,2026-05-07,PF2607,成交量,PF
13,申银万国,9852,3143.0,2026-05-07,PF2607,成交量,PF
14,华泰期货,9343,6578.0,2026-05-07,PF2607,成交量,PF
15,华闻期货,7521,-388.0,2026-05-07,PF2607,成交量,PF
16,国信期货,7358,776.0,2026-05-07,PF2607,成交量,PF
17,永安期货,6116,152.0,2026-05-07,PF2607,成交量,PF
18,乾坤期货,5148,2583.0,2026-05-07,PF2607,成交量,PF
19,国贸期货,4858,394.0,2026-05-07,PF2607,成交量,PF
20,海通期货,4537,2414.0,2026-05-07,PF2607,成交量,PF
1,中信期货,82052,-6772.0,2026-05-08,PF2607,成交量,PF
2,东证期货,45165,-16928.0,2026-05-08,PF2607,成交量,PF
3,广发期货,24762,-9939.0,2026-05-08,PF2607,成交量,PF
4,国泰君安,17553,-347.0,2026-05-08,PF2607,成交量,PF
5,浙商期货,17321,-17306.0,2026-05-08,PF2607,成交量,PF
6,长江期货,12274,-26254.0,2026-05-08,PF2607,成交量,PF
7,中信建投,11894,-6810.0,2026-05-08,PF2607,成交量,PF
8,国投期货,11137,-3937.0,2026-05-08,PF2607,成交量,PF
9,银河期货,9952,-367.0,2026-05-08,PF2607,成交量,PF
10,招商期货,8793,-2426.0,2026-05-08,PF2607,成交量,PF
11,国信期货,8232,874.0,2026-05-08,PF2607,成交量,PF
12,方正中期,7945,-7703.0,2026-05-08,PF2607,成交量,PF
13,华闻期货,7847,326.0,2026-05-08,PF2607,成交量,PF
14,海通期货,7702,3165.0,2026-05-08,PF2607,成交量,PF
15,五矿期货,6725,-17195.0,2026-05-08,PF2607,成交量,PF
16,永安期货,6718,602.0,2026-05-08,PF2607,成交量,PF
17,华泰期货,6542,-2801.0,2026-05-08,PF2607,成交量,PF
18,申银万国,6453,-3399.0,2026-05-08,PF2607,成交量,PF
19,乾坤期货,3819,-1329.0,2026-05-08,PF2607,成交量,PF
20,光大期货,2665,327.0,2026-05-08,PF2607,成交量,PF
