排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信建投,11150,489.0,2026-05-06,pg2607,多单持仓,PG
2,中信期货,9398,890.0,2026-05-06,pg2607,多单持仓,PG
3,国泰君安,5953,421.0,2026-05-06,pg2607,多单持仓,PG
4,长江期货,5721,153.0,2026-05-06,pg2607,多单持仓,PG
5,海通期货,5437,350.0,2026-05-06,pg2607,多单持仓,PG
6,锦泰期货,4502,-6.0,2026-05-06,pg2607,多单持仓,PG
7,广发期货,4276,120.0,2026-05-06,pg2607,多单持仓,PG
8,华泰期货,4101,524.0,2026-05-06,pg2607,多单持仓,PG
9,高盛期货,2850,414.0,2026-05-06,pg2607,多单持仓,PG
10,东证期货,2650,84.0,2026-05-06,pg2607,多单持仓,PG
11,浙商期货,2034,37.0,2026-05-06,pg2607,多单持仓,PG
12,中金财富,1151,404.0,2026-05-06,pg2607,多单持仓,PG
13,平安期货,1039,-7.0,2026-05-06,pg2607,多单持仓,PG
14,国信期货,960,38.0,2026-05-06,pg2607,多单持仓,PG
15,民生期货,883,7.0,2026-05-06,pg2607,多单持仓,PG
16,徽商期货,869,-18.0,2026-05-06,pg2607,多单持仓,PG
17,方正中期,721,88.0,2026-05-06,pg2607,多单持仓,PG
18,中泰期货,707,119.0,2026-05-06,pg2607,多单持仓,PG
19,银河期货,702,21.0,2026-05-06,pg2607,多单持仓,PG
20,渤海期货,669,19.0,2026-05-06,pg2607,多单持仓,PG
1,中信建投,12034,884.0,2026-05-07,pg2607,多单持仓,PG
2,中信期货,9729,331.0,2026-05-07,pg2607,多单持仓,PG
3,国泰君安,6752,799.0,2026-05-07,pg2607,多单持仓,PG
4,长江期货,5854,133.0,2026-05-07,pg2607,多单持仓,PG
5,海通期货,5401,-36.0,2026-05-07,pg2607,多单持仓,PG
6,广发期货,4580,304.0,2026-05-07,pg2607,多单持仓,PG
7,锦泰期货,4503,1.0,2026-05-07,pg2607,多单持仓,PG
8,华泰期货,4212,111.0,2026-05-07,pg2607,多单持仓,PG
9,高盛期货,2865,15.0,2026-05-07,pg2607,多单持仓,PG
10,东证期货,2729,79.0,2026-05-07,pg2607,多单持仓,PG
11,浙商期货,1902,-132.0,2026-05-07,pg2607,多单持仓,PG
12,中金财富,1121,-30.0,2026-05-07,pg2607,多单持仓,PG
13,平安期货,1108,69.0,2026-05-07,pg2607,多单持仓,PG
14,徽商期货,934,65.0,2026-05-07,pg2607,多单持仓,PG
15,银河期货,911,209.0,2026-05-07,pg2607,多单持仓,PG
16,国信期货,860,-100.0,2026-05-07,pg2607,多单持仓,PG
17,民生期货,854,-29.0,2026-05-07,pg2607,多单持仓,PG
18,方正中期,713,-8.0,2026-05-07,pg2607,多单持仓,PG
19,中泰期货,608,-99.0,2026-05-07,pg2607,多单持仓,PG
20,渤海期货,602,-67.0,2026-05-07,pg2607,多单持仓,PG
1,中信建投,12697,663.0,2026-05-08,pg2607,多单持仓,PG
2,中信期货,8952,-777.0,2026-05-08,pg2607,多单持仓,PG
3,国泰君安,7007,255.0,2026-05-08,pg2607,多单持仓,PG
4,长江期货,6029,175.0,2026-05-08,pg2607,多单持仓,PG
5,海通期货,5321,-80.0,2026-05-08,pg2607,多单持仓,PG
6,广发期货,5031,451.0,2026-05-08,pg2607,多单持仓,PG
7,锦泰期货,4512,9.0,2026-05-08,pg2607,多单持仓,PG
8,华泰期货,3980,-232.0,2026-05-08,pg2607,多单持仓,PG
9,高盛期货,3141,276.0,2026-05-08,pg2607,多单持仓,PG
10,东证期货,2846,117.0,2026-05-08,pg2607,多单持仓,PG
11,浙商期货,1881,-21.0,2026-05-08,pg2607,多单持仓,PG
12,徽商期货,908,-26.0,2026-05-08,pg2607,多单持仓,PG
13,平安期货,898,-210.0,2026-05-08,pg2607,多单持仓,PG
14,中金财富,888,-233.0,2026-05-08,pg2607,多单持仓,PG
15,民生期货,873,19.0,2026-05-08,pg2607,多单持仓,PG
16,国信期货,855,-5.0,2026-05-08,pg2607,多单持仓,PG
17,中泰期货,648,40.0,2026-05-08,pg2607,多单持仓,PG
18,渤海期货,598,-4.0,2026-05-08,pg2607,多单持仓,PG
19,银河期货,582,-329.0,2026-05-08,pg2607,多单持仓,PG
20,创元期货,563,100.0,2026-05-08,pg2607,多单持仓,PG
