排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信建投,11004,468.0,2026-05-06,pg2607,空单持仓,PG
2,中信期货,7143,161.0,2026-05-06,pg2607,空单持仓,PG
3,国泰君安,5972,530.0,2026-05-06,pg2607,空单持仓,PG
4,长江期货,5856,50.0,2026-05-06,pg2607,空单持仓,PG
5,海通期货,5193,261.0,2026-05-06,pg2607,空单持仓,PG
6,东证期货,5037,467.0,2026-05-06,pg2607,空单持仓,PG
7,锦泰期货,4510,14.0,2026-05-06,pg2607,空单持仓,PG
8,广发期货,4335,43.0,2026-05-06,pg2607,空单持仓,PG
9,华泰期货,2422,339.0,2026-05-06,pg2607,空单持仓,PG
10,高盛期货,1906,298.0,2026-05-06,pg2607,空单持仓,PG
11,南华期货,1351,28.0,2026-05-06,pg2607,空单持仓,PG
12,徽商期货,1288,0.0,2026-05-06,pg2607,空单持仓,PG
13,银河期货,1285,6.0,2026-05-06,pg2607,空单持仓,PG
14,中泰期货,1120,68.0,2026-05-06,pg2607,空单持仓,PG
15,国海良时,1004,288.0,2026-05-06,pg2607,空单持仓,PG
16,国信期货,925,132.0,2026-05-06,pg2607,空单持仓,PG
17,民生期货,869,22.0,2026-05-06,pg2607,空单持仓,PG
18,永安期货,795,-11.0,2026-05-06,pg2607,空单持仓,PG
19,华闻期货,773,163.0,2026-05-06,pg2607,空单持仓,PG
20,平安期货,678,43.0,2026-05-06,pg2607,空单持仓,PG
1,中信建投,11764,760.0,2026-05-07,pg2607,空单持仓,PG
2,国泰君安,7879,1907.0,2026-05-07,pg2607,空单持仓,PG
3,中信期货,7572,429.0,2026-05-07,pg2607,空单持仓,PG
4,长江期货,6009,153.0,2026-05-07,pg2607,空单持仓,PG
5,海通期货,5234,41.0,2026-05-07,pg2607,空单持仓,PG
6,广发期货,4771,436.0,2026-05-07,pg2607,空单持仓,PG
7,东证期货,4528,-509.0,2026-05-07,pg2607,空单持仓,PG
8,锦泰期货,4504,-6.0,2026-05-07,pg2607,空单持仓,PG
9,华泰期货,2503,81.0,2026-05-07,pg2607,空单持仓,PG
10,高盛期货,1740,-166.0,2026-05-07,pg2607,空单持仓,PG
11,徽商期货,1214,-74.0,2026-05-07,pg2607,空单持仓,PG
12,南华期货,1131,-220.0,2026-05-07,pg2607,空单持仓,PG
13,银河期货,1126,-159.0,2026-05-07,pg2607,空单持仓,PG
14,国海良时,1095,91.0,2026-05-07,pg2607,空单持仓,PG
15,民生期货,832,-37.0,2026-05-07,pg2607,空单持仓,PG
16,国信期货,824,-101.0,2026-05-07,pg2607,空单持仓,PG
17,中泰期货,765,-355.0,2026-05-07,pg2607,空单持仓,PG
18,华闻期货,740,-33.0,2026-05-07,pg2607,空单持仓,PG
19,国投期货,733,149.0,2026-05-07,pg2607,空单持仓,PG
20,永安期货,727,-68.0,2026-05-07,pg2607,空单持仓,PG
1,中信建投,12360,596.0,2026-05-08,pg2607,空单持仓,PG
2,国泰君安,8651,772.0,2026-05-08,pg2607,空单持仓,PG
3,中信期货,7738,166.0,2026-05-08,pg2607,空单持仓,PG
4,长江期货,6191,182.0,2026-05-08,pg2607,空单持仓,PG
5,海通期货,5583,349.0,2026-05-08,pg2607,空单持仓,PG
6,广发期货,5108,337.0,2026-05-08,pg2607,空单持仓,PG
7,锦泰期货,4501,-3.0,2026-05-08,pg2607,空单持仓,PG
8,东证期货,4483,-45.0,2026-05-08,pg2607,空单持仓,PG
9,华泰期货,2709,206.0,2026-05-08,pg2607,空单持仓,PG
10,高盛期货,1520,-220.0,2026-05-08,pg2607,空单持仓,PG
11,银河期货,1161,35.0,2026-05-08,pg2607,空单持仓,PG
12,南华期货,1160,29.0,2026-05-08,pg2607,空单持仓,PG
13,国海良时,971,-124.0,2026-05-08,pg2607,空单持仓,PG
14,徽商期货,886,-328.0,2026-05-08,pg2607,空单持仓,PG
15,民生期货,803,-29.0,2026-05-08,pg2607,空单持仓,PG
16,国信期货,736,-88.0,2026-05-08,pg2607,空单持仓,PG
17,永安期货,718,-9.0,2026-05-08,pg2607,空单持仓,PG
18,华闻期货,685,-55.0,2026-05-08,pg2607,空单持仓,PG
19,渤海期货,669,-24.0,2026-05-08,pg2607,空单持仓,PG
20,瑞银期货,624,624.0,2026-05-08,pg2607,空单持仓,PG
