排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,17458,-7832.0,2026-05-06,pg2607,成交量,PG
2,中信期货,13545,-4188.0,2026-05-06,pg2607,成交量,PG
3,东证期货,13395,-4619.0,2026-05-06,pg2607,成交量,PG
4,海通期货,8232,-4530.0,2026-05-06,pg2607,成交量,PG
5,广发期货,3471,-2379.0,2026-05-06,pg2607,成交量,PG
6,中信建投,2727,-2235.0,2026-05-06,pg2607,成交量,PG
7,华泰期货,2693,-1113.0,2026-05-06,pg2607,成交量,PG
8,银河期货,2531,-2322.0,2026-05-06,pg2607,成交量,PG
9,国信期货,2414,-1631.0,2026-05-06,pg2607,成交量,PG
10,中泰期货,2161,-1777.0,2026-05-06,pg2607,成交量,PG
11,方正中期,2031,-1598.0,2026-05-06,pg2607,成交量,PG
12,一德期货,1789,-596.0,2026-05-06,pg2607,成交量,PG
13,徽商期货,1478,-1150.0,2026-05-06,pg2607,成交量,PG
14,南华期货,1226,-847.0,2026-05-06,pg2607,成交量,PG
15,高盛期货,1220,-185.0,2026-05-06,pg2607,成交量,PG
16,永安期货,1049,-1130.0,2026-05-06,pg2607,成交量,PG
17,国联期货,1041,-663.0,2026-05-06,pg2607,成交量,PG
18,华闻期货,1022,-276.0,2026-05-06,pg2607,成交量,PG
19,华安期货,1013,-413.0,2026-05-06,pg2607,成交量,PG
20,光大期货,967,-613.0,2026-05-06,pg2607,成交量,PG
1,国泰君安,29820,12362.0,2026-05-07,pg2607,成交量,PG
2,中信期货,23850,10305.0,2026-05-07,pg2607,成交量,PG
3,东证期货,18780,5385.0,2026-05-07,pg2607,成交量,PG
4,海通期货,12711,4479.0,2026-05-07,pg2607,成交量,PG
5,广发期货,7770,4299.0,2026-05-07,pg2607,成交量,PG
6,华泰期货,5146,2453.0,2026-05-07,pg2607,成交量,PG
7,银河期货,4742,2211.0,2026-05-07,pg2607,成交量,PG
8,中信建投,4382,1655.0,2026-05-07,pg2607,成交量,PG
9,国信期货,4371,1957.0,2026-05-07,pg2607,成交量,PG
10,徽商期货,2993,1515.0,2026-05-07,pg2607,成交量,PG
11,中泰期货,2934,773.0,2026-05-07,pg2607,成交量,PG
12,方正中期,2592,561.0,2026-05-07,pg2607,成交量,PG
13,平安期货,2329,1399.0,2026-05-07,pg2607,成交量,PG
14,永安期货,2285,1236.0,2026-05-07,pg2607,成交量,PG
15,华闻期货,2248,1226.0,2026-05-07,pg2607,成交量,PG
16,南华期货,1956,730.0,2026-05-07,pg2607,成交量,PG
17,锦泰期货,1909,1549.0,2026-05-07,pg2607,成交量,PG
18,光大期货,1848,881.0,2026-05-07,pg2607,成交量,PG
19,一德期货,1754,-35.0,2026-05-07,pg2607,成交量,PG
20,国联期货,1725,684.0,2026-05-07,pg2607,成交量,PG
1,国泰君安,21771,-8049.0,2026-05-08,pg2607,成交量,PG
2,中信期货,17591,-6259.0,2026-05-08,pg2607,成交量,PG
3,东证期货,14316,-4464.0,2026-05-08,pg2607,成交量,PG
4,海通期货,11651,-1060.0,2026-05-08,pg2607,成交量,PG
5,广发期货,4376,-3394.0,2026-05-08,pg2607,成交量,PG
6,华泰期货,3992,-1154.0,2026-05-08,pg2607,成交量,PG
7,银河期货,3306,-1436.0,2026-05-08,pg2607,成交量,PG
8,国信期货,3033,-1338.0,2026-05-08,pg2607,成交量,PG
9,中信建投,2661,-1721.0,2026-05-08,pg2607,成交量,PG
10,徽商期货,2656,-337.0,2026-05-08,pg2607,成交量,PG
11,华闻期货,2653,405.0,2026-05-08,pg2607,成交量,PG
12,中泰期货,2085,-849.0,2026-05-08,pg2607,成交量,PG
13,一德期货,1842,88.0,2026-05-08,pg2607,成交量,PG
14,方正中期,1761,-831.0,2026-05-08,pg2607,成交量,PG
15,国投期货,1697,138.0,2026-05-08,pg2607,成交量,PG
16,平安期货,1663,-666.0,2026-05-08,pg2607,成交量,PG
17,中财期货,1282,294.0,2026-05-08,pg2607,成交量,PG
18,宝城期货,1256,168.0,2026-05-08,pg2607,成交量,PG
19,中融汇信,1210,290.0,2026-05-08,pg2607,成交量,PG
20,南华期货,1200,-756.0,2026-05-08,pg2607,成交量,PG
