排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,54425,8856.0,2026-05-06,pp2609,多单持仓,PP
2,中信期货,51422,1719.0,2026-05-06,pp2609,多单持仓,PP
3,永安期货,41028,652.0,2026-05-06,pp2609,多单持仓,PP
4,东证期货,32540,2923.0,2026-05-06,pp2609,多单持仓,PP
5,银河期货,31979,2588.0,2026-05-06,pp2609,多单持仓,PP
6,浙商期货,13389,479.0,2026-05-06,pp2609,多单持仓,PP
7,中金财富,11263,588.0,2026-05-06,pp2609,多单持仓,PP
8,申银万国,11063,40.0,2026-05-06,pp2609,多单持仓,PP
9,华泰期货,10767,-428.0,2026-05-06,pp2609,多单持仓,PP
10,光大期货,10699,584.0,2026-05-06,pp2609,多单持仓,PP
11,广发期货,9771,-1817.0,2026-05-06,pp2609,多单持仓,PP
12,高盛期货,9705,5833.0,2026-05-06,pp2609,多单持仓,PP
13,五矿期货,9024,2266.0,2026-05-06,pp2609,多单持仓,PP
14,南华期货,8429,-254.0,2026-05-06,pp2609,多单持仓,PP
15,瑞达期货,7883,1796.0,2026-05-06,pp2609,多单持仓,PP
16,国海良时,7616,1463.0,2026-05-06,pp2609,多单持仓,PP
17,国投期货,6843,43.0,2026-05-06,pp2609,多单持仓,PP
18,平安期货,6586,1742.0,2026-05-06,pp2609,多单持仓,PP
19,中信建投,6137,33.0,2026-05-06,pp2609,多单持仓,PP
20,东吴期货,5155,414.0,2026-05-06,pp2609,多单持仓,PP
1,国泰君安,56022,1597.0,2026-05-07,pp2609,多单持仓,PP
2,中信期货,52576,1154.0,2026-05-07,pp2609,多单持仓,PP
3,永安期货,36204,-4824.0,2026-05-07,pp2609,多单持仓,PP
4,银河期货,36005,4026.0,2026-05-07,pp2609,多单持仓,PP
5,东证期货,31268,-1272.0,2026-05-07,pp2609,多单持仓,PP
6,中金财富,12022,759.0,2026-05-07,pp2609,多单持仓,PP
7,国海良时,11606,3990.0,2026-05-07,pp2609,多单持仓,PP
8,华泰期货,10875,108.0,2026-05-07,pp2609,多单持仓,PP
9,五矿期货,10497,1473.0,2026-05-07,pp2609,多单持仓,PP
10,浙商期货,10398,-2991.0,2026-05-07,pp2609,多单持仓,PP
11,申银万国,10359,-704.0,2026-05-07,pp2609,多单持仓,PP
12,光大期货,9938,-761.0,2026-05-07,pp2609,多单持仓,PP
13,广发期货,9075,-696.0,2026-05-07,pp2609,多单持仓,PP
14,南华期货,8016,-413.0,2026-05-07,pp2609,多单持仓,PP
15,瑞达期货,6818,-1065.0,2026-05-07,pp2609,多单持仓,PP
16,平安期货,6784,198.0,2026-05-07,pp2609,多单持仓,PP
17,高盛期货,6085,-3620.0,2026-05-07,pp2609,多单持仓,PP
18,国投期货,6062,-781.0,2026-05-07,pp2609,多单持仓,PP
19,中信建投,5698,-439.0,2026-05-07,pp2609,多单持仓,PP
20,宝城期货,4854,1478.0,2026-05-07,pp2609,多单持仓,PP
1,国泰君安,56001,-21.0,2026-05-08,pp2609,多单持仓,PP
2,中信期货,43852,-8724.0,2026-05-08,pp2609,多单持仓,PP
3,永安期货,40160,3956.0,2026-05-08,pp2609,多单持仓,PP
4,银河期货,36036,31.0,2026-05-08,pp2609,多单持仓,PP
5,东证期货,28954,-2314.0,2026-05-08,pp2609,多单持仓,PP
6,国海良时,13080,1474.0,2026-05-08,pp2609,多单持仓,PP
7,五矿期货,11903,1406.0,2026-05-08,pp2609,多单持仓,PP
8,华泰期货,11643,768.0,2026-05-08,pp2609,多单持仓,PP
9,中金财富,11369,-653.0,2026-05-08,pp2609,多单持仓,PP
10,浙商期货,10495,97.0,2026-05-08,pp2609,多单持仓,PP
11,申银万国,10431,72.0,2026-05-08,pp2609,多单持仓,PP
12,光大期货,9831,-107.0,2026-05-08,pp2609,多单持仓,PP
13,广发期货,9531,456.0,2026-05-08,pp2609,多单持仓,PP
14,南华期货,7888,-128.0,2026-05-08,pp2609,多单持仓,PP
15,瑞达期货,7220,402.0,2026-05-08,pp2609,多单持仓,PP
16,平安期货,7141,357.0,2026-05-08,pp2609,多单持仓,PP
17,宝城期货,5814,960.0,2026-05-08,pp2609,多单持仓,PP
18,国投期货,5592,-470.0,2026-05-08,pp2609,多单持仓,PP
19,中信建投,5404,-294.0,2026-05-08,pp2609,多单持仓,PP
20,建信期货,5192,809.0,2026-05-08,pp2609,多单持仓,PP
