排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,68349,1859.0,2026-05-06,pp2609,空单持仓,PP
2,东证期货,36951,-261.0,2026-05-06,pp2609,空单持仓,PP
3,广发期货,31271,1114.0,2026-05-06,pp2609,空单持仓,PP
4,永安期货,28631,1033.0,2026-05-06,pp2609,空单持仓,PP
5,中信期货,28188,2173.0,2026-05-06,pp2609,空单持仓,PP
6,海通期货,19688,1719.0,2026-05-06,pp2609,空单持仓,PP
7,海证期货,15344,343.0,2026-05-06,pp2609,空单持仓,PP
8,浙商期货,13663,1280.0,2026-05-06,pp2609,空单持仓,PP
9,银河期货,11000,1687.0,2026-05-06,pp2609,空单持仓,PP
10,东吴期货,9045,652.0,2026-05-06,pp2609,空单持仓,PP
11,平安期货,8617,173.0,2026-05-06,pp2609,空单持仓,PP
12,南华期货,8508,1339.0,2026-05-06,pp2609,空单持仓,PP
13,华泰期货,7758,1123.0,2026-05-06,pp2609,空单持仓,PP
14,瑞达期货,7150,204.0,2026-05-06,pp2609,空单持仓,PP
15,中粮期货,6670,-282.0,2026-05-06,pp2609,空单持仓,PP
16,东海期货,6067,1404.0,2026-05-06,pp2609,空单持仓,PP
17,国投期货,5913,589.0,2026-05-06,pp2609,空单持仓,PP
18,中泰期货,5823,66.0,2026-05-06,pp2609,空单持仓,PP
19,高盛期货,5797,-511.0,2026-05-06,pp2609,空单持仓,PP
20,方正中期,5777,1732.0,2026-05-06,pp2609,空单持仓,PP
1,国泰君安,66885,-1464.0,2026-05-07,pp2609,空单持仓,PP
2,东证期货,37547,596.0,2026-05-07,pp2609,空单持仓,PP
3,广发期货,32946,1675.0,2026-05-07,pp2609,空单持仓,PP
4,中信期货,31872,3684.0,2026-05-07,pp2609,空单持仓,PP
5,永安期货,27960,-671.0,2026-05-07,pp2609,空单持仓,PP
6,海通期货,18347,-1341.0,2026-05-07,pp2609,空单持仓,PP
7,海证期货,13265,-2079.0,2026-05-07,pp2609,空单持仓,PP
8,浙商期货,12414,-1249.0,2026-05-07,pp2609,空单持仓,PP
9,银河期货,10052,-948.0,2026-05-07,pp2609,空单持仓,PP
10,南华期货,9376,868.0,2026-05-07,pp2609,空单持仓,PP
11,东吴期货,9089,44.0,2026-05-07,pp2609,空单持仓,PP
12,平安期货,8913,296.0,2026-05-07,pp2609,空单持仓,PP
13,中粮期货,7183,513.0,2026-05-07,pp2609,空单持仓,PP
14,瑞达期货,6929,-221.0,2026-05-07,pp2609,空单持仓,PP
15,华泰期货,6767,-991.0,2026-05-07,pp2609,空单持仓,PP
16,高盛期货,6614,817.0,2026-05-07,pp2609,空单持仓,PP
17,中泰期货,6202,379.0,2026-05-07,pp2609,空单持仓,PP
18,创元期货,5981,377.0,2026-05-07,pp2609,空单持仓,PP
19,国投期货,5765,-148.0,2026-05-07,pp2609,空单持仓,PP
20,国贸期货,5039,-154.0,2026-05-07,pp2609,空单持仓,PP
1,国泰君安,67465,580.0,2026-05-08,pp2609,空单持仓,PP
2,东证期货,37014,-533.0,2026-05-08,pp2609,空单持仓,PP
3,广发期货,33057,111.0,2026-05-08,pp2609,空单持仓,PP
4,中信期货,28135,-3737.0,2026-05-08,pp2609,空单持仓,PP
5,永安期货,27576,-384.0,2026-05-08,pp2609,空单持仓,PP
6,海通期货,17926,-421.0,2026-05-08,pp2609,空单持仓,PP
7,浙商期货,12373,-41.0,2026-05-08,pp2609,空单持仓,PP
8,银河期货,10807,755.0,2026-05-08,pp2609,空单持仓,PP
9,南华期货,9939,563.0,2026-05-08,pp2609,空单持仓,PP
10,海证期货,9854,-3411.0,2026-05-08,pp2609,空单持仓,PP
11,平安期货,9070,157.0,2026-05-08,pp2609,空单持仓,PP
12,东吴期货,8970,-119.0,2026-05-08,pp2609,空单持仓,PP
13,高盛期货,7830,1216.0,2026-05-08,pp2609,空单持仓,PP
14,中粮期货,7255,72.0,2026-05-08,pp2609,空单持仓,PP
15,中泰期货,7134,932.0,2026-05-08,pp2609,空单持仓,PP
16,瑞达期货,6880,-49.0,2026-05-08,pp2609,空单持仓,PP
17,华泰期货,6419,-348.0,2026-05-08,pp2609,空单持仓,PP
18,创元期货,6276,295.0,2026-05-08,pp2609,空单持仓,PP
19,国投期货,6183,418.0,2026-05-08,pp2609,空单持仓,PP
20,国贸期货,5224,185.0,2026-05-08,pp2609,空单持仓,PP
