排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,129683,-3942.0,2026-05-06,pp2609,成交量,PP
2,国泰君安,126214,4259.0,2026-05-06,pp2609,成交量,PP
3,东证期货,106000,-1363.0,2026-05-06,pp2609,成交量,PP
4,华闻期货,27931,4908.0,2026-05-06,pp2609,成交量,PP
5,南华期货,27499,-7397.0,2026-05-06,pp2609,成交量,PP
6,国信期货,22557,-310.0,2026-05-06,pp2609,成交量,PP
7,银河期货,22153,2127.0,2026-05-06,pp2609,成交量,PP
8,华泰期货,20547,-7903.0,2026-05-06,pp2609,成交量,PP
9,海通期货,18572,-1244.0,2026-05-06,pp2609,成交量,PP
10,广发期货,18243,-836.0,2026-05-06,pp2609,成交量,PP
11,永安期货,13835,-4057.0,2026-05-06,pp2609,成交量,PP
12,徽商期货,11067,-2742.0,2026-05-06,pp2609,成交量,PP
13,方正中期,10350,-2558.0,2026-05-06,pp2609,成交量,PP
14,冠通期货,9279,2764.0,2026-05-06,pp2609,成交量,PP
15,国投期货,8677,-4880.0,2026-05-06,pp2609,成交量,PP
16,中信建投,8381,620.0,2026-05-06,pp2609,成交量,PP
17,兴证期货,8204,279.0,2026-05-06,pp2609,成交量,PP
18,东吴期货,7978,-3173.0,2026-05-06,pp2609,成交量,PP
19,高盛期货,7788,4674.0,2026-05-06,pp2609,成交量,PP
20,浙商期货,7491,-1643.0,2026-05-06,pp2609,成交量,PP
1,中信期货,190118,60435.0,2026-05-07,pp2609,成交量,PP
2,国泰君安,170352,44138.0,2026-05-07,pp2609,成交量,PP
3,东证期货,143060,37060.0,2026-05-07,pp2609,成交量,PP
4,银河期货,45384,23231.0,2026-05-07,pp2609,成交量,PP
5,华闻期货,40176,12245.0,2026-05-07,pp2609,成交量,PP
6,南华期货,37679,10180.0,2026-05-07,pp2609,成交量,PP
7,国信期货,34956,12399.0,2026-05-07,pp2609,成交量,PP
8,海通期货,32752,14180.0,2026-05-07,pp2609,成交量,PP
9,广发期货,31297,13054.0,2026-05-07,pp2609,成交量,PP
10,永安期货,31045,17210.0,2026-05-07,pp2609,成交量,PP
11,华泰期货,29010,8463.0,2026-05-07,pp2609,成交量,PP
12,中泰期货,27461,20570.0,2026-05-07,pp2609,成交量,PP
13,冠通期货,25755,16476.0,2026-05-07,pp2609,成交量,PP
14,方正中期,21352,11002.0,2026-05-07,pp2609,成交量,PP
15,徽商期货,19191,8124.0,2026-05-07,pp2609,成交量,PP
16,海证期货,16579,9835.0,2026-05-07,pp2609,成交量,PP
17,国投期货,15627,6950.0,2026-05-07,pp2609,成交量,PP
18,光大期货,15624,10269.0,2026-05-07,pp2609,成交量,PP
19,中信建投,14280,5899.0,2026-05-07,pp2609,成交量,PP
20,兴证期货,13702,5498.0,2026-05-07,pp2609,成交量,PP
1,中信期货,155515,-34603.0,2026-05-08,pp2609,成交量,PP
2,东证期货,129351,-13709.0,2026-05-08,pp2609,成交量,PP
3,国泰君安,128979,-41373.0,2026-05-08,pp2609,成交量,PP
4,南华期货,33435,-4244.0,2026-05-08,pp2609,成交量,PP
5,银河期货,28364,-17020.0,2026-05-08,pp2609,成交量,PP
6,广发期货,27753,-3544.0,2026-05-08,pp2609,成交量,PP
7,华闻期货,25368,-14808.0,2026-05-08,pp2609,成交量,PP
8,海通期货,23359,-9393.0,2026-05-08,pp2609,成交量,PP
9,国信期货,22738,-12218.0,2026-05-08,pp2609,成交量,PP
10,永安期货,21774,-9271.0,2026-05-08,pp2609,成交量,PP
11,华泰期货,20520,-8490.0,2026-05-08,pp2609,成交量,PP
12,中泰期货,20039,-7422.0,2026-05-08,pp2609,成交量,PP
13,国投期货,16696,1069.0,2026-05-08,pp2609,成交量,PP
14,海证期货,16433,-146.0,2026-05-08,pp2609,成交量,PP
15,徽商期货,14609,-4582.0,2026-05-08,pp2609,成交量,PP
16,方正中期,12794,-8558.0,2026-05-08,pp2609,成交量,PP
17,中信建投,12019,-2261.0,2026-05-08,pp2609,成交量,PP
18,浙商期货,9152,-3326.0,2026-05-08,pp2609,成交量,PP
19,光大期货,8535,-7089.0,2026-05-08,pp2609,成交量,PP
20,东方财富,8250,-851.0,2026-05-08,pp2609,成交量,PP
