排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信建投,3300,519.0,2026-05-06,PR2607,多单持仓,PR
2,东证期货,3154,1076.0,2026-05-06,PR2607,多单持仓,PR
3,国投期货,2978,809.0,2026-05-06,PR2607,多单持仓,PR
4,中信期货,2871,812.0,2026-05-06,PR2607,多单持仓,PR
5,国泰君安,2691,586.0,2026-05-06,PR2607,多单持仓,PR
6,浙商期货,2293,223.0,2026-05-06,PR2607,多单持仓,PR
7,银河期货,2008,577.0,2026-05-06,PR2607,多单持仓,PR
8,中泰期货,1903,344.0,2026-05-06,PR2607,多单持仓,PR
9,广发期货,1747,107.0,2026-05-06,PR2607,多单持仓,PR
10,混沌天成期货,1624,1218.0,2026-05-06,PR2607,多单持仓,PR
11,华泰期货,1567,-917.0,2026-05-06,PR2607,多单持仓,PR
12,中金财富,1394,92.0,2026-05-06,PR2607,多单持仓,PR
13,国海良时,1350,145.0,2026-05-06,PR2607,多单持仓,PR
14,南华期货,1249,13.0,2026-05-06,PR2607,多单持仓,PR
15,申银万国,1036,319.0,2026-05-06,PR2607,多单持仓,PR
16,永安期货,712,266.0,2026-05-06,PR2607,多单持仓,PR
17,光大期货,552,153.0,2026-05-06,PR2607,多单持仓,PR
18,招商期货,404,168.0,2026-05-06,PR2607,多单持仓,PR
19,和融期货,402,-53.0,2026-05-06,PR2607,多单持仓,PR
20,东航期货,352,175.0,2026-05-06,PR2607,多单持仓,PR
1,东证期货,3617,463.0,2026-05-07,PR2607,多单持仓,PR
2,中信期货,3485,614.0,2026-05-07,PR2607,多单持仓,PR
3,中信建投,3459,159.0,2026-05-07,PR2607,多单持仓,PR
4,国投期货,3159,181.0,2026-05-07,PR2607,多单持仓,PR
5,国泰君安,2734,43.0,2026-05-07,PR2607,多单持仓,PR
6,中泰期货,2688,785.0,2026-05-07,PR2607,多单持仓,PR
7,银河期货,2469,461.0,2026-05-07,PR2607,多单持仓,PR
8,浙商期货,2275,-18.0,2026-05-07,PR2607,多单持仓,PR
9,申银万国,1966,930.0,2026-05-07,PR2607,多单持仓,PR
10,广发期货,1709,-38.0,2026-05-07,PR2607,多单持仓,PR
11,华泰期货,1531,-36.0,2026-05-07,PR2607,多单持仓,PR
12,乾坤期货,1445,1193.0,2026-05-07,PR2607,多单持仓,PR
13,南华期货,1283,34.0,2026-05-07,PR2607,多单持仓,PR
14,国海良时,1214,-136.0,2026-05-07,PR2607,多单持仓,PR
15,永安期货,702,-10.0,2026-05-07,PR2607,多单持仓,PR
16,光大期货,654,102.0,2026-05-07,PR2607,多单持仓,PR
17,混沌天成期货,624,-1000.0,2026-05-07,PR2607,多单持仓,PR
18,物产中大,392,248.0,2026-05-07,PR2607,多单持仓,PR
19,中金财富,354,-1040.0,2026-05-07,PR2607,多单持仓,PR
20,瑞银期货,326,0.0,2026-05-07,PR2607,多单持仓,PR
1,国投期货,4521,1362.0,2026-05-08,PR2607,多单持仓,PR
2,中信建投,3633,174.0,2026-05-08,PR2607,多单持仓,PR
3,申银万国,3572,1606.0,2026-05-08,PR2607,多单持仓,PR
4,东证期货,3527,-90.0,2026-05-08,PR2607,多单持仓,PR
5,中泰期货,2985,297.0,2026-05-08,PR2607,多单持仓,PR
6,中信期货,2743,-742.0,2026-05-08,PR2607,多单持仓,PR
7,国泰君安,2620,-114.0,2026-05-08,PR2607,多单持仓,PR
8,银河期货,2608,139.0,2026-05-08,PR2607,多单持仓,PR
9,浙商期货,2281,6.0,2026-05-08,PR2607,多单持仓,PR
10,华泰期货,2082,551.0,2026-05-08,PR2607,多单持仓,PR
11,广发期货,1774,65.0,2026-05-08,PR2607,多单持仓,PR
12,乾坤期货,1712,267.0,2026-05-08,PR2607,多单持仓,PR
13,南华期货,1263,-20.0,2026-05-08,PR2607,多单持仓,PR
14,国海良时,1243,29.0,2026-05-08,PR2607,多单持仓,PR
15,永安期货,977,275.0,2026-05-08,PR2607,多单持仓,PR
16,光大期货,650,-4.0,2026-05-08,PR2607,多单持仓,PR
17,物产中大,530,138.0,2026-05-08,PR2607,多单持仓,PR
18,中金财富,415,61.0,2026-05-08,PR2607,多单持仓,PR
19,混沌天成期货,410,-214.0,2026-05-08,PR2607,多单持仓,PR
20,瑞银期货,326,0.0,2026-05-08,PR2607,多单持仓,PR
