排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信建投,3454,714.0,2026-05-06,PR2607,空单持仓,PR
2,中信期货,2907,644.0,2026-05-06,PR2607,空单持仓,PR
3,国投期货,2740,757.0,2026-05-06,PR2607,空单持仓,PR
4,东证期货,2617,1113.0,2026-05-06,PR2607,空单持仓,PR
5,国贸期货,2582,118.0,2026-05-06,PR2607,空单持仓,PR
6,浙商期货,2413,104.0,2026-05-06,PR2607,空单持仓,PR
7,华泰期货,2338,-284.0,2026-05-06,PR2607,空单持仓,PR
8,国泰君安,2329,475.0,2026-05-06,PR2607,空单持仓,PR
9,广发期货,2174,201.0,2026-05-06,PR2607,空单持仓,PR
10,中泰期货,2138,483.0,2026-05-06,PR2607,空单持仓,PR
11,国海良时,1519,19.0,2026-05-06,PR2607,空单持仓,PR
12,南华期货,1418,66.0,2026-05-06,PR2607,空单持仓,PR
13,申银万国,1153,410.0,2026-05-06,PR2607,空单持仓,PR
14,上海浙石,943,0.0,2026-05-06,PR2607,空单持仓,PR
15,港信期货,756,342.0,2026-05-06,PR2607,空单持仓,PR
16,永安期货,693,171.0,2026-05-06,PR2607,空单持仓,PR
17,银河期货,646,237.0,2026-05-06,PR2607,空单持仓,PR
18,建信期货,508,24.0,2026-05-06,PR2607,空单持仓,PR
19,东海期货,468,89.0,2026-05-06,PR2607,空单持仓,PR
20,方正中期,403,220.0,2026-05-06,PR2607,空单持仓,PR
1,中信建投,3530,76.0,2026-05-07,PR2607,空单持仓,PR
2,国投期货,3154,414.0,2026-05-07,PR2607,空单持仓,PR
3,中信期货,3006,99.0,2026-05-07,PR2607,空单持仓,PR
4,中泰期货,2823,685.0,2026-05-07,PR2607,空单持仓,PR
5,国贸期货,2608,26.0,2026-05-07,PR2607,空单持仓,PR
6,国泰君安,2438,109.0,2026-05-07,PR2607,空单持仓,PR
7,浙商期货,2345,-68.0,2026-05-07,PR2607,空单持仓,PR
8,东证期货,2338,-279.0,2026-05-07,PR2607,空单持仓,PR
9,华泰期货,2134,-204.0,2026-05-07,PR2607,空单持仓,PR
10,广发期货,2107,-67.0,2026-05-07,PR2607,空单持仓,PR
11,申银万国,1684,531.0,2026-05-07,PR2607,空单持仓,PR
12,南华期货,1486,68.0,2026-05-07,PR2607,空单持仓,PR
13,国海良时,1440,-79.0,2026-05-07,PR2607,空单持仓,PR
14,建信期货,1020,512.0,2026-05-07,PR2607,空单持仓,PR
15,永安期货,795,102.0,2026-05-07,PR2607,空单持仓,PR
16,银河期货,719,73.0,2026-05-07,PR2607,空单持仓,PR
17,港信期货,546,-210.0,2026-05-07,PR2607,空单持仓,PR
18,新湖期货,502,315.0,2026-05-07,PR2607,空单持仓,PR
19,东海期货,453,-15.0,2026-05-07,PR2607,空单持仓,PR
20,国信期货,355,-22.0,2026-05-07,PR2607,空单持仓,PR
1,国投期货,4653,1499.0,2026-05-08,PR2607,空单持仓,PR
2,中信建投,3475,-55.0,2026-05-08,PR2607,空单持仓,PR
3,申银万国,3262,1578.0,2026-05-08,PR2607,空单持仓,PR
4,中泰期货,3074,251.0,2026-05-08,PR2607,空单持仓,PR
5,中信期货,2720,-286.0,2026-05-08,PR2607,空单持仓,PR
6,国贸期货,2566,-42.0,2026-05-08,PR2607,空单持仓,PR
7,东证期货,2541,203.0,2026-05-08,PR2607,空单持仓,PR
8,浙商期货,2347,2.0,2026-05-08,PR2607,空单持仓,PR
9,国泰君安,2264,-174.0,2026-05-08,PR2607,空单持仓,PR
10,广发期货,2235,128.0,2026-05-08,PR2607,空单持仓,PR
11,华泰期货,2127,-7.0,2026-05-08,PR2607,空单持仓,PR
12,南华期货,1635,149.0,2026-05-08,PR2607,空单持仓,PR
13,国海良时,1413,-27.0,2026-05-08,PR2607,空单持仓,PR
14,建信期货,1099,79.0,2026-05-08,PR2607,空单持仓,PR
15,永安期货,829,34.0,2026-05-08,PR2607,空单持仓,PR
16,银河期货,746,27.0,2026-05-08,PR2607,空单持仓,PR
17,东海期货,653,200.0,2026-05-08,PR2607,空单持仓,PR
18,港信期货,572,26.0,2026-05-08,PR2607,空单持仓,PR
19,新湖期货,535,33.0,2026-05-08,PR2607,空单持仓,PR
20,乾坤期货,487,249.0,2026-05-08,PR2607,空单持仓,PR
