排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,22795,-2181.0,2026-05-06,PR2607,成交量,PR
2,中信期货,10106,-6815.0,2026-05-06,PR2607,成交量,PR
3,国泰君安,8929,2525.0,2026-05-06,PR2607,成交量,PR
4,广发期货,8788,384.0,2026-05-06,PR2607,成交量,PR
5,浙商期货,8703,-4465.0,2026-05-06,PR2607,成交量,PR
6,国投期货,7842,-14245.0,2026-05-06,PR2607,成交量,PR
7,华泰期货,7187,2842.0,2026-05-06,PR2607,成交量,PR
8,中信建投,6835,-7536.0,2026-05-06,PR2607,成交量,PR
9,申银万国,6159,69.0,2026-05-06,PR2607,成交量,PR
10,南华期货,5201,3550.0,2026-05-06,PR2607,成交量,PR
11,银河期货,5006,1726.0,2026-05-06,PR2607,成交量,PR
12,国海良时,4752,3990.0,2026-05-06,PR2607,成交量,PR
13,光大期货,3467,-216.0,2026-05-06,PR2607,成交量,PR
14,国信期货,2183,762.0,2026-05-06,PR2607,成交量,PR
15,华闻期货,2157,-457.0,2026-05-06,PR2607,成交量,PR
16,中泰期货,1505,-93.0,2026-05-06,PR2607,成交量,PR
17,东吴期货,1504,-105.0,2026-05-06,PR2607,成交量,PR
18,五矿期货,1493,742.0,2026-05-06,PR2607,成交量,PR
19,徽商期货,1385,-45.0,2026-05-06,PR2607,成交量,PR
20,混沌天成期货,1239,1224.0,2026-05-06,PR2607,成交量,PR
1,东证期货,34884,12089.0,2026-05-07,PR2607,成交量,PR
2,中信期货,24309,14203.0,2026-05-07,PR2607,成交量,PR
3,广发期货,15623,6835.0,2026-05-07,PR2607,成交量,PR
4,国投期货,13167,5325.0,2026-05-07,PR2607,成交量,PR
5,中信建投,12785,5950.0,2026-05-07,PR2607,成交量,PR
6,申银万国,11207,5048.0,2026-05-07,PR2607,成交量,PR
7,浙商期货,9620,917.0,2026-05-07,PR2607,成交量,PR
8,国泰君安,9098,169.0,2026-05-07,PR2607,成交量,PR
9,华泰期货,8016,829.0,2026-05-07,PR2607,成交量,PR
10,银河期货,5824,818.0,2026-05-07,PR2607,成交量,PR
11,南华期货,5770,569.0,2026-05-07,PR2607,成交量,PR
12,光大期货,5205,1738.0,2026-05-07,PR2607,成交量,PR
13,国海良时,4379,-373.0,2026-05-07,PR2607,成交量,PR
14,华闻期货,3132,975.0,2026-05-07,PR2607,成交量,PR
15,五矿期货,2961,1468.0,2026-05-07,PR2607,成交量,PR
16,徽商期货,2837,1452.0,2026-05-07,PR2607,成交量,PR
17,中泰期货,2686,1181.0,2026-05-07,PR2607,成交量,PR
18,东吴期货,2526,1022.0,2026-05-07,PR2607,成交量,PR
19,国信期货,2452,269.0,2026-05-07,PR2607,成交量,PR
20,招商期货,2366,1135.0,2026-05-07,PR2607,成交量,PR
1,东证期货,26687,-8197.0,2026-05-08,PR2607,成交量,PR
2,国投期货,16123,2956.0,2026-05-08,PR2607,成交量,PR
3,中信期货,14290,-10019.0,2026-05-08,PR2607,成交量,PR
4,中信建投,12785,0.0,2026-05-08,PR2607,成交量,PR
5,浙商期货,11866,2246.0,2026-05-08,PR2607,成交量,PR
6,华泰期货,11568,3552.0,2026-05-08,PR2607,成交量,PR
7,广发期货,10957,-4666.0,2026-05-08,PR2607,成交量,PR
8,国泰君安,7578,-1520.0,2026-05-08,PR2607,成交量,PR
9,国海良时,6510,2131.0,2026-05-08,PR2607,成交量,PR
10,南华期货,6439,669.0,2026-05-08,PR2607,成交量,PR
11,申银万国,6052,-5155.0,2026-05-08,PR2607,成交量,PR
12,光大期货,4216,-989.0,2026-05-08,PR2607,成交量,PR
13,银河期货,3976,-1848.0,2026-05-08,PR2607,成交量,PR
14,华闻期货,3923,791.0,2026-05-08,PR2607,成交量,PR
15,中泰期货,2504,-182.0,2026-05-08,PR2607,成交量,PR
16,徽商期货,2297,-540.0,2026-05-08,PR2607,成交量,PR
17,五矿期货,2293,-668.0,2026-05-08,PR2607,成交量,PR
18,东吴期货,1888,-638.0,2026-05-08,PR2607,成交量,PR
19,招商期货,1615,-751.0,2026-05-08,PR2607,成交量,PR
20,国信期货,1603,-849.0,2026-05-08,PR2607,成交量,PR
