排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安期货,4517,96.0,2026-05-06,PS2606,多单持仓,PS
2,海通期货,3385,444.0,2026-05-06,PS2606,多单持仓,PS
3,中信期货,3236,400.0,2026-05-06,PS2606,多单持仓,PS
4,中信建投,3011,250.0,2026-05-06,PS2606,多单持仓,PS
5,东证期货,2253,281.0,2026-05-06,PS2606,多单持仓,PS
6,银河期货,2232,-462.0,2026-05-06,PS2606,多单持仓,PS
7,中泰期货,1947,16.0,2026-05-06,PS2606,多单持仓,PS
8,广发期货,1645,-84.0,2026-05-06,PS2606,多单持仓,PS
9,方正中期,1469,53.0,2026-05-06,PS2606,多单持仓,PS
10,瑞达期货,1329,140.0,2026-05-06,PS2606,多单持仓,PS
11,华泰期货,1284,-155.0,2026-05-06,PS2606,多单持仓,PS
12,永安期货,1279,157.0,2026-05-06,PS2606,多单持仓,PS
13,华闻期货,1269,-90.0,2026-05-06,PS2606,多单持仓,PS
14,浙商期货,1216,194.0,2026-05-06,PS2606,多单持仓,PS
15,徽商期货,1186,204.0,2026-05-06,PS2606,多单持仓,PS
16,平安期货,1131,-44.0,2026-05-06,PS2606,多单持仓,PS
17,国信期货,1130,112.0,2026-05-06,PS2606,多单持仓,PS
18,招商期货,1109,255.0,2026-05-06,PS2606,多单持仓,PS
19,东方财富期货,1087,-125.0,2026-05-06,PS2606,多单持仓,PS
20,国投期货,956,68.0,2026-05-06,PS2606,多单持仓,PS
1,国泰君安期货,4334,-183.0,2026-05-07,PS2606,多单持仓,PS
2,中信期货,3585,349.0,2026-05-07,PS2606,多单持仓,PS
3,中信建投,2940,-71.0,2026-05-07,PS2606,多单持仓,PS
4,海通期货,2695,-690.0,2026-05-07,PS2606,多单持仓,PS
5,东证期货,2418,165.0,2026-05-07,PS2606,多单持仓,PS
6,方正中期,1989,520.0,2026-05-07,PS2606,多单持仓,PS
7,银河期货,1878,-354.0,2026-05-07,PS2606,多单持仓,PS
8,广发期货,1805,160.0,2026-05-07,PS2606,多单持仓,PS
9,中泰期货,1764,-183.0,2026-05-07,PS2606,多单持仓,PS
10,永安期货,1401,122.0,2026-05-07,PS2606,多单持仓,PS
11,华泰期货,1376,92.0,2026-05-07,PS2606,多单持仓,PS
12,国信期货,1298,168.0,2026-05-07,PS2606,多单持仓,PS
13,浙商期货,1282,66.0,2026-05-07,PS2606,多单持仓,PS
14,徽商期货,1197,11.0,2026-05-07,PS2606,多单持仓,PS
15,东方财富期货,1174,87.0,2026-05-07,PS2606,多单持仓,PS
16,瑞达期货,1100,-229.0,2026-05-07,PS2606,多单持仓,PS
17,华闻期货,1075,-194.0,2026-05-07,PS2606,多单持仓,PS
18,平安期货,1075,-56.0,2026-05-07,PS2606,多单持仓,PS
19,东吴期货,1019,220.0,2026-05-07,PS2606,多单持仓,PS
20,光大期货,981,108.0,2026-05-07,PS2606,多单持仓,PS
1,国泰君安期货,4247,-87.0,2026-05-08,PS2606,多单持仓,PS
2,中信期货,3655,70.0,2026-05-08,PS2606,多单持仓,PS
3,海通期货,3581,886.0,2026-05-08,PS2606,多单持仓,PS
4,中信建投,3086,146.0,2026-05-08,PS2606,多单持仓,PS
5,银河期货,2348,470.0,2026-05-08,PS2606,多单持仓,PS
6,广发期货,1769,-36.0,2026-05-08,PS2606,多单持仓,PS
7,方正中期,1690,-299.0,2026-05-08,PS2606,多单持仓,PS
8,中泰期货,1686,-78.0,2026-05-08,PS2606,多单持仓,PS
9,东证期货,1626,-792.0,2026-05-08,PS2606,多单持仓,PS
10,国信期货,1520,222.0,2026-05-08,PS2606,多单持仓,PS
11,浙商期货,1459,177.0,2026-05-08,PS2606,多单持仓,PS
12,华闻期货,1440,365.0,2026-05-08,PS2606,多单持仓,PS
13,东方财富期货,1400,226.0,2026-05-08,PS2606,多单持仓,PS
14,华泰期货,1385,9.0,2026-05-08,PS2606,多单持仓,PS
15,招商期货,1202,285.0,2026-05-08,PS2606,多单持仓,PS
16,宏源期货,1089,262.0,2026-05-08,PS2606,多单持仓,PS
17,瑞达期货,1046,-54.0,2026-05-08,PS2606,多单持仓,PS
18,平安期货,1001,-74.0,2026-05-08,PS2606,多单持仓,PS
19,徽商期货,952,-245.0,2026-05-08,PS2606,多单持仓,PS
20,东吴期货,943,-76.0,2026-05-08,PS2606,多单持仓,PS
