排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安期货,10573,716.0,2026-05-06,PS2606,空单持仓,PS
2,方正中期,6847,79.0,2026-05-06,PS2606,空单持仓,PS
3,中信期货,5016,-475.0,2026-05-06,PS2606,空单持仓,PS
4,申银万国,3417,7.0,2026-05-06,PS2606,空单持仓,PS
5,中泰期货,3216,269.0,2026-05-06,PS2606,空单持仓,PS
6,广发期货,2686,4.0,2026-05-06,PS2606,空单持仓,PS
7,新湖期货,2227,263.0,2026-05-06,PS2606,空单持仓,PS
8,华泰期货,2072,248.0,2026-05-06,PS2606,空单持仓,PS
9,中信建投,2008,121.0,2026-05-06,PS2606,空单持仓,PS
10,银河期货,1527,-213.0,2026-05-06,PS2606,空单持仓,PS
11,物产中大期货,1216,-72.0,2026-05-06,PS2606,空单持仓,PS
12,海证期货,1216,122.0,2026-05-06,PS2606,空单持仓,PS
13,国信期货,1169,22.0,2026-05-06,PS2606,空单持仓,PS
14,国投期货,1135,142.0,2026-05-06,PS2606,空单持仓,PS
15,永安期货,1105,-3.0,2026-05-06,PS2606,空单持仓,PS
16,大地期货,1074,-224.0,2026-05-06,PS2606,空单持仓,PS
17,浙商期货,1049,-40.0,2026-05-06,PS2606,空单持仓,PS
18,东证期货,924,11.0,2026-05-06,PS2606,空单持仓,PS
19,创元期货,866,28.0,2026-05-06,PS2606,空单持仓,PS
20,瑞达期货,765,36.0,2026-05-06,PS2606,空单持仓,PS
1,国泰君安期货,9916,-657.0,2026-05-07,PS2606,空单持仓,PS
2,方正中期,7002,155.0,2026-05-07,PS2606,空单持仓,PS
3,中信期货,5778,762.0,2026-05-07,PS2606,空单持仓,PS
4,申银万国,3275,-142.0,2026-05-07,PS2606,空单持仓,PS
5,中泰期货,3087,-129.0,2026-05-07,PS2606,空单持仓,PS
6,广发期货,2984,298.0,2026-05-07,PS2606,空单持仓,PS
7,中信建投,2312,304.0,2026-05-07,PS2606,空单持仓,PS
8,新湖期货,2190,-37.0,2026-05-07,PS2606,空单持仓,PS
9,银河期货,1631,104.0,2026-05-07,PS2606,空单持仓,PS
10,国信期货,1423,254.0,2026-05-07,PS2606,空单持仓,PS
11,国投期货,1384,249.0,2026-05-07,PS2606,空单持仓,PS
12,物产中大期货,1204,-12.0,2026-05-07,PS2606,空单持仓,PS
13,华泰期货,1153,-919.0,2026-05-07,PS2606,空单持仓,PS
14,东证期货,1070,146.0,2026-05-07,PS2606,空单持仓,PS
15,海证期货,980,-236.0,2026-05-07,PS2606,空单持仓,PS
16,浙商期货,957,-92.0,2026-05-07,PS2606,空单持仓,PS
17,中粮期货,905,169.0,2026-05-07,PS2606,空单持仓,PS
18,弘业期货,876,223.0,2026-05-07,PS2606,空单持仓,PS
19,东方财富期货,828,66.0,2026-05-07,PS2606,空单持仓,PS
20,大地期货,814,-260.0,2026-05-07,PS2606,空单持仓,PS
1,国泰君安期货,9780,-136.0,2026-05-08,PS2606,空单持仓,PS
2,中信期货,6163,385.0,2026-05-08,PS2606,空单持仓,PS
3,方正中期,5950,-1052.0,2026-05-08,PS2606,空单持仓,PS
4,中泰期货,3321,234.0,2026-05-08,PS2606,空单持仓,PS
5,申银万国,3287,12.0,2026-05-08,PS2606,空单持仓,PS
6,广发期货,2941,-43.0,2026-05-08,PS2606,空单持仓,PS
7,新湖期货,2224,34.0,2026-05-08,PS2606,空单持仓,PS
8,中信建投,1980,-332.0,2026-05-08,PS2606,空单持仓,PS
9,银河期货,1861,230.0,2026-05-08,PS2606,空单持仓,PS
10,东证期货,1660,590.0,2026-05-08,PS2606,空单持仓,PS
11,国投期货,1350,-34.0,2026-05-08,PS2606,空单持仓,PS
12,华泰期货,1247,94.0,2026-05-08,PS2606,空单持仓,PS
13,国信期货,1117,-306.0,2026-05-08,PS2606,空单持仓,PS
14,浙商期货,1070,113.0,2026-05-08,PS2606,空单持仓,PS
15,海证期货,976,-4.0,2026-05-08,PS2606,空单持仓,PS
16,创元期货,970,161.0,2026-05-08,PS2606,空单持仓,PS
17,永安期货,920,157.0,2026-05-08,PS2606,空单持仓,PS
18,大地期货,903,89.0,2026-05-08,PS2606,空单持仓,PS
19,五矿期货,848,172.0,2026-05-08,PS2606,空单持仓,PS
20,宝城期货,804,80.0,2026-05-08,PS2606,空单持仓,PS
