排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安期货,22541,1951.0,2026-05-06,PS2606,成交量,PS
2,中信期货,20682,327.0,2026-05-06,PS2606,成交量,PS
3,中信建投,10149,3234.0,2026-05-06,PS2606,成交量,PS
4,广发期货,9286,-2818.0,2026-05-06,PS2606,成交量,PS
5,银河期货,8033,150.0,2026-05-06,PS2606,成交量,PS
6,东证期货,6940,-1508.0,2026-05-06,PS2606,成交量,PS
7,方正中期,5174,-179.0,2026-05-06,PS2606,成交量,PS
8,徽商期货,4677,160.0,2026-05-06,PS2606,成交量,PS
9,海通期货,4376,-586.0,2026-05-06,PS2606,成交量,PS
10,华泰期货,4199,-822.0,2026-05-06,PS2606,成交量,PS
11,东方财富期货,4169,-1799.0,2026-05-06,PS2606,成交量,PS
12,中泰期货,3771,-24.0,2026-05-06,PS2606,成交量,PS
13,华闻期货,3678,739.0,2026-05-06,PS2606,成交量,PS
14,东吴期货,3631,460.0,2026-05-06,PS2606,成交量,PS
15,平安期货,2966,-1130.0,2026-05-06,PS2606,成交量,PS
16,渤海期货,2964,-43.0,2026-05-06,PS2606,成交量,PS
17,国信期货,2867,-221.0,2026-05-06,PS2606,成交量,PS
18,瑞达期货,2746,332.0,2026-05-06,PS2606,成交量,PS
19,永安期货,2662,822.0,2026-05-06,PS2606,成交量,PS
20,民生期货,2654,-18.0,2026-05-06,PS2606,成交量,PS
1,国泰君安期货,37945,15404.0,2026-05-07,PS2606,成交量,PS
2,中信期货,36179,15497.0,2026-05-07,PS2606,成交量,PS
3,中信建投,22781,12632.0,2026-05-07,PS2606,成交量,PS
4,广发期货,20404,11118.0,2026-05-07,PS2606,成交量,PS
5,银河期货,14676,6643.0,2026-05-07,PS2606,成交量,PS
6,东证期货,13622,6682.0,2026-05-07,PS2606,成交量,PS
7,徽商期货,11536,6859.0,2026-05-07,PS2606,成交量,PS
8,华泰期货,8919,4720.0,2026-05-07,PS2606,成交量,PS
9,东方财富期货,8333,4164.0,2026-05-07,PS2606,成交量,PS
10,海通期货,8310,3934.0,2026-05-07,PS2606,成交量,PS
11,方正中期,8295,3121.0,2026-05-07,PS2606,成交量,PS
12,东吴期货,8184,4553.0,2026-05-07,PS2606,成交量,PS
13,中泰期货,8182,4411.0,2026-05-07,PS2606,成交量,PS
14,平安期货,6401,3435.0,2026-05-07,PS2606,成交量,PS
15,宝城期货,6327,3778.0,2026-05-07,PS2606,成交量,PS
16,渤海期货,6261,3297.0,2026-05-07,PS2606,成交量,PS
17,国信期货,6160,3293.0,2026-05-07,PS2606,成交量,PS
18,创元期货,6038,3801.0,2026-05-07,PS2606,成交量,PS
19,华闻期货,5792,2114.0,2026-05-07,PS2606,成交量,PS
20,宏源期货,5602,3550.0,2026-05-07,PS2606,成交量,PS
1,国泰君安期货,36931,-1014.0,2026-05-08,PS2606,成交量,PS
2,中信期货,34127,-2052.0,2026-05-08,PS2606,成交量,PS
3,中信建投,20280,-2501.0,2026-05-08,PS2606,成交量,PS
4,广发期货,17499,-2905.0,2026-05-08,PS2606,成交量,PS
5,银河期货,14456,-220.0,2026-05-08,PS2606,成交量,PS
6,东证期货,12184,-1438.0,2026-05-08,PS2606,成交量,PS
7,方正中期,10675,2380.0,2026-05-08,PS2606,成交量,PS
8,徽商期货,9813,-1723.0,2026-05-08,PS2606,成交量,PS
9,海通期货,7613,-697.0,2026-05-08,PS2606,成交量,PS
10,东方财富期货,7311,-1022.0,2026-05-08,PS2606,成交量,PS
11,中泰期货,6614,-1568.0,2026-05-08,PS2606,成交量,PS
12,东吴期货,6289,-1895.0,2026-05-08,PS2606,成交量,PS
13,华泰期货,6256,-2663.0,2026-05-08,PS2606,成交量,PS
14,华闻期货,5952,160.0,2026-05-08,PS2606,成交量,PS
15,平安期货,5844,-557.0,2026-05-08,PS2606,成交量,PS
16,招商期货,5802,1351.0,2026-05-08,PS2606,成交量,PS
17,创元期货,5674,-364.0,2026-05-08,PS2606,成交量,PS
18,国信期货,5632,-528.0,2026-05-08,PS2606,成交量,PS
19,宝城期货,4881,-1446.0,2026-05-08,PS2606,成交量,PS
20,渤海期货,4692,-1569.0,2026-05-08,PS2606,成交量,PS
