排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,21185,-1700.0,2026-05-06,PX2607,多单持仓,PX
2,中信期货,19978,3101.0,2026-05-06,PX2607,多单持仓,PX
3,东证期货,18186,2080.0,2026-05-06,PX2607,多单持仓,PX
4,永安期货,15692,163.0,2026-05-06,PX2607,多单持仓,PX
5,浙商期货,12951,177.0,2026-05-06,PX2607,多单持仓,PX
6,中信建投,9882,878.0,2026-05-06,PX2607,多单持仓,PX
7,长江期货,9689,9308.0,2026-05-06,PX2607,多单持仓,PX
8,申银万国,6999,-521.0,2026-05-06,PX2607,多单持仓,PX
9,国投期货,6413,23.0,2026-05-06,PX2607,多单持仓,PX
10,华泰期货,5816,1001.0,2026-05-06,PX2607,多单持仓,PX
11,五矿期货,5651,359.0,2026-05-06,PX2607,多单持仓,PX
12,瑞达期货,5007,252.0,2026-05-06,PX2607,多单持仓,PX
13,广发期货,4149,108.0,2026-05-06,PX2607,多单持仓,PX
14,国元期货,3934,-9.0,2026-05-06,PX2607,多单持仓,PX
15,银河期货,3750,306.0,2026-05-06,PX2607,多单持仓,PX
16,紫金天风,3154,-88.0,2026-05-06,PX2607,多单持仓,PX
17,海证期货,3010,-95.0,2026-05-06,PX2607,多单持仓,PX
18,海通期货,2752,872.0,2026-05-06,PX2607,多单持仓,PX
19,云财富期货,2511,0.0,2026-05-06,PX2607,多单持仓,PX
20,国联期货,2438,437.0,2026-05-06,PX2607,多单持仓,PX
1,国泰君安,22796,1611.0,2026-05-07,PX2607,多单持仓,PX
2,东证期货,19105,919.0,2026-05-07,PX2607,多单持仓,PX
3,中信期货,18138,-1840.0,2026-05-07,PX2607,多单持仓,PX
4,永安期货,15232,-460.0,2026-05-07,PX2607,多单持仓,PX
5,浙商期货,12995,44.0,2026-05-07,PX2607,多单持仓,PX
6,中信建投,10404,522.0,2026-05-07,PX2607,多单持仓,PX
7,申银万国,9363,2364.0,2026-05-07,PX2607,多单持仓,PX
8,长江期货,8371,-1318.0,2026-05-07,PX2607,多单持仓,PX
9,五矿期货,6342,691.0,2026-05-07,PX2607,多单持仓,PX
10,瑞达期货,5890,883.0,2026-05-07,PX2607,多单持仓,PX
11,国投期货,5415,-998.0,2026-05-07,PX2607,多单持仓,PX
12,方正中期,4561,2896.0,2026-05-07,PX2607,多单持仓,PX
13,银河期货,4276,526.0,2026-05-07,PX2607,多单持仓,PX
14,华泰期货,4143,-1673.0,2026-05-07,PX2607,多单持仓,PX
15,国元期货,3641,-293.0,2026-05-07,PX2607,多单持仓,PX
16,广发期货,3344,-805.0,2026-05-07,PX2607,多单持仓,PX
17,新湖期货,3108,754.0,2026-05-07,PX2607,多单持仓,PX
18,海通期货,2637,-115.0,2026-05-07,PX2607,多单持仓,PX
19,云财富期货,2606,95.0,2026-05-07,PX2607,多单持仓,PX
20,一德期货,2471,1127.0,2026-05-07,PX2607,多单持仓,PX
1,国泰君安,19512,-3284.0,2026-05-08,PX2607,多单持仓,PX
2,东证期货,19175,70.0,2026-05-08,PX2607,多单持仓,PX
3,中信期货,18458,320.0,2026-05-08,PX2607,多单持仓,PX
4,浙商期货,13139,144.0,2026-05-08,PX2607,多单持仓,PX
5,永安期货,12574,-2658.0,2026-05-08,PX2607,多单持仓,PX
6,中信建投,11164,760.0,2026-05-08,PX2607,多单持仓,PX
7,申银万国,10996,1633.0,2026-05-08,PX2607,多单持仓,PX
8,长江期货,6987,-1384.0,2026-05-08,PX2607,多单持仓,PX
9,瑞达期货,6048,158.0,2026-05-08,PX2607,多单持仓,PX
10,方正中期,6039,1478.0,2026-05-08,PX2607,多单持仓,PX
11,国投期货,5469,54.0,2026-05-08,PX2607,多单持仓,PX
12,银河期货,4152,-124.0,2026-05-08,PX2607,多单持仓,PX
13,华泰期货,4122,-21.0,2026-05-08,PX2607,多单持仓,PX
14,五矿期货,3639,-2703.0,2026-05-08,PX2607,多单持仓,PX
15,国元期货,3525,-116.0,2026-05-08,PX2607,多单持仓,PX
16,广发期货,3455,111.0,2026-05-08,PX2607,多单持仓,PX
17,新湖期货,3034,-74.0,2026-05-08,PX2607,多单持仓,PX
18,云财富期货,2615,9.0,2026-05-08,PX2607,多单持仓,PX
19,一德期货,2499,28.0,2026-05-08,PX2607,多单持仓,PX
20,中财期货,2467,764.0,2026-05-08,PX2607,多单持仓,PX
