排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,47480,1429.0,2026-05-06,PX2607,空单持仓,PX
2,中信期货,23116,2403.0,2026-05-06,PX2607,空单持仓,PX
3,中信建投,10436,1041.0,2026-05-06,PX2607,空单持仓,PX
4,东证期货,10113,1849.0,2026-05-06,PX2607,空单持仓,PX
5,长江期货,9826,9256.0,2026-05-06,PX2607,空单持仓,PX
6,一德期货,8998,29.0,2026-05-06,PX2607,空单持仓,PX
7,银河期货,8781,154.0,2026-05-06,PX2607,空单持仓,PX
8,浙商期货,8216,803.0,2026-05-06,PX2607,空单持仓,PX
9,国投期货,5999,290.0,2026-05-06,PX2607,空单持仓,PX
10,五矿期货,5640,294.0,2026-05-06,PX2607,空单持仓,PX
11,新湖期货,4431,415.0,2026-05-06,PX2607,空单持仓,PX
12,瑞达期货,4235,333.0,2026-05-06,PX2607,空单持仓,PX
13,国元期货,4030,-12.0,2026-05-06,PX2607,空单持仓,PX
14,华泰期货,3399,-32.0,2026-05-06,PX2607,空单持仓,PX
15,物产中大,3280,-581.0,2026-05-06,PX2607,空单持仓,PX
16,永安期货,3065,-139.0,2026-05-06,PX2607,空单持仓,PX
17,广发期货,2992,48.0,2026-05-06,PX2607,空单持仓,PX
18,申银万国,2955,-145.0,2026-05-06,PX2607,空单持仓,PX
19,弘业期货,2945,774.0,2026-05-06,PX2607,空单持仓,PX
20,中财期货,2794,-972.0,2026-05-06,PX2607,空单持仓,PX
1,国泰君安,49465,1985.0,2026-05-07,PX2607,空单持仓,PX
2,中信期货,22290,-826.0,2026-05-07,PX2607,空单持仓,PX
3,中信建投,10751,315.0,2026-05-07,PX2607,空单持仓,PX
4,东证期货,9225,-888.0,2026-05-07,PX2607,空单持仓,PX
5,一德期货,8941,-57.0,2026-05-07,PX2607,空单持仓,PX
6,长江期货,8256,-1570.0,2026-05-07,PX2607,空单持仓,PX
7,浙商期货,8242,26.0,2026-05-07,PX2607,空单持仓,PX
8,银河期货,7037,-1744.0,2026-05-07,PX2607,空单持仓,PX
9,国投期货,6205,206.0,2026-05-07,PX2607,空单持仓,PX
10,五矿期货,5949,309.0,2026-05-07,PX2607,空单持仓,PX
11,瑞达期货,5661,1426.0,2026-05-07,PX2607,空单持仓,PX
12,申银万国,5213,2258.0,2026-05-07,PX2607,空单持仓,PX
13,新湖期货,4112,-319.0,2026-05-07,PX2607,空单持仓,PX
14,国元期货,3855,-175.0,2026-05-07,PX2607,空单持仓,PX
15,方正中期,3711,2478.0,2026-05-07,PX2607,空单持仓,PX
16,宏源期货,3332,538.0,2026-05-07,PX2607,空单持仓,PX
17,华泰期货,3293,-106.0,2026-05-07,PX2607,空单持仓,PX
18,物产中大,3181,-99.0,2026-05-07,PX2607,空单持仓,PX
19,永安期货,2977,-88.0,2026-05-07,PX2607,空单持仓,PX
20,中财期货,2727,-67.0,2026-05-07,PX2607,空单持仓,PX
1,国泰君安,47703,-1762.0,2026-05-08,PX2607,空单持仓,PX
2,中信期货,21853,-437.0,2026-05-08,PX2607,空单持仓,PX
3,中信建投,11301,550.0,2026-05-08,PX2607,空单持仓,PX
4,东证期货,9369,144.0,2026-05-08,PX2607,空单持仓,PX
5,一德期货,8846,-95.0,2026-05-08,PX2607,空单持仓,PX
6,浙商期货,8071,-171.0,2026-05-08,PX2607,空单持仓,PX
7,银河期货,6793,-244.0,2026-05-08,PX2607,空单持仓,PX
8,长江期货,6680,-1576.0,2026-05-08,PX2607,空单持仓,PX
9,申银万国,6570,1357.0,2026-05-08,PX2607,空单持仓,PX
10,瑞达期货,5408,-253.0,2026-05-08,PX2607,空单持仓,PX
11,国投期货,5396,-809.0,2026-05-08,PX2607,空单持仓,PX
12,方正中期,5000,1289.0,2026-05-08,PX2607,空单持仓,PX
13,新湖期货,4079,-33.0,2026-05-08,PX2607,空单持仓,PX
14,国元期货,3939,84.0,2026-05-08,PX2607,空单持仓,PX
15,五矿期货,3247,-2702.0,2026-05-08,PX2607,空单持仓,PX
16,物产中大,3160,-21.0,2026-05-08,PX2607,空单持仓,PX
17,华泰期货,3080,-213.0,2026-05-08,PX2607,空单持仓,PX
18,永安期货,2916,-61.0,2026-05-08,PX2607,空单持仓,PX
19,广发期货,2492,-206.0,2026-05-08,PX2607,空单持仓,PX
20,宏源期货,2453,-879.0,2026-05-08,PX2607,空单持仓,PX
