排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,52484,-17406.0,2026-05-06,PX2607,成交量,PX
2,国泰君安,52399,5958.0,2026-05-06,PX2607,成交量,PX
3,东证期货,51005,-2166.0,2026-05-06,PX2607,成交量,PX
4,长江期货,19456,14095.0,2026-05-06,PX2607,成交量,PX
5,中信建投,17021,-14081.0,2026-05-06,PX2607,成交量,PX
6,浙商期货,16402,-6552.0,2026-05-06,PX2607,成交量,PX
7,海通期货,14586,2770.0,2026-05-06,PX2607,成交量,PX
8,方正中期,13680,2642.0,2026-05-06,PX2607,成交量,PX
9,国信期货,13584,-842.0,2026-05-06,PX2607,成交量,PX
10,华西期货,10730,2854.0,2026-05-06,PX2607,成交量,PX
11,银河期货,9242,-183.0,2026-05-06,PX2607,成交量,PX
12,中泰期货,8689,-1360.0,2026-05-06,PX2607,成交量,PX
13,五矿期货,8407,-5707.0,2026-05-06,PX2607,成交量,PX
14,华闻期货,8019,-1047.0,2026-05-06,PX2607,成交量,PX
15,国元期货,7265,60.0,2026-05-06,PX2607,成交量,PX
16,国投期货,6519,-25234.0,2026-05-06,PX2607,成交量,PX
17,广发期货,6318,124.0,2026-05-06,PX2607,成交量,PX
18,南华期货,6209,-732.0,2026-05-06,PX2607,成交量,PX
19,申银万国,5682,-11677.0,2026-05-06,PX2607,成交量,PX
20,宏源期货,5547,-838.0,2026-05-06,PX2607,成交量,PX
1,中信期货,78280,25796.0,2026-05-07,PX2607,成交量,PX
2,东证期货,66067,15062.0,2026-05-07,PX2607,成交量,PX
3,国泰君安,58910,6511.0,2026-05-07,PX2607,成交量,PX
4,浙商期货,33302,16900.0,2026-05-07,PX2607,成交量,PX
5,中信建投,27945,10924.0,2026-05-07,PX2607,成交量,PX
6,长江期货,23022,3566.0,2026-05-07,PX2607,成交量,PX
7,五矿期货,17726,9319.0,2026-05-07,PX2607,成交量,PX
8,申银万国,17372,11690.0,2026-05-07,PX2607,成交量,PX
9,中泰期货,16549,7860.0,2026-05-07,PX2607,成交量,PX
10,国信期货,16120,2536.0,2026-05-07,PX2607,成交量,PX
11,银河期货,15274,6032.0,2026-05-07,PX2607,成交量,PX
12,海通期货,13310,-1276.0,2026-05-07,PX2607,成交量,PX
13,华西期货,13148,2418.0,2026-05-07,PX2607,成交量,PX
14,国投期货,12314,5795.0,2026-05-07,PX2607,成交量,PX
15,华泰期货,11495,7230.0,2026-05-07,PX2607,成交量,PX
16,华闻期货,11108,3089.0,2026-05-07,PX2607,成交量,PX
17,方正中期,11088,-2592.0,2026-05-07,PX2607,成交量,PX
18,国元期货,10846,3581.0,2026-05-07,PX2607,成交量,PX
19,南华期货,9282,3073.0,2026-05-07,PX2607,成交量,PX
20,瑞达期货,8685,5506.0,2026-05-07,PX2607,成交量,PX
1,浙商期货,90213,56911.0,2026-05-08,PX2607,成交量,PX
2,中信期货,71169,-7111.0,2026-05-08,PX2607,成交量,PX
3,长江期货,67266,44244.0,2026-05-08,PX2607,成交量,PX
4,东证期货,60014,-6053.0,2026-05-08,PX2607,成交量,PX
5,国泰君安,49808,-9102.0,2026-05-08,PX2607,成交量,PX
6,中信建投,38304,10359.0,2026-05-08,PX2607,成交量,PX
7,申银万国,33738,16366.0,2026-05-08,PX2607,成交量,PX
8,五矿期货,32627,14901.0,2026-05-08,PX2607,成交量,PX
9,国投期货,20659,8345.0,2026-05-08,PX2607,成交量,PX
10,方正中期,20197,9109.0,2026-05-08,PX2607,成交量,PX
11,国信期货,13994,-2126.0,2026-05-08,PX2607,成交量,PX
12,中泰期货,13059,-3490.0,2026-05-08,PX2607,成交量,PX
13,海通期货,12655,-655.0,2026-05-08,PX2607,成交量,PX
14,国元期货,12040,1194.0,2026-05-08,PX2607,成交量,PX
15,银河期货,11790,-3484.0,2026-05-08,PX2607,成交量,PX
16,华闻期货,10612,-496.0,2026-05-08,PX2607,成交量,PX
17,瑞达期货,9323,638.0,2026-05-08,PX2607,成交量,PX
18,华西期货,8643,-4505.0,2026-05-08,PX2607,成交量,PX
19,华泰期货,7658,-3837.0,2026-05-08,PX2607,成交量,PX
20,宏源期货,7111,-18.0,2026-05-08,PX2607,成交量,PX
