排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,286093,15921.0,2026-05-06,rb2610,多单持仓,RB
2,东证期货,195535,3982.0,2026-05-06,rb2610,多单持仓,RB
3,国泰君安,148536,12779.0,2026-05-06,rb2610,多单持仓,RB
4,乾坤期货,85445,12118.0,2026-05-06,rb2610,多单持仓,RB
5,银河期货,70218,3059.0,2026-05-06,rb2610,多单持仓,RB
6,永安期货,65287,5397.0,2026-05-06,rb2610,多单持仓,RB
7,华泰期货,60505,8318.0,2026-05-06,rb2610,多单持仓,RB
8,中金财富,47970,7717.0,2026-05-06,rb2610,多单持仓,RB
9,方正中期,46922,3592.0,2026-05-06,rb2610,多单持仓,RB
10,浙商期货,41460,6549.0,2026-05-06,rb2610,多单持仓,RB
11,瑞达期货,41405,13304.0,2026-05-06,rb2610,多单持仓,RB
12,中信建投,41061,2876.0,2026-05-06,rb2610,多单持仓,RB
13,海证期货,39598,-6093.0,2026-05-06,rb2610,多单持仓,RB
14,中辉期货,37041,1837.0,2026-05-06,rb2610,多单持仓,RB
15,广发期货,29917,3390.0,2026-05-06,rb2610,多单持仓,RB
16,国投期货,27557,1054.0,2026-05-06,rb2610,多单持仓,RB
17,东吴期货,27476,3792.0,2026-05-06,rb2610,多单持仓,RB
18,申万期货,26124,748.0,2026-05-06,rb2610,多单持仓,RB
19,招商期货,26074,7065.0,2026-05-06,rb2610,多单持仓,RB
20,徽商期货,22931,5237.0,2026-05-06,rb2610,多单持仓,RB
1,中信期货,293219,7126.0,2026-05-07,rb2610,多单持仓,RB
2,东证期货,205427,9892.0,2026-05-07,rb2610,多单持仓,RB
3,国泰君安,155936,7400.0,2026-05-07,rb2610,多单持仓,RB
4,乾坤期货,103813,18368.0,2026-05-07,rb2610,多单持仓,RB
5,银河期货,72893,2675.0,2026-05-07,rb2610,多单持仓,RB
6,永安期货,67101,1814.0,2026-05-07,rb2610,多单持仓,RB
7,华泰期货,64873,4368.0,2026-05-07,rb2610,多单持仓,RB
8,中金财富,52486,4516.0,2026-05-07,rb2610,多单持仓,RB
9,浙商期货,46535,5075.0,2026-05-07,rb2610,多单持仓,RB
10,瑞达期货,44972,3567.0,2026-05-07,rb2610,多单持仓,RB
11,中信建投,41724,663.0,2026-05-07,rb2610,多单持仓,RB
12,方正中期,41262,-5660.0,2026-05-07,rb2610,多单持仓,RB
13,中辉期货,38257,1216.0,2026-05-07,rb2610,多单持仓,RB
14,海证期货,36574,-3024.0,2026-05-07,rb2610,多单持仓,RB
15,广发期货,31129,1212.0,2026-05-07,rb2610,多单持仓,RB
16,国投期货,29715,2158.0,2026-05-07,rb2610,多单持仓,RB
17,东吴期货,28687,1211.0,2026-05-07,rb2610,多单持仓,RB
18,招商期货,28608,2534.0,2026-05-07,rb2610,多单持仓,RB
19,兴证期货,26560,4232.0,2026-05-07,rb2610,多单持仓,RB
20,平安期货,25293,4602.0,2026-05-07,rb2610,多单持仓,RB
1,中信期货,298710,5491.0,2026-05-08,rb2610,多单持仓,RB
2,东证期货,196232,-9195.0,2026-05-08,rb2610,多单持仓,RB
3,国泰君安,163167,7231.0,2026-05-08,rb2610,多单持仓,RB
4,乾坤期货,114865,11052.0,2026-05-08,rb2610,多单持仓,RB
5,永安期货,74680,7579.0,2026-05-08,rb2610,多单持仓,RB
6,银河期货,74264,1371.0,2026-05-08,rb2610,多单持仓,RB
7,华泰期货,66548,1675.0,2026-05-08,rb2610,多单持仓,RB
8,中金财富,57118,4632.0,2026-05-08,rb2610,多单持仓,RB
9,浙商期货,45346,-1189.0,2026-05-08,rb2610,多单持仓,RB
10,中信建投,42355,631.0,2026-05-08,rb2610,多单持仓,RB
11,方正中期,38679,-2583.0,2026-05-08,rb2610,多单持仓,RB
12,国信期货,38385,19101.0,2026-05-08,rb2610,多单持仓,RB
13,中辉期货,37231,-1026.0,2026-05-08,rb2610,多单持仓,RB
14,瑞达期货,35907,-9065.0,2026-05-08,rb2610,多单持仓,RB
15,广发期货,32323,1194.0,2026-05-08,rb2610,多单持仓,RB
16,国投期货,29692,-23.0,2026-05-08,rb2610,多单持仓,RB
17,招商期货,29369,761.0,2026-05-08,rb2610,多单持仓,RB
18,海证期货,29331,-7243.0,2026-05-08,rb2610,多单持仓,RB
19,东吴期货,28383,-304.0,2026-05-08,rb2610,多单持仓,RB
20,平安期货,27916,2623.0,2026-05-08,rb2610,多单持仓,RB
