排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,217118,9652.0,2026-05-06,rb2610,空单持仓,RB
2,永安期货,157854,11212.0,2026-05-06,rb2610,空单持仓,RB
3,中信期货,150141,5075.0,2026-05-06,rb2610,空单持仓,RB
4,东证期货,98424,2508.0,2026-05-06,rb2610,空单持仓,RB
5,华泰期货,67181,5067.0,2026-05-06,rb2610,空单持仓,RB
6,国贸期货,63993,5360.0,2026-05-06,rb2610,空单持仓,RB
7,银河期货,60520,6096.0,2026-05-06,rb2610,空单持仓,RB
8,方正中期,54261,5406.0,2026-05-06,rb2610,空单持仓,RB
9,国投期货,50053,3618.0,2026-05-06,rb2610,空单持仓,RB
10,物产中大,49925,-189.0,2026-05-06,rb2610,空单持仓,RB
11,中辉期货,45470,4154.0,2026-05-06,rb2610,空单持仓,RB
12,浙商期货,38676,3244.0,2026-05-06,rb2610,空单持仓,RB
13,东海期货,36717,1191.0,2026-05-06,rb2610,空单持仓,RB
14,华闻期货,32451,2203.0,2026-05-06,rb2610,空单持仓,RB
15,瑞达期货,31758,7519.0,2026-05-06,rb2610,空单持仓,RB
16,中泰期货,29954,3004.0,2026-05-06,rb2610,空单持仓,RB
17,南华期货,28462,-958.0,2026-05-06,rb2610,空单持仓,RB
18,弘业期货,28292,2419.0,2026-05-06,rb2610,空单持仓,RB
19,申万期货,28131,3514.0,2026-05-06,rb2610,空单持仓,RB
20,格林大华,27626,1246.0,2026-05-06,rb2610,空单持仓,RB
1,国泰君安,216558,-560.0,2026-05-07,rb2610,空单持仓,RB
2,永安期货,164292,6438.0,2026-05-07,rb2610,空单持仓,RB
3,中信期货,153112,2971.0,2026-05-07,rb2610,空单持仓,RB
4,东证期货,99327,903.0,2026-05-07,rb2610,空单持仓,RB
5,华泰期货,75425,8244.0,2026-05-07,rb2610,空单持仓,RB
6,国贸期货,66701,2708.0,2026-05-07,rb2610,空单持仓,RB
7,银河期货,60869,349.0,2026-05-07,rb2610,空单持仓,RB
8,方正中期,57672,3411.0,2026-05-07,rb2610,空单持仓,RB
9,国投期货,51499,1446.0,2026-05-07,rb2610,空单持仓,RB
10,物产中大,51278,1353.0,2026-05-07,rb2610,空单持仓,RB
11,中辉期货,45223,-247.0,2026-05-07,rb2610,空单持仓,RB
12,浙商期货,39319,643.0,2026-05-07,rb2610,空单持仓,RB
13,东海期货,36259,-458.0,2026-05-07,rb2610,空单持仓,RB
14,华闻期货,35633,3182.0,2026-05-07,rb2610,空单持仓,RB
15,中泰期货,34198,4244.0,2026-05-07,rb2610,空单持仓,RB
16,瑞达期货,31126,-632.0,2026-05-07,rb2610,空单持仓,RB
17,南华期货,30103,1641.0,2026-05-07,rb2610,空单持仓,RB
18,申万期货,29401,1270.0,2026-05-07,rb2610,空单持仓,RB
19,格林大华,28138,512.0,2026-05-07,rb2610,空单持仓,RB
20,弘业期货,27914,-378.0,2026-05-07,rb2610,空单持仓,RB
1,国泰君安,218156,1598.0,2026-05-08,rb2610,空单持仓,RB
2,永安期货,173391,9099.0,2026-05-08,rb2610,空单持仓,RB
3,中信期货,152522,-590.0,2026-05-08,rb2610,空单持仓,RB
4,东证期货,100589,1262.0,2026-05-08,rb2610,空单持仓,RB
5,华泰期货,77470,2045.0,2026-05-08,rb2610,空单持仓,RB
6,国贸期货,69586,2885.0,2026-05-08,rb2610,空单持仓,RB
7,银河期货,60748,-121.0,2026-05-08,rb2610,空单持仓,RB
8,方正中期,59152,1480.0,2026-05-08,rb2610,空单持仓,RB
9,物产中大,56001,4723.0,2026-05-08,rb2610,空单持仓,RB
10,国投期货,52435,936.0,2026-05-08,rb2610,空单持仓,RB
11,浙商期货,47174,7855.0,2026-05-08,rb2610,空单持仓,RB
12,中辉期货,46458,1235.0,2026-05-08,rb2610,空单持仓,RB
13,东海期货,37842,1583.0,2026-05-08,rb2610,空单持仓,RB
14,华闻期货,35852,219.0,2026-05-08,rb2610,空单持仓,RB
15,中泰期货,31810,-2388.0,2026-05-08,rb2610,空单持仓,RB
16,南华期货,31763,1660.0,2026-05-08,rb2610,空单持仓,RB
17,申万期货,30056,655.0,2026-05-08,rb2610,空单持仓,RB
18,瑞达期货,29532,-1594.0,2026-05-08,rb2610,空单持仓,RB
19,弘业期货,28105,191.0,2026-05-08,rb2610,空单持仓,RB
20,格林大华,27452,-686.0,2026-05-08,rb2610,空单持仓,RB
