排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,169685,12080.0,2026-05-06,rb2610,成交量,RB
2,中信期货,161796,22398.0,2026-05-06,rb2610,成交量,RB
3,东证期货,135476,3229.0,2026-05-06,rb2610,成交量,RB
4,华泰期货,78049,17379.0,2026-05-06,rb2610,成交量,RB
5,银河期货,47377,-12912.0,2026-05-06,rb2610,成交量,RB
6,华闻期货,39450,6722.0,2026-05-06,rb2610,成交量,RB
7,永安期货,37599,11461.0,2026-05-06,rb2610,成交量,RB
8,瑞达期货,33719,6580.0,2026-05-06,rb2610,成交量,RB
9,方正中期,31372,6761.0,2026-05-06,rb2610,成交量,RB
10,广发期货,23331,-14762.0,2026-05-06,rb2610,成交量,RB
11,中泰期货,23019,4618.0,2026-05-06,rb2610,成交量,RB
12,徽商期货,22220,3410.0,2026-05-06,rb2610,成交量,RB
13,国盛期货,20482,95.0,2026-05-06,rb2610,成交量,RB
14,浙商期货,19129,1999.0,2026-05-06,rb2610,成交量,RB
15,国投期货,19068,6891.0,2026-05-06,rb2610,成交量,RB
16,中信建投,17898,2511.0,2026-05-06,rb2610,成交量,RB
17,光大期货,15834,-7198.0,2026-05-06,rb2610,成交量,RB
18,东吴期货,15296,-2259.0,2026-05-06,rb2610,成交量,RB
19,大有期货,15285,11611.0,2026-05-06,rb2610,成交量,RB
20,南华期货,14994,465.0,2026-05-06,rb2610,成交量,RB
1,国泰君安,233888,64203.0,2026-05-07,rb2610,成交量,RB
2,中信期货,169681,7885.0,2026-05-07,rb2610,成交量,RB
3,东证期货,159873,24397.0,2026-05-07,rb2610,成交量,RB
4,华泰期货,119932,41883.0,2026-05-07,rb2610,成交量,RB
5,华闻期货,56949,17499.0,2026-05-07,rb2610,成交量,RB
6,银河期货,51790,4413.0,2026-05-07,rb2610,成交量,RB
7,方正中期,37349,5977.0,2026-05-07,rb2610,成交量,RB
8,永安期货,35794,-1805.0,2026-05-07,rb2610,成交量,RB
9,徽商期货,32082,9862.0,2026-05-07,rb2610,成交量,RB
10,中泰期货,26673,3654.0,2026-05-07,rb2610,成交量,RB
11,中信建投,25101,7203.0,2026-05-07,rb2610,成交量,RB
12,浙商期货,24836,5707.0,2026-05-07,rb2610,成交量,RB
13,海通期货,23493,12406.0,2026-05-07,rb2610,成交量,RB
14,乾坤期货,22663,9964.0,2026-05-07,rb2610,成交量,RB
15,南华期货,20836,5842.0,2026-05-07,rb2610,成交量,RB
16,光大期货,18993,3159.0,2026-05-07,rb2610,成交量,RB
17,广发期货,18913,-4418.0,2026-05-07,rb2610,成交量,RB
18,国元期货,18677,9605.0,2026-05-07,rb2610,成交量,RB
19,国盛期货,18513,-1969.0,2026-05-07,rb2610,成交量,RB
20,中辉期货,18333,4142.0,2026-05-07,rb2610,成交量,RB
1,国泰君安,220675,-13213.0,2026-05-08,rb2610,成交量,RB
2,中信期货,174697,5016.0,2026-05-08,rb2610,成交量,RB
3,东证期货,141163,-18710.0,2026-05-08,rb2610,成交量,RB
4,华闻期货,105028,48079.0,2026-05-08,rb2610,成交量,RB
5,华泰期货,73446,-46486.0,2026-05-08,rb2610,成交量,RB
6,银河期货,44646,-7144.0,2026-05-08,rb2610,成交量,RB
7,瑞达期货,35307,17574.0,2026-05-08,rb2610,成交量,RB
8,永安期货,34458,-1336.0,2026-05-08,rb2610,成交量,RB
9,方正中期,32095,-5254.0,2026-05-08,rb2610,成交量,RB
10,国信期货,31446,21291.0,2026-05-08,rb2610,成交量,RB
11,徽商期货,25903,-6179.0,2026-05-08,rb2610,成交量,RB
12,浙商期货,25672,836.0,2026-05-08,rb2610,成交量,RB
13,中泰期货,24596,-2077.0,2026-05-08,rb2610,成交量,RB
14,南华期货,23093,2257.0,2026-05-08,rb2610,成交量,RB
15,财信期货,22979,17082.0,2026-05-08,rb2610,成交量,RB
16,中信建投,20634,-4467.0,2026-05-08,rb2610,成交量,RB
17,中金财富,18262,731.0,2026-05-08,rb2610,成交量,RB
18,广发期货,18111,-802.0,2026-05-08,rb2610,成交量,RB
19,一德期货,17450,11476.0,2026-05-08,rb2610,成交量,RB
20,海证期货,17304,5628.0,2026-05-08,rb2610,成交量,RB
