排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,乾坤期货,65168,-5509.0,2026-05-06,RM2609,多单持仓,RM
2,东证期货,53205,-1231.0,2026-05-06,RM2609,多单持仓,RM
3,国泰君安,43401,2685.0,2026-05-06,RM2609,多单持仓,RM
4,中信期货,36417,1942.0,2026-05-06,RM2609,多单持仓,RM
5,银河期货,22271,1524.0,2026-05-06,RM2609,多单持仓,RM
6,方正中期,18315,2538.0,2026-05-06,RM2609,多单持仓,RM
7,中信建投,18081,865.0,2026-05-06,RM2609,多单持仓,RM
8,徽商期货,17446,1644.0,2026-05-06,RM2609,多单持仓,RM
9,东吴期货,16013,696.0,2026-05-06,RM2609,多单持仓,RM
10,中泰期货,14411,-1140.0,2026-05-06,RM2609,多单持仓,RM
11,中粮期货,14225,3982.0,2026-05-06,RM2609,多单持仓,RM
12,国投期货,14144,201.0,2026-05-06,RM2609,多单持仓,RM
13,浙商期货,12351,854.0,2026-05-06,RM2609,多单持仓,RM
14,平安期货,12157,-385.0,2026-05-06,RM2609,多单持仓,RM
15,宏源期货,12123,-61.0,2026-05-06,RM2609,多单持仓,RM
16,永安期货,11416,588.0,2026-05-06,RM2609,多单持仓,RM
17,海通期货,11366,3955.0,2026-05-06,RM2609,多单持仓,RM
18,广发期货,11257,117.0,2026-05-06,RM2609,多单持仓,RM
19,创元期货,11147,1018.0,2026-05-06,RM2609,多单持仓,RM
20,华泰期货,10935,-1292.0,2026-05-06,RM2609,多单持仓,RM
1,乾坤期货,64881,-287.0,2026-05-07,RM2609,多单持仓,RM
2,东证期货,54231,1026.0,2026-05-07,RM2609,多单持仓,RM
3,国泰君安,43646,245.0,2026-05-07,RM2609,多单持仓,RM
4,中信期货,31781,-4636.0,2026-05-07,RM2609,多单持仓,RM
5,银河期货,25979,3708.0,2026-05-07,RM2609,多单持仓,RM
6,徽商期货,21626,4180.0,2026-05-07,RM2609,多单持仓,RM
7,方正中期,19266,951.0,2026-05-07,RM2609,多单持仓,RM
8,中信建投,19264,1183.0,2026-05-07,RM2609,多单持仓,RM
9,东吴期货,17011,998.0,2026-05-07,RM2609,多单持仓,RM
10,中粮期货,16164,1939.0,2026-05-07,RM2609,多单持仓,RM
11,中泰期货,15596,1185.0,2026-05-07,RM2609,多单持仓,RM
12,平安期货,14170,2013.0,2026-05-07,RM2609,多单持仓,RM
13,华泰期货,12324,1389.0,2026-05-07,RM2609,多单持仓,RM
14,海通期货,12270,904.0,2026-05-07,RM2609,多单持仓,RM
15,浙商期货,12251,-100.0,2026-05-07,RM2609,多单持仓,RM
16,永安期货,12146,730.0,2026-05-07,RM2609,多单持仓,RM
17,广发期货,12141,884.0,2026-05-07,RM2609,多单持仓,RM
18,宏源期货,12052,-71.0,2026-05-07,RM2609,多单持仓,RM
19,创元期货,11584,437.0,2026-05-07,RM2609,多单持仓,RM
20,金元期货,11254,603.0,2026-05-07,RM2609,多单持仓,RM
1,东证期货,58945,4714.0,2026-05-08,RM2609,多单持仓,RM
2,乾坤期货,52816,-12065.0,2026-05-08,RM2609,多单持仓,RM
3,国泰君安,42832,-814.0,2026-05-08,RM2609,多单持仓,RM
4,中信期货,29227,-2554.0,2026-05-08,RM2609,多单持仓,RM
5,银河期货,26041,62.0,2026-05-08,RM2609,多单持仓,RM
6,徽商期货,19886,-1740.0,2026-05-08,RM2609,多单持仓,RM
7,中信建投,18683,-581.0,2026-05-08,RM2609,多单持仓,RM
8,方正中期,18595,-671.0,2026-05-08,RM2609,多单持仓,RM
9,平安期货,17266,3096.0,2026-05-08,RM2609,多单持仓,RM
10,东吴期货,16910,-101.0,2026-05-08,RM2609,多单持仓,RM
11,中粮期货,16841,677.0,2026-05-08,RM2609,多单持仓,RM
12,中泰期货,15413,-183.0,2026-05-08,RM2609,多单持仓,RM
13,华泰期货,13440,1116.0,2026-05-08,RM2609,多单持仓,RM
14,金元期货,13252,1998.0,2026-05-08,RM2609,多单持仓,RM
15,广发期货,13132,991.0,2026-05-08,RM2609,多单持仓,RM
16,国投期货,12172,1185.0,2026-05-08,RM2609,多单持仓,RM
17,宏源期货,11412,-640.0,2026-05-08,RM2609,多单持仓,RM
18,永安期货,11360,-786.0,2026-05-08,RM2609,多单持仓,RM
19,创元期货,11333,-251.0,2026-05-08,RM2609,多单持仓,RM
20,摩根大通,10126,-78.0,2026-05-08,RM2609,多单持仓,RM
