排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,东证期货,95916,13757.0,2026-05-06,RM2609,空单持仓,RM
2,国泰君安,75792,5526.0,2026-05-06,RM2609,空单持仓,RM
3,中粮期货,58936,-1086.0,2026-05-06,RM2609,空单持仓,RM
4,瑞银期货,56924,-39.0,2026-05-06,RM2609,空单持仓,RM
5,中信期货,32776,5981.0,2026-05-06,RM2609,空单持仓,RM
6,摩根大通,30534,4302.0,2026-05-06,RM2609,空单持仓,RM
7,华泰期货,29398,-770.0,2026-05-06,RM2609,空单持仓,RM
8,银河期货,26562,-501.0,2026-05-06,RM2609,空单持仓,RM
9,国投期货,25552,1728.0,2026-05-06,RM2609,空单持仓,RM
10,广发期货,20653,-369.0,2026-05-06,RM2609,空单持仓,RM
11,申银万国,20364,3989.0,2026-05-06,RM2609,空单持仓,RM
12,中财期货,17786,338.0,2026-05-06,RM2609,空单持仓,RM
13,一德期货,15387,861.0,2026-05-06,RM2609,空单持仓,RM
14,乾坤期货,14395,2273.0,2026-05-06,RM2609,空单持仓,RM
15,中金财富,11121,11.0,2026-05-06,RM2609,空单持仓,RM
16,格林大华期货,10919,-308.0,2026-05-06,RM2609,空单持仓,RM
17,海证期货,10613,-17.0,2026-05-06,RM2609,空单持仓,RM
18,正信期货,10263,1631.0,2026-05-06,RM2609,空单持仓,RM
19,宏源期货,9410,-631.0,2026-05-06,RM2609,空单持仓,RM
20,瑞达期货,9065,2255.0,2026-05-06,RM2609,空单持仓,RM
1,东证期货,97321,1405.0,2026-05-07,RM2609,空单持仓,RM
2,国泰君安,88428,12636.0,2026-05-07,RM2609,空单持仓,RM
3,中粮期货,62490,3554.0,2026-05-07,RM2609,空单持仓,RM
4,瑞银期货,56848,-76.0,2026-05-07,RM2609,空单持仓,RM
5,中信期货,35076,2300.0,2026-05-07,RM2609,空单持仓,RM
6,摩根大通,33626,3092.0,2026-05-07,RM2609,空单持仓,RM
7,华泰期货,29382,-16.0,2026-05-07,RM2609,空单持仓,RM
8,国投期货,26776,1224.0,2026-05-07,RM2609,空单持仓,RM
9,银河期货,26017,-545.0,2026-05-07,RM2609,空单持仓,RM
10,广发期货,23881,3228.0,2026-05-07,RM2609,空单持仓,RM
11,申银万国,20800,436.0,2026-05-07,RM2609,空单持仓,RM
12,中财期货,17715,-71.0,2026-05-07,RM2609,空单持仓,RM
13,乾坤期货,17015,2620.0,2026-05-07,RM2609,空单持仓,RM
14,一德期货,16618,1231.0,2026-05-07,RM2609,空单持仓,RM
15,中金财富,12515,1394.0,2026-05-07,RM2609,空单持仓,RM
16,瑞达期货,12323,3258.0,2026-05-07,RM2609,空单持仓,RM
17,大地期货,12126,3596.0,2026-05-07,RM2609,空单持仓,RM
18,格林大华期货,11077,158.0,2026-05-07,RM2609,空单持仓,RM
19,正信期货,10890,627.0,2026-05-07,RM2609,空单持仓,RM
20,海证期货,10723,110.0,2026-05-07,RM2609,空单持仓,RM
1,国泰君安,87543,-885.0,2026-05-08,RM2609,空单持仓,RM
2,东证期货,86718,-10603.0,2026-05-08,RM2609,空单持仓,RM
3,中粮期货,63784,1294.0,2026-05-08,RM2609,空单持仓,RM
4,瑞银期货,56755,-93.0,2026-05-08,RM2609,空单持仓,RM
5,中信期货,32323,-2753.0,2026-05-08,RM2609,空单持仓,RM
6,摩根大通,31224,-2402.0,2026-05-08,RM2609,空单持仓,RM
7,华泰期货,30695,1313.0,2026-05-08,RM2609,空单持仓,RM
8,国投期货,26966,190.0,2026-05-08,RM2609,空单持仓,RM
9,银河期货,24273,-1744.0,2026-05-08,RM2609,空单持仓,RM
10,广发期货,20085,-3796.0,2026-05-08,RM2609,空单持仓,RM
11,乾坤期货,18075,1060.0,2026-05-08,RM2609,空单持仓,RM
12,申银万国,17526,-3274.0,2026-05-08,RM2609,空单持仓,RM
13,中财期货,16837,-878.0,2026-05-08,RM2609,空单持仓,RM
14,一德期货,15721,-897.0,2026-05-08,RM2609,空单持仓,RM
15,中金财富,14148,1633.0,2026-05-08,RM2609,空单持仓,RM
16,瑞达期货,11353,-970.0,2026-05-08,RM2609,空单持仓,RM
17,格林大华期货,11221,144.0,2026-05-08,RM2609,空单持仓,RM
18,海证期货,10625,-98.0,2026-05-08,RM2609,空单持仓,RM
19,正信期货,9538,-1352.0,2026-05-08,RM2609,空单持仓,RM
20,永安期货,9203,1389.0,2026-05-08,RM2609,空单持仓,RM
