排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,125524,-11514.0,2026-05-06,RM2609,成交量,RM
2,国泰君安,119377,-2685.0,2026-05-06,RM2609,成交量,RM
3,中信期货,78969,456.0,2026-05-06,RM2609,成交量,RM
4,华闻期货,38137,-10857.0,2026-05-06,RM2609,成交量,RM
5,广发期货,38118,-2882.0,2026-05-06,RM2609,成交量,RM
6,南华期货,34986,109.0,2026-05-06,RM2609,成交量,RM
7,华泰期货,29670,4075.0,2026-05-06,RM2609,成交量,RM
8,中泰期货,27737,7881.0,2026-05-06,RM2609,成交量,RM
9,光大期货,26305,-8564.0,2026-05-06,RM2609,成交量,RM
10,银河期货,23845,2580.0,2026-05-06,RM2609,成交量,RM
11,摩根大通,23779,18318.0,2026-05-06,RM2609,成交量,RM
12,徽商期货,22086,-2475.0,2026-05-06,RM2609,成交量,RM
13,乾坤期货,21560,-142.0,2026-05-06,RM2609,成交量,RM
14,海通期货,20425,540.0,2026-05-06,RM2609,成交量,RM
15,国盛期货,18195,14680.0,2026-05-06,RM2609,成交量,RM
16,宏源期货,14252,5679.0,2026-05-06,RM2609,成交量,RM
17,中粮期货,13616,944.0,2026-05-06,RM2609,成交量,RM
18,国信期货,13463,2294.0,2026-05-06,RM2609,成交量,RM
19,方正中期,11840,80.0,2026-05-06,RM2609,成交量,RM
20,东吴期货,11154,-637.0,2026-05-06,RM2609,成交量,RM
1,东证期货,132315,6791.0,2026-05-07,RM2609,成交量,RM
2,国泰君安,119593,216.0,2026-05-07,RM2609,成交量,RM
3,中信期货,73532,-5437.0,2026-05-07,RM2609,成交量,RM
4,广发期货,52316,14198.0,2026-05-07,RM2609,成交量,RM
5,华闻期货,45720,7583.0,2026-05-07,RM2609,成交量,RM
6,华泰期货,42955,13285.0,2026-05-07,RM2609,成交量,RM
7,徽商期货,37878,15792.0,2026-05-07,RM2609,成交量,RM
8,南华期货,36713,1727.0,2026-05-07,RM2609,成交量,RM
9,光大期货,29208,2903.0,2026-05-07,RM2609,成交量,RM
10,中泰期货,25682,-2055.0,2026-05-07,RM2609,成交量,RM
11,银河期货,21645,-2200.0,2026-05-07,RM2609,成交量,RM
12,国信期货,21396,7933.0,2026-05-07,RM2609,成交量,RM
13,中粮期货,20163,6547.0,2026-05-07,RM2609,成交量,RM
14,海通期货,17026,-3399.0,2026-05-07,RM2609,成交量,RM
15,永安期货,14623,8930.0,2026-05-07,RM2609,成交量,RM
16,宏源期货,14088,-164.0,2026-05-07,RM2609,成交量,RM
17,中信建投,13951,3278.0,2026-05-07,RM2609,成交量,RM
18,国投期货,13417,4912.0,2026-05-07,RM2609,成交量,RM
19,东吴期货,13234,2080.0,2026-05-07,RM2609,成交量,RM
20,方正中期,13024,1184.0,2026-05-07,RM2609,成交量,RM
1,东证期货,175495,43180.0,2026-05-08,RM2609,成交量,RM
2,国泰君安,155931,36338.0,2026-05-08,RM2609,成交量,RM
3,中信期货,94353,20821.0,2026-05-08,RM2609,成交量,RM
4,广发期货,65857,13541.0,2026-05-08,RM2609,成交量,RM
5,华泰期货,54135,11180.0,2026-05-08,RM2609,成交量,RM
6,华闻期货,54112,8392.0,2026-05-08,RM2609,成交量,RM
7,徽商期货,43561,5683.0,2026-05-08,RM2609,成交量,RM
8,南华期货,42680,5967.0,2026-05-08,RM2609,成交量,RM
9,光大期货,40595,11387.0,2026-05-08,RM2609,成交量,RM
10,中泰期货,32041,6359.0,2026-05-08,RM2609,成交量,RM
11,银河期货,30144,8499.0,2026-05-08,RM2609,成交量,RM
12,国信期货,27837,6441.0,2026-05-08,RM2609,成交量,RM
13,海通期货,27352,10326.0,2026-05-08,RM2609,成交量,RM
14,华安期货,21348,10068.0,2026-05-08,RM2609,成交量,RM
15,招商期货,21034,11868.0,2026-05-08,RM2609,成交量,RM
16,国投期货,20777,7360.0,2026-05-08,RM2609,成交量,RM
17,中信建投,20482,6531.0,2026-05-08,RM2609,成交量,RM
18,浙商期货,18466,11480.0,2026-05-08,RM2609,成交量,RM
19,渤海期货,18428,11230.0,2026-05-08,RM2609,成交量,RM
20,国盛期货,18256,15673.0,2026-05-08,RM2609,成交量,RM
