排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,18353,1282.0,2026-05-06,ru2609,多单持仓,RU
2,中信期货,9920,542.0,2026-05-06,ru2609,多单持仓,RU
3,华泰期货,9165,-91.0,2026-05-06,ru2609,多单持仓,RU
4,永安期货,8532,898.0,2026-05-06,ru2609,多单持仓,RU
5,银河期货,8323,397.0,2026-05-06,ru2609,多单持仓,RU
6,东证期货,7972,414.0,2026-05-06,ru2609,多单持仓,RU
7,广发期货,4558,20.0,2026-05-06,ru2609,多单持仓,RU
8,新湖期货,4479,383.0,2026-05-06,ru2609,多单持仓,RU
9,东吴期货,4393,418.0,2026-05-06,ru2609,多单持仓,RU
10,中信建投,3924,248.0,2026-05-06,ru2609,多单持仓,RU
11,一德期货,3679,251.0,2026-05-06,ru2609,多单持仓,RU
12,海通期货,3601,115.0,2026-05-06,ru2609,多单持仓,RU
13,申万期货,3304,909.0,2026-05-06,ru2609,多单持仓,RU
14,中财期货,3119,126.0,2026-05-06,ru2609,多单持仓,RU
15,国联期货,3033,178.0,2026-05-06,ru2609,多单持仓,RU
16,方正中期,2910,395.0,2026-05-06,ru2609,多单持仓,RU
17,国投期货,2761,-26.0,2026-05-06,ru2609,多单持仓,RU
18,浙商期货,2737,69.0,2026-05-06,ru2609,多单持仓,RU
19,大地期货,2611,403.0,2026-05-06,ru2609,多单持仓,RU
20,中辉期货,2604,83.0,2026-05-06,ru2609,多单持仓,RU
1,国泰君安,19016,663.0,2026-05-07,ru2609,多单持仓,RU
2,中信期货,10857,937.0,2026-05-07,ru2609,多单持仓,RU
3,华泰期货,9618,453.0,2026-05-07,ru2609,多单持仓,RU
4,东证期货,9144,1172.0,2026-05-07,ru2609,多单持仓,RU
5,银河期货,8852,529.0,2026-05-07,ru2609,多单持仓,RU
6,永安期货,7671,-861.0,2026-05-07,ru2609,多单持仓,RU
7,新湖期货,5311,832.0,2026-05-07,ru2609,多单持仓,RU
8,广发期货,5269,711.0,2026-05-07,ru2609,多单持仓,RU
9,中信建投,4340,416.0,2026-05-07,ru2609,多单持仓,RU
10,海通期货,3856,255.0,2026-05-07,ru2609,多单持仓,RU
11,东吴期货,3834,-559.0,2026-05-07,ru2609,多单持仓,RU
12,一德期货,3632,-47.0,2026-05-07,ru2609,多单持仓,RU
13,申万期货,3561,257.0,2026-05-07,ru2609,多单持仓,RU
14,国联期货,3125,92.0,2026-05-07,ru2609,多单持仓,RU
15,中辉期货,3111,507.0,2026-05-07,ru2609,多单持仓,RU
16,中财期货,3063,-56.0,2026-05-07,ru2609,多单持仓,RU
17,方正中期,3028,118.0,2026-05-07,ru2609,多单持仓,RU
18,浙商期货,2994,257.0,2026-05-07,ru2609,多单持仓,RU
19,中金财富,2918,593.0,2026-05-07,ru2609,多单持仓,RU
20,国投期货,2899,138.0,2026-05-07,ru2609,多单持仓,RU
1,国泰君安,18965,-51.0,2026-05-08,ru2609,多单持仓,RU
2,中信期货,10770,-87.0,2026-05-08,ru2609,多单持仓,RU
3,华泰期货,8816,-802.0,2026-05-08,ru2609,多单持仓,RU
4,银河期货,8506,-346.0,2026-05-08,ru2609,多单持仓,RU
5,东证期货,8267,-877.0,2026-05-08,ru2609,多单持仓,RU
6,永安期货,8018,347.0,2026-05-08,ru2609,多单持仓,RU
7,新湖期货,5252,-59.0,2026-05-08,ru2609,多单持仓,RU
8,广发期货,4575,-694.0,2026-05-08,ru2609,多单持仓,RU
9,海通期货,4237,381.0,2026-05-08,ru2609,多单持仓,RU
10,东吴期货,3957,123.0,2026-05-08,ru2609,多单持仓,RU
11,中信建投,3707,-633.0,2026-05-08,ru2609,多单持仓,RU
12,一德期货,3483,-149.0,2026-05-08,ru2609,多单持仓,RU
13,国联期货,3248,123.0,2026-05-08,ru2609,多单持仓,RU
14,浙商期货,3232,238.0,2026-05-08,ru2609,多单持仓,RU
15,申万期货,3116,-445.0,2026-05-08,ru2609,多单持仓,RU
16,中泰期货,2921,572.0,2026-05-08,ru2609,多单持仓,RU
17,国投期货,2889,-10.0,2026-05-08,ru2609,多单持仓,RU
18,方正中期,2806,-222.0,2026-05-08,ru2609,多单持仓,RU
19,大地期货,2783,306.0,2026-05-08,ru2609,多单持仓,RU
20,中金财富,2782,-136.0,2026-05-08,ru2609,多单持仓,RU
