排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,38841,3037.0,2026-05-06,ru2609,空单持仓,RU
2,中信期货,13503,642.0,2026-05-06,ru2609,空单持仓,RU
3,东证期货,9846,284.0,2026-05-06,ru2609,空单持仓,RU
4,国投期货,9090,559.0,2026-05-06,ru2609,空单持仓,RU
5,华泰期货,6683,714.0,2026-05-06,ru2609,空单持仓,RU
6,中泰期货,6596,531.0,2026-05-06,ru2609,空单持仓,RU
7,中银期货,6091,58.0,2026-05-06,ru2609,空单持仓,RU
8,创元期货,5746,267.0,2026-05-06,ru2609,空单持仓,RU
9,物产中大,5533,719.0,2026-05-06,ru2609,空单持仓,RU
10,银河期货,5073,-286.0,2026-05-06,ru2609,空单持仓,RU
11,浙商期货,5043,-211.0,2026-05-06,ru2609,空单持仓,RU
12,瑞达期货,4856,108.0,2026-05-06,ru2609,空单持仓,RU
13,永安期货,4826,-196.0,2026-05-06,ru2609,空单持仓,RU
14,南华期货,4324,62.0,2026-05-06,ru2609,空单持仓,RU
15,大地期货,3921,204.0,2026-05-06,ru2609,空单持仓,RU
16,广发期货,3526,-26.0,2026-05-06,ru2609,空单持仓,RU
17,新湖期货,3291,102.0,2026-05-06,ru2609,空单持仓,RU
18,中国国际,2916,35.0,2026-05-06,ru2609,空单持仓,RU
19,国贸期货,2878,64.0,2026-05-06,ru2609,空单持仓,RU
20,北金期货,2580,-1.0,2026-05-06,ru2609,空单持仓,RU
1,国泰君安,39771,930.0,2026-05-07,ru2609,空单持仓,RU
2,中信期货,13991,488.0,2026-05-07,ru2609,空单持仓,RU
3,东证期货,10514,668.0,2026-05-07,ru2609,空单持仓,RU
4,国投期货,9908,818.0,2026-05-07,ru2609,空单持仓,RU
5,中泰期货,6868,272.0,2026-05-07,ru2609,空单持仓,RU
6,华泰期货,6756,73.0,2026-05-07,ru2609,空单持仓,RU
7,物产中大,6073,540.0,2026-05-07,ru2609,空单持仓,RU
8,中银期货,5952,-139.0,2026-05-07,ru2609,空单持仓,RU
9,浙商期货,5793,750.0,2026-05-07,ru2609,空单持仓,RU
10,创元期货,5613,-133.0,2026-05-07,ru2609,空单持仓,RU
11,银河期货,5192,119.0,2026-05-07,ru2609,空单持仓,RU
12,瑞达期货,5093,237.0,2026-05-07,ru2609,空单持仓,RU
13,永安期货,4877,51.0,2026-05-07,ru2609,空单持仓,RU
14,南华期货,4590,266.0,2026-05-07,ru2609,空单持仓,RU
15,大地期货,3851,-70.0,2026-05-07,ru2609,空单持仓,RU
16,广发期货,3724,198.0,2026-05-07,ru2609,空单持仓,RU
17,新湖期货,3342,51.0,2026-05-07,ru2609,空单持仓,RU
18,国贸期货,3280,402.0,2026-05-07,ru2609,空单持仓,RU
19,中国国际,2969,53.0,2026-05-07,ru2609,空单持仓,RU
20,北金期货,2581,1.0,2026-05-07,ru2609,空单持仓,RU
1,国泰君安,36777,-2994.0,2026-05-08,ru2609,空单持仓,RU
2,中信期货,12563,-1428.0,2026-05-08,ru2609,空单持仓,RU
3,国投期货,10161,253.0,2026-05-08,ru2609,空单持仓,RU
4,东证期货,9664,-850.0,2026-05-08,ru2609,空单持仓,RU
5,中泰期货,6655,-213.0,2026-05-08,ru2609,空单持仓,RU
6,华泰期货,6196,-560.0,2026-05-08,ru2609,空单持仓,RU
7,中银期货,5999,47.0,2026-05-08,ru2609,空单持仓,RU
8,浙商期货,5703,-90.0,2026-05-08,ru2609,空单持仓,RU
9,银河期货,5700,508.0,2026-05-08,ru2609,空单持仓,RU
10,创元期货,5613,0.0,2026-05-08,ru2609,空单持仓,RU
11,永安期货,5569,692.0,2026-05-08,ru2609,空单持仓,RU
12,物产中大,5392,-681.0,2026-05-08,ru2609,空单持仓,RU
13,瑞达期货,5357,264.0,2026-05-08,ru2609,空单持仓,RU
14,南华期货,4486,-104.0,2026-05-08,ru2609,空单持仓,RU
15,大地期货,4016,165.0,2026-05-08,ru2609,空单持仓,RU
16,广发期货,3537,-187.0,2026-05-08,ru2609,空单持仓,RU
17,新湖期货,3380,38.0,2026-05-08,ru2609,空单持仓,RU
18,国贸期货,3238,-42.0,2026-05-08,ru2609,空单持仓,RU
19,中国国际,3030,61.0,2026-05-08,ru2609,空单持仓,RU
20,北金期货,2582,1.0,2026-05-08,ru2609,空单持仓,RU
