排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,113485,14874.0,2026-05-06,ru2609,成交量,RU
2,中信期货,52190,18859.0,2026-05-06,ru2609,成交量,RU
3,东证期货,36448,-18048.0,2026-05-06,ru2609,成交量,RU
4,华泰期货,34977,-10540.0,2026-05-06,ru2609,成交量,RU
5,华闻期货,32095,-31831.0,2026-05-06,ru2609,成交量,RU
6,浙商期货,16346,178.0,2026-05-06,ru2609,成交量,RU
7,广发期货,14408,-11126.0,2026-05-06,ru2609,成交量,RU
8,中泰期货,13029,275.0,2026-05-06,ru2609,成交量,RU
9,银河期货,9749,637.0,2026-05-06,ru2609,成交量,RU
10,海通期货,8633,-4160.0,2026-05-06,ru2609,成交量,RU
11,方正中期,7238,-347.0,2026-05-06,ru2609,成交量,RU
12,中信建投,5830,1027.0,2026-05-06,ru2609,成交量,RU
13,申万期货,5603,-61.0,2026-05-06,ru2609,成交量,RU
14,徽商期货,5081,-1549.0,2026-05-06,ru2609,成交量,RU
15,国元期货,4259,-312.0,2026-05-06,ru2609,成交量,RU
16,东吴期货,4011,-2163.0,2026-05-06,ru2609,成交量,RU
17,国贸期货,3826,1394.0,2026-05-06,ru2609,成交量,RU
18,中辉期货,3756,155.0,2026-05-06,ru2609,成交量,RU
19,永安期货,3676,-802.0,2026-05-06,ru2609,成交量,RU
20,国信期货,3488,444.0,2026-05-06,ru2609,成交量,RU
1,国泰君安,166087,52602.0,2026-05-07,ru2609,成交量,RU
2,中信期货,88125,35935.0,2026-05-07,ru2609,成交量,RU
3,华闻期货,76991,44896.0,2026-05-07,ru2609,成交量,RU
4,东证期货,62086,25638.0,2026-05-07,ru2609,成交量,RU
5,华泰期货,52288,17311.0,2026-05-07,ru2609,成交量,RU
6,浙商期货,26741,10395.0,2026-05-07,ru2609,成交量,RU
7,中泰期货,19908,6879.0,2026-05-07,ru2609,成交量,RU
8,广发期货,19541,5133.0,2026-05-07,ru2609,成交量,RU
9,海通期货,17138,8505.0,2026-05-07,ru2609,成交量,RU
10,银河期货,16932,7183.0,2026-05-07,ru2609,成交量,RU
11,徽商期货,14868,9787.0,2026-05-07,ru2609,成交量,RU
12,东吴期货,11821,7810.0,2026-05-07,ru2609,成交量,RU
13,中信建投,11294,5464.0,2026-05-07,ru2609,成交量,RU
14,方正中期,10570,3332.0,2026-05-07,ru2609,成交量,RU
15,申万期货,9014,3411.0,2026-05-07,ru2609,成交量,RU
16,创元期货,8798,5492.0,2026-05-07,ru2609,成交量,RU
17,永安期货,8758,5082.0,2026-05-07,ru2609,成交量,RU
18,安粮期货,8000,5700.0,2026-05-07,ru2609,成交量,RU
19,中辉期货,7128,3372.0,2026-05-07,ru2609,成交量,RU
20,宏源期货,6261,3297.0,2026-05-07,ru2609,成交量,RU
1,国泰君安,169261,3174.0,2026-05-08,ru2609,成交量,RU
2,中信期货,94187,6062.0,2026-05-08,ru2609,成交量,RU
3,东证期货,89279,27193.0,2026-05-08,ru2609,成交量,RU
4,华闻期货,75304,-1687.0,2026-05-08,ru2609,成交量,RU
5,华泰期货,67504,15216.0,2026-05-08,ru2609,成交量,RU
6,浙商期货,27638,897.0,2026-05-08,ru2609,成交量,RU
7,广发期货,19813,272.0,2026-05-08,ru2609,成交量,RU
8,银河期货,19234,2302.0,2026-05-08,ru2609,成交量,RU
9,海通期货,17976,838.0,2026-05-08,ru2609,成交量,RU
10,徽商期货,14132,-736.0,2026-05-08,ru2609,成交量,RU
11,中泰期货,12473,-7435.0,2026-05-08,ru2609,成交量,RU
12,方正中期,12297,1727.0,2026-05-08,ru2609,成交量,RU
13,申万期货,10973,1959.0,2026-05-08,ru2609,成交量,RU
14,东吴期货,9922,-1899.0,2026-05-08,ru2609,成交量,RU
15,中信建投,9534,-1760.0,2026-05-08,ru2609,成交量,RU
16,永安期货,8609,-149.0,2026-05-08,ru2609,成交量,RU
17,宏源期货,7968,1707.0,2026-05-08,ru2609,成交量,RU
18,创元期货,7841,-957.0,2026-05-08,ru2609,成交量,RU
19,国信期货,7308,1550.0,2026-05-08,ru2609,成交量,RU
20,中辉期货,7086,-42.0,2026-05-08,ru2609,成交量,RU
