排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,东证期货,64566,17507.0,2026-05-06,SA2609,多单持仓,SA
2,中信期货,46173,8748.0,2026-05-06,SA2609,多单持仓,SA
3,国泰君安,31044,4925.0,2026-05-06,SA2609,多单持仓,SA
4,申银万国,27555,651.0,2026-05-06,SA2609,多单持仓,SA
5,国海良时,26603,1353.0,2026-05-06,SA2609,多单持仓,SA
6,中泰期货,25129,936.0,2026-05-06,SA2609,多单持仓,SA
7,方正中期,25069,-1123.0,2026-05-06,SA2609,多单持仓,SA
8,国元期货,24708,-1569.0,2026-05-06,SA2609,多单持仓,SA
9,银河期货,24594,228.0,2026-05-06,SA2609,多单持仓,SA
10,先锋期货,24508,-226.0,2026-05-06,SA2609,多单持仓,SA
11,徽商期货,23810,1229.0,2026-05-06,SA2609,多单持仓,SA
12,信达期货,23733,-17.0,2026-05-06,SA2609,多单持仓,SA
13,东吴期货,23500,4071.0,2026-05-06,SA2609,多单持仓,SA
14,广发期货,23138,2053.0,2026-05-06,SA2609,多单持仓,SA
15,海通期货,21851,1855.0,2026-05-06,SA2609,多单持仓,SA
16,华泰期货,20401,1494.0,2026-05-06,SA2609,多单持仓,SA
17,国投期货,15944,-1332.0,2026-05-06,SA2609,多单持仓,SA
18,永安期货,14525,528.0,2026-05-06,SA2609,多单持仓,SA
19,平安期货,14202,-218.0,2026-05-06,SA2609,多单持仓,SA
20,中信建投,13976,-121.0,2026-05-06,SA2609,多单持仓,SA
1,东证期货,47151,-17415.0,2026-05-07,SA2609,多单持仓,SA
2,中信期货,40313,-5860.0,2026-05-07,SA2609,多单持仓,SA
3,国泰君安,35811,4767.0,2026-05-07,SA2609,多单持仓,SA
4,徽商期货,28538,4728.0,2026-05-07,SA2609,多单持仓,SA
5,申银万国,28425,870.0,2026-05-07,SA2609,多单持仓,SA
6,国海良时,28158,1555.0,2026-05-07,SA2609,多单持仓,SA
7,银河期货,27450,2856.0,2026-05-07,SA2609,多单持仓,SA
8,广发期货,27318,4180.0,2026-05-07,SA2609,多单持仓,SA
9,中泰期货,26719,1590.0,2026-05-07,SA2609,多单持仓,SA
10,国元期货,26003,1295.0,2026-05-07,SA2609,多单持仓,SA
11,方正中期,25757,688.0,2026-05-07,SA2609,多单持仓,SA
12,先锋期货,25165,657.0,2026-05-07,SA2609,多单持仓,SA
13,信达期货,23946,213.0,2026-05-07,SA2609,多单持仓,SA
14,东吴期货,22159,-1341.0,2026-05-07,SA2609,多单持仓,SA
15,海通期货,21181,-670.0,2026-05-07,SA2609,多单持仓,SA
16,华泰期货,20894,493.0,2026-05-07,SA2609,多单持仓,SA
17,中辉期货,18426,8300.0,2026-05-07,SA2609,多单持仓,SA
18,国投期货,16227,283.0,2026-05-07,SA2609,多单持仓,SA
19,中信建投,15353,1377.0,2026-05-07,SA2609,多单持仓,SA
20,平安期货,14768,566.0,2026-05-07,SA2609,多单持仓,SA
1,中信期货,36847,-3466.0,2026-05-08,SA2609,多单持仓,SA
2,国泰君安,34163,-1648.0,2026-05-08,SA2609,多单持仓,SA
3,徽商期货,30638,2100.0,2026-05-08,SA2609,多单持仓,SA
4,广发期货,30617,3299.0,2026-05-08,SA2609,多单持仓,SA
5,东证期货,30358,-16793.0,2026-05-08,SA2609,多单持仓,SA
6,申银万国,30042,1617.0,2026-05-08,SA2609,多单持仓,SA
7,银河期货,29670,2220.0,2026-05-08,SA2609,多单持仓,SA
8,国元期货,27871,1868.0,2026-05-08,SA2609,多单持仓,SA
9,国海良时,27501,-657.0,2026-05-08,SA2609,多单持仓,SA
10,中泰期货,26350,-369.0,2026-05-08,SA2609,多单持仓,SA
11,方正中期,26348,591.0,2026-05-08,SA2609,多单持仓,SA
12,先锋期货,26217,1052.0,2026-05-08,SA2609,多单持仓,SA
13,信达期货,24484,538.0,2026-05-08,SA2609,多单持仓,SA
14,中辉期货,24050,5624.0,2026-05-08,SA2609,多单持仓,SA
15,海通期货,22151,970.0,2026-05-08,SA2609,多单持仓,SA
16,东吴期货,21572,-587.0,2026-05-08,SA2609,多单持仓,SA
17,华泰期货,21187,293.0,2026-05-08,SA2609,多单持仓,SA
18,国投期货,20347,4120.0,2026-05-08,SA2609,多单持仓,SA
19,中信建投,20055,4702.0,2026-05-08,SA2609,多单持仓,SA
20,平安期货,16906,2138.0,2026-05-08,SA2609,多单持仓,SA
