排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,86609,13931.0,2026-05-06,SA2609,空单持仓,SA
2,中信期货,82492,-50.0,2026-05-06,SA2609,空单持仓,SA
3,乾坤期货,51107,466.0,2026-05-06,SA2609,空单持仓,SA
4,永安期货,50381,2545.0,2026-05-06,SA2609,空单持仓,SA
5,东证期货,46327,-1949.0,2026-05-06,SA2609,空单持仓,SA
6,华泰期货,40222,41.0,2026-05-06,SA2609,空单持仓,SA
7,银河期货,26222,2732.0,2026-05-06,SA2609,空单持仓,SA
8,中泰期货,20576,901.0,2026-05-06,SA2609,空单持仓,SA
9,广发期货,20215,2476.0,2026-05-06,SA2609,空单持仓,SA
10,中金财富,18737,-2558.0,2026-05-06,SA2609,空单持仓,SA
11,中信建投,15982,53.0,2026-05-06,SA2609,空单持仓,SA
12,瑞达期货,15957,-2643.0,2026-05-06,SA2609,空单持仓,SA
13,平安期货,14895,-1247.0,2026-05-06,SA2609,空单持仓,SA
14,东吴期货,12780,896.0,2026-05-06,SA2609,空单持仓,SA
15,徽商期货,12344,1163.0,2026-05-06,SA2609,空单持仓,SA
16,浙商期货,12302,878.0,2026-05-06,SA2609,空单持仓,SA
17,中粮期货,11688,3369.0,2026-05-06,SA2609,空单持仓,SA
18,方正中期,11678,1315.0,2026-05-06,SA2609,空单持仓,SA
19,光大期货,11640,-66.0,2026-05-06,SA2609,空单持仓,SA
20,国信期货,11532,1220.0,2026-05-06,SA2609,空单持仓,SA
1,国泰君安,96845,10236.0,2026-05-07,SA2609,空单持仓,SA
2,中信期货,82092,-400.0,2026-05-07,SA2609,空单持仓,SA
3,永安期货,53642,3261.0,2026-05-07,SA2609,空单持仓,SA
4,东证期货,52229,5902.0,2026-05-07,SA2609,空单持仓,SA
5,乾坤期货,43891,-7216.0,2026-05-07,SA2609,空单持仓,SA
6,华泰期货,41664,1442.0,2026-05-07,SA2609,空单持仓,SA
7,银河期货,26773,551.0,2026-05-07,SA2609,空单持仓,SA
8,瑞达期货,23033,7076.0,2026-05-07,SA2609,空单持仓,SA
9,中泰期货,22902,2326.0,2026-05-07,SA2609,空单持仓,SA
10,广发期货,20746,531.0,2026-05-07,SA2609,空单持仓,SA
11,中金财富,19737,1000.0,2026-05-07,SA2609,空单持仓,SA
12,中信建投,17159,1177.0,2026-05-07,SA2609,空单持仓,SA
13,浙商期货,13828,1526.0,2026-05-07,SA2609,空单持仓,SA
14,平安期货,13635,-1260.0,2026-05-07,SA2609,空单持仓,SA
15,融达期货,13597,4088.0,2026-05-07,SA2609,空单持仓,SA
16,一德期货,13463,2026.0,2026-05-07,SA2609,空单持仓,SA
17,大地期货,13014,8026.0,2026-05-07,SA2609,空单持仓,SA
18,徽商期货,13008,664.0,2026-05-07,SA2609,空单持仓,SA
19,光大期货,12893,1253.0,2026-05-07,SA2609,空单持仓,SA
20,方正中期,12333,655.0,2026-05-07,SA2609,空单持仓,SA
1,中信期货,88313,6221.0,2026-05-08,SA2609,空单持仓,SA
2,国泰君安,84739,-12106.0,2026-05-08,SA2609,空单持仓,SA
3,东证期货,71636,19407.0,2026-05-08,SA2609,空单持仓,SA
4,永安期货,55984,2342.0,2026-05-08,SA2609,空单持仓,SA
5,华泰期货,45974,4310.0,2026-05-08,SA2609,空单持仓,SA
6,乾坤期货,44350,459.0,2026-05-08,SA2609,空单持仓,SA
7,银河期货,31121,4348.0,2026-05-08,SA2609,空单持仓,SA
8,瑞达期货,29772,6739.0,2026-05-08,SA2609,空单持仓,SA
9,中金财富,26643,6906.0,2026-05-08,SA2609,空单持仓,SA
10,中泰期货,20840,-2062.0,2026-05-08,SA2609,空单持仓,SA
11,广发期货,19500,-1246.0,2026-05-08,SA2609,空单持仓,SA
12,浙商期货,16266,2438.0,2026-05-08,SA2609,空单持仓,SA
13,中信建投,15221,-1938.0,2026-05-08,SA2609,空单持仓,SA
14,方正中期,14179,1846.0,2026-05-08,SA2609,空单持仓,SA
15,光大期货,13983,1090.0,2026-05-08,SA2609,空单持仓,SA
16,海通期货,13950,4345.0,2026-05-08,SA2609,空单持仓,SA
17,海证期货,13751,1643.0,2026-05-08,SA2609,空单持仓,SA
18,一德期货,13400,-63.0,2026-05-08,SA2609,空单持仓,SA
19,平安期货,13247,-388.0,2026-05-08,SA2609,空单持仓,SA
20,徽商期货,13155,147.0,2026-05-08,SA2609,空单持仓,SA
