排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,119708,36866.0,2026-05-06,SA2609,成交量,SA
2,中信期货,115198,-2952.0,2026-05-06,SA2609,成交量,SA
3,东证期货,110542,-18230.0,2026-05-06,SA2609,成交量,SA
4,华闻期货,66654,-175.0,2026-05-06,SA2609,成交量,SA
5,广发期货,44325,-7859.0,2026-05-06,SA2609,成交量,SA
6,银河期货,39762,-4742.0,2026-05-06,SA2609,成交量,SA
7,华泰期货,35811,-24501.0,2026-05-06,SA2609,成交量,SA
8,中泰期货,30899,6137.0,2026-05-06,SA2609,成交量,SA
9,中辉期货,25958,5807.0,2026-05-06,SA2609,成交量,SA
10,中信建投,24612,-3566.0,2026-05-06,SA2609,成交量,SA
11,瑞达期货,23331,1380.0,2026-05-06,SA2609,成交量,SA
12,浙商期货,22768,9998.0,2026-05-06,SA2609,成交量,SA
13,徽商期货,20176,1704.0,2026-05-06,SA2609,成交量,SA
14,国信期货,20018,-8713.0,2026-05-06,SA2609,成交量,SA
15,招商期货,17620,757.0,2026-05-06,SA2609,成交量,SA
16,东吴期货,17041,4440.0,2026-05-06,SA2609,成交量,SA
17,海通期货,16684,1013.0,2026-05-06,SA2609,成交量,SA
18,南华期货,16403,-11276.0,2026-05-06,SA2609,成交量,SA
19,方正中期,16218,-4976.0,2026-05-06,SA2609,成交量,SA
20,申银万国,15463,-5683.0,2026-05-06,SA2609,成交量,SA
1,东证期货,163511,52969.0,2026-05-07,SA2609,成交量,SA
2,中信期货,141288,26090.0,2026-05-07,SA2609,成交量,SA
3,国泰君安,120979,1271.0,2026-05-07,SA2609,成交量,SA
4,广发期货,71177,26852.0,2026-05-07,SA2609,成交量,SA
5,华闻期货,61878,-4776.0,2026-05-07,SA2609,成交量,SA
6,华泰期货,54341,18530.0,2026-05-07,SA2609,成交量,SA
7,银河期货,47437,7675.0,2026-05-07,SA2609,成交量,SA
8,徽商期货,31126,10950.0,2026-05-07,SA2609,成交量,SA
9,中泰期货,30716,-183.0,2026-05-07,SA2609,成交量,SA
10,中辉期货,29257,3299.0,2026-05-07,SA2609,成交量,SA
11,光大期货,28529,14918.0,2026-05-07,SA2609,成交量,SA
12,南华期货,28144,11741.0,2026-05-07,SA2609,成交量,SA
13,浙商期货,27703,4935.0,2026-05-07,SA2609,成交量,SA
14,国信期货,27662,7644.0,2026-05-07,SA2609,成交量,SA
15,中信建投,27612,3000.0,2026-05-07,SA2609,成交量,SA
16,方正中期,24305,8087.0,2026-05-07,SA2609,成交量,SA
17,新湖期货,23737,18506.0,2026-05-07,SA2609,成交量,SA
18,招商期货,22791,5171.0,2026-05-07,SA2609,成交量,SA
19,民生期货,22704,13418.0,2026-05-07,SA2609,成交量,SA
20,瑞达期货,20709,-2622.0,2026-05-07,SA2609,成交量,SA
1,东证期货,180250,16739.0,2026-05-08,SA2609,成交量,SA
2,国泰君安,158748,37769.0,2026-05-08,SA2609,成交量,SA
3,中信期货,156157,14869.0,2026-05-08,SA2609,成交量,SA
4,广发期货,90549,19372.0,2026-05-08,SA2609,成交量,SA
5,银河期货,71424,23987.0,2026-05-08,SA2609,成交量,SA
6,华闻期货,64578,2700.0,2026-05-08,SA2609,成交量,SA
7,华泰期货,61015,6674.0,2026-05-08,SA2609,成交量,SA
8,徽商期货,42765,11639.0,2026-05-08,SA2609,成交量,SA
9,中泰期货,39523,8807.0,2026-05-08,SA2609,成交量,SA
10,国信期货,38390,10728.0,2026-05-08,SA2609,成交量,SA
11,中信建投,38158,10546.0,2026-05-08,SA2609,成交量,SA
12,方正中期,33713,9408.0,2026-05-08,SA2609,成交量,SA
13,光大期货,31827,3298.0,2026-05-08,SA2609,成交量,SA
14,中辉期货,31668,2411.0,2026-05-08,SA2609,成交量,SA
15,瑞达期货,31075,10366.0,2026-05-08,SA2609,成交量,SA
16,招商期货,30801,8010.0,2026-05-08,SA2609,成交量,SA
17,申银万国,30672,12657.0,2026-05-08,SA2609,成交量,SA
18,南华期货,29257,1113.0,2026-05-08,SA2609,成交量,SA
19,海通期货,26575,7794.0,2026-05-08,SA2609,成交量,SA
20,新湖期货,26065,2328.0,2026-05-08,SA2609,成交量,SA
