排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,东证期货,25925,1800.0,2026-05-06,SF2607,多单持仓,SF
2,中信期货,19377,2110.0,2026-05-06,SF2607,多单持仓,SF
3,广发期货,10724,1600.0,2026-05-06,SF2607,多单持仓,SF
4,中信建投,10458,1961.0,2026-05-06,SF2607,多单持仓,SF
5,华泰期货,9922,-167.0,2026-05-06,SF2607,多单持仓,SF
6,乾坤期货,9844,977.0,2026-05-06,SF2607,多单持仓,SF
7,国泰君安,9324,723.0,2026-05-06,SF2607,多单持仓,SF
8,浙商期货,8693,326.0,2026-05-06,SF2607,多单持仓,SF
9,五矿期货,8600,482.0,2026-05-06,SF2607,多单持仓,SF
10,申银万国,8037,2805.0,2026-05-06,SF2607,多单持仓,SF
11,国投期货,7076,-186.0,2026-05-06,SF2607,多单持仓,SF
12,中粮期货,7052,1820.0,2026-05-06,SF2607,多单持仓,SF
13,锦泰期货,6047,1026.0,2026-05-06,SF2607,多单持仓,SF
14,南华期货,5877,-1223.0,2026-05-06,SF2607,多单持仓,SF
15,创元期货,5577,141.0,2026-05-06,SF2607,多单持仓,SF
16,海证期货,4166,223.0,2026-05-06,SF2607,多单持仓,SF
17,平安期货,4041,161.0,2026-05-06,SF2607,多单持仓,SF
18,银河期货,3957,-349.0,2026-05-06,SF2607,多单持仓,SF
19,徽商期货,3787,564.0,2026-05-06,SF2607,多单持仓,SF
20,永安期货,3181,446.0,2026-05-06,SF2607,多单持仓,SF
1,东证期货,27987,2062.0,2026-05-07,SF2607,多单持仓,SF
2,中信期货,21321,1944.0,2026-05-07,SF2607,多单持仓,SF
3,中信建投,12701,2243.0,2026-05-07,SF2607,多单持仓,SF
4,广发期货,12125,1401.0,2026-05-07,SF2607,多单持仓,SF
5,国泰君安,11228,1904.0,2026-05-07,SF2607,多单持仓,SF
6,申银万国,11225,3188.0,2026-05-07,SF2607,多单持仓,SF
7,华泰期货,10984,1062.0,2026-05-07,SF2607,多单持仓,SF
8,五矿期货,9547,947.0,2026-05-07,SF2607,多单持仓,SF
9,国投期货,8927,1851.0,2026-05-07,SF2607,多单持仓,SF
10,乾坤期货,8885,-959.0,2026-05-07,SF2607,多单持仓,SF
11,浙商期货,8612,-81.0,2026-05-07,SF2607,多单持仓,SF
12,中粮期货,7166,114.0,2026-05-07,SF2607,多单持仓,SF
13,中金财富,6016,3054.0,2026-05-07,SF2607,多单持仓,SF
14,锦泰期货,5994,-53.0,2026-05-07,SF2607,多单持仓,SF
15,南华期货,5941,64.0,2026-05-07,SF2607,多单持仓,SF
16,平安期货,4379,338.0,2026-05-07,SF2607,多单持仓,SF
17,永安期货,4340,1159.0,2026-05-07,SF2607,多单持仓,SF
18,徽商期货,4141,354.0,2026-05-07,SF2607,多单持仓,SF
19,海证期货,4102,-64.0,2026-05-07,SF2607,多单持仓,SF
20,银河期货,3708,-249.0,2026-05-07,SF2607,多单持仓,SF
1,东证期货,27857,-130.0,2026-05-08,SF2607,多单持仓,SF
2,中信期货,23748,2427.0,2026-05-08,SF2607,多单持仓,SF
3,中信建投,15185,2484.0,2026-05-08,SF2607,多单持仓,SF
4,广发期货,12896,771.0,2026-05-08,SF2607,多单持仓,SF
5,申银万国,11587,362.0,2026-05-08,SF2607,多单持仓,SF
6,国泰君安,11229,1.0,2026-05-08,SF2607,多单持仓,SF
7,华泰期货,10969,-15.0,2026-05-08,SF2607,多单持仓,SF
8,国投期货,9880,953.0,2026-05-08,SF2607,多单持仓,SF
9,浙商期货,8853,241.0,2026-05-08,SF2607,多单持仓,SF
10,五矿期货,8772,-775.0,2026-05-08,SF2607,多单持仓,SF
11,中金财富,6869,853.0,2026-05-08,SF2607,多单持仓,SF
12,中粮期货,6505,-661.0,2026-05-08,SF2607,多单持仓,SF
13,南华期货,6222,281.0,2026-05-08,SF2607,多单持仓,SF
14,锦泰期货,6062,68.0,2026-05-08,SF2607,多单持仓,SF
15,平安期货,4889,510.0,2026-05-08,SF2607,多单持仓,SF
16,徽商期货,4282,141.0,2026-05-08,SF2607,多单持仓,SF
17,乾坤期货,4177,-4708.0,2026-05-08,SF2607,多单持仓,SF
18,银河期货,4017,309.0,2026-05-08,SF2607,多单持仓,SF
19,永安期货,3845,-495.0,2026-05-08,SF2607,多单持仓,SF
20,海证期货,3748,-354.0,2026-05-08,SF2607,多单持仓,SF
