排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,东证期货,27438,747.0,2026-05-06,SF2607,空单持仓,SF
2,中信期货,23746,1558.0,2026-05-06,SF2607,空单持仓,SF
3,国泰君安,16449,272.0,2026-05-06,SF2607,空单持仓,SF
4,五矿期货,12782,1528.0,2026-05-06,SF2607,空单持仓,SF
5,华泰期货,9831,525.0,2026-05-06,SF2607,空单持仓,SF
6,浙商期货,9140,-110.0,2026-05-06,SF2607,空单持仓,SF
7,广发期货,9071,157.0,2026-05-06,SF2607,空单持仓,SF
8,国投期货,8009,105.0,2026-05-06,SF2607,空单持仓,SF
9,永安期货,7975,515.0,2026-05-06,SF2607,空单持仓,SF
10,申银万国,7962,2463.0,2026-05-06,SF2607,空单持仓,SF
11,中信建投,7962,496.0,2026-05-06,SF2607,空单持仓,SF
12,乾坤期货,7309,-664.0,2026-05-06,SF2607,空单持仓,SF
13,南华期货,6695,-795.0,2026-05-06,SF2607,空单持仓,SF
14,中粮期货,6347,1788.0,2026-05-06,SF2607,空单持仓,SF
15,银河期货,6192,107.0,2026-05-06,SF2607,空单持仓,SF
16,锦泰期货,5961,986.0,2026-05-06,SF2607,空单持仓,SF
17,中财期货,4619,1824.0,2026-05-06,SF2607,空单持仓,SF
18,中金财富,3791,1660.0,2026-05-06,SF2607,空单持仓,SF
19,中泰期货,3051,163.0,2026-05-06,SF2607,空单持仓,SF
20,瑞达期货,2567,474.0,2026-05-06,SF2607,空单持仓,SF
1,东证期货,28376,938.0,2026-05-07,SF2607,空单持仓,SF
2,中信期货,23896,150.0,2026-05-07,SF2607,空单持仓,SF
3,国泰君安,17428,979.0,2026-05-07,SF2607,空单持仓,SF
4,五矿期货,15278,2496.0,2026-05-07,SF2607,空单持仓,SF
5,华泰期货,10486,655.0,2026-05-07,SF2607,空单持仓,SF
6,广发期货,10205,1134.0,2026-05-07,SF2607,空单持仓,SF
7,浙商期货,10202,1062.0,2026-05-07,SF2607,空单持仓,SF
8,国投期货,10169,2160.0,2026-05-07,SF2607,空单持仓,SF
9,中信建投,9955,1993.0,2026-05-07,SF2607,空单持仓,SF
10,申银万国,9574,1612.0,2026-05-07,SF2607,空单持仓,SF
11,永安期货,8282,307.0,2026-05-07,SF2607,空单持仓,SF
12,中粮期货,7502,1155.0,2026-05-07,SF2607,空单持仓,SF
13,乾坤期货,7092,-217.0,2026-05-07,SF2607,空单持仓,SF
14,银河期货,6759,567.0,2026-05-07,SF2607,空单持仓,SF
15,南华期货,6747,52.0,2026-05-07,SF2607,空单持仓,SF
16,锦泰期货,5947,-14.0,2026-05-07,SF2607,空单持仓,SF
17,中财期货,5607,988.0,2026-05-07,SF2607,空单持仓,SF
18,中金财富,4191,400.0,2026-05-07,SF2607,空单持仓,SF
19,中泰期货,3578,527.0,2026-05-07,SF2607,空单持仓,SF
20,国贸期货,3350,2403.0,2026-05-07,SF2607,空单持仓,SF
1,东证期货,28935,559.0,2026-05-08,SF2607,空单持仓,SF
2,中信期货,28526,4630.0,2026-05-08,SF2607,空单持仓,SF
3,国泰君安,19285,1857.0,2026-05-08,SF2607,空单持仓,SF
4,五矿期货,12634,-2644.0,2026-05-08,SF2607,空单持仓,SF
5,中信建投,12327,2372.0,2026-05-08,SF2607,空单持仓,SF
6,广发期货,11209,1004.0,2026-05-08,SF2607,空单持仓,SF
7,华泰期货,10758,272.0,2026-05-08,SF2607,空单持仓,SF
8,国投期货,10447,278.0,2026-05-08,SF2607,空单持仓,SF
9,浙商期货,10055,-147.0,2026-05-08,SF2607,空单持仓,SF
10,申银万国,10015,441.0,2026-05-08,SF2607,空单持仓,SF
11,永安期货,7620,-662.0,2026-05-08,SF2607,空单持仓,SF
12,乾坤期货,7230,138.0,2026-05-08,SF2607,空单持仓,SF
13,银河期货,6866,107.0,2026-05-08,SF2607,空单持仓,SF
14,南华期货,6494,-253.0,2026-05-08,SF2607,空单持仓,SF
15,中粮期货,6332,-1170.0,2026-05-08,SF2607,空单持仓,SF
16,中金财富,6289,2098.0,2026-05-08,SF2607,空单持仓,SF
17,锦泰期货,5984,37.0,2026-05-08,SF2607,空单持仓,SF
18,海证期货,3277,1112.0,2026-05-08,SF2607,空单持仓,SF
19,光大期货,2942,392.0,2026-05-08,SF2607,空单持仓,SF
20,中财期货,2904,-2703.0,2026-05-08,SF2607,空单持仓,SF
