排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,55625,-12055.0,2026-05-06,SF2607,成交量,SF
2,中信期货,42998,-8870.0,2026-05-06,SF2607,成交量,SF
3,华泰期货,20996,225.0,2026-05-06,SF2607,成交量,SF
4,国泰君安,15857,616.0,2026-05-06,SF2607,成交量,SF
5,银河期货,15508,1214.0,2026-05-06,SF2607,成交量,SF
6,国投期货,12409,-17722.0,2026-05-06,SF2607,成交量,SF
7,广发期货,11219,-10304.0,2026-05-06,SF2607,成交量,SF
8,浙商期货,10060,-3991.0,2026-05-06,SF2607,成交量,SF
9,中信建投,9551,-3217.0,2026-05-06,SF2607,成交量,SF
10,华西期货,9020,28.0,2026-05-06,SF2607,成交量,SF
11,华闻期货,8666,-350.0,2026-05-06,SF2607,成交量,SF
12,光大期货,7565,243.0,2026-05-06,SF2607,成交量,SF
13,申银万国,7458,-4733.0,2026-05-06,SF2607,成交量,SF
14,中粮期货,6842,-3625.0,2026-05-06,SF2607,成交量,SF
15,国信期货,6043,2488.0,2026-05-06,SF2607,成交量,SF
16,南华期货,5796,-9373.0,2026-05-06,SF2607,成交量,SF
17,五矿期货,4946,-9913.0,2026-05-06,SF2607,成交量,SF
18,中财期货,4869,1765.0,2026-05-06,SF2607,成交量,SF
19,海通期货,4766,-521.0,2026-05-06,SF2607,成交量,SF
20,瑞达期货,4382,2202.0,2026-05-06,SF2607,成交量,SF
1,东证期货,77075,21450.0,2026-05-07,SF2607,成交量,SF
2,中信期货,61780,18782.0,2026-05-07,SF2607,成交量,SF
3,国投期货,27283,14874.0,2026-05-07,SF2607,成交量,SF
4,银河期货,25634,10126.0,2026-05-07,SF2607,成交量,SF
5,华泰期货,24501,3505.0,2026-05-07,SF2607,成交量,SF
6,国泰君安,21741,5884.0,2026-05-07,SF2607,成交量,SF
7,广发期货,20509,9290.0,2026-05-07,SF2607,成交量,SF
8,浙商期货,19775,9715.0,2026-05-07,SF2607,成交量,SF
9,南华期货,15416,9620.0,2026-05-07,SF2607,成交量,SF
10,中信建投,15204,5653.0,2026-05-07,SF2607,成交量,SF
11,申银万国,15053,7595.0,2026-05-07,SF2607,成交量,SF
12,华闻期货,11923,3257.0,2026-05-07,SF2607,成交量,SF
13,五矿期货,11373,6427.0,2026-05-07,SF2607,成交量,SF
14,光大期货,9664,2099.0,2026-05-07,SF2607,成交量,SF
15,华西期货,9165,145.0,2026-05-07,SF2607,成交量,SF
16,中粮期货,8195,1353.0,2026-05-07,SF2607,成交量,SF
17,国信期货,7906,1863.0,2026-05-07,SF2607,成交量,SF
18,海通期货,7241,2475.0,2026-05-07,SF2607,成交量,SF
19,徽商期货,7183,3526.0,2026-05-07,SF2607,成交量,SF
20,创元期货,7123,3842.0,2026-05-07,SF2607,成交量,SF
1,东证期货,73605,-3470.0,2026-05-08,SF2607,成交量,SF
2,中信期货,68995,7215.0,2026-05-08,SF2607,成交量,SF
3,浙商期货,36338,16563.0,2026-05-08,SF2607,成交量,SF
4,国泰君安,28842,7101.0,2026-05-08,SF2607,成交量,SF
5,华泰期货,22149,-2352.0,2026-05-08,SF2607,成交量,SF
6,锦泰期货,21325,14250.0,2026-05-08,SF2607,成交量,SF
7,广发期货,19229,-1280.0,2026-05-08,SF2607,成交量,SF
8,国投期货,18869,-8414.0,2026-05-08,SF2607,成交量,SF
9,申银万国,18713,3660.0,2026-05-08,SF2607,成交量,SF
10,银河期货,18108,-7526.0,2026-05-08,SF2607,成交量,SF
11,南华期货,15782,366.0,2026-05-08,SF2607,成交量,SF
12,中信建投,15532,328.0,2026-05-08,SF2607,成交量,SF
13,华闻期货,12814,891.0,2026-05-08,SF2607,成交量,SF
14,华西期货,10932,1767.0,2026-05-08,SF2607,成交量,SF
15,中粮期货,10587,2392.0,2026-05-08,SF2607,成交量,SF
16,光大期货,8676,-988.0,2026-05-08,SF2607,成交量,SF
17,徽商期货,8444,1261.0,2026-05-08,SF2607,成交量,SF
18,五矿期货,8173,-3200.0,2026-05-08,SF2607,成交量,SF
19,国信期货,7509,-397.0,2026-05-08,SF2607,成交量,SF
20,海通期货,7280,39.0,2026-05-08,SF2607,成交量,SF
