排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安期货,26660,2604.0,2026-05-06,SI2609,多单持仓,SI
2,中信期货,19747,856.0,2026-05-06,SI2609,多单持仓,SI
3,东证期货,15336,3024.0,2026-05-06,SI2609,多单持仓,SI
4,永安期货,9853,453.0,2026-05-06,SI2609,多单持仓,SI
5,银河期货,9577,1192.0,2026-05-06,SI2609,多单持仓,SI
6,方正中期,9492,1680.0,2026-05-06,SI2609,多单持仓,SI
7,海通期货,7919,953.0,2026-05-06,SI2609,多单持仓,SI
8,广发期货,7555,1845.0,2026-05-06,SI2609,多单持仓,SI
9,国信期货,7534,897.0,2026-05-06,SI2609,多单持仓,SI
10,中信建投,6577,-3773.0,2026-05-06,SI2609,多单持仓,SI
11,招商期货,6442,534.0,2026-05-06,SI2609,多单持仓,SI
12,南华期货,5657,441.0,2026-05-06,SI2609,多单持仓,SI
13,中财期货,5123,34.0,2026-05-06,SI2609,多单持仓,SI
14,华泰期货,5123,520.0,2026-05-06,SI2609,多单持仓,SI
15,徽商期货,5030,259.0,2026-05-06,SI2609,多单持仓,SI
16,中辉期货,4909,2043.0,2026-05-06,SI2609,多单持仓,SI
17,华安期货,4820,336.0,2026-05-06,SI2609,多单持仓,SI
18,天富期货,4784,89.0,2026-05-06,SI2609,多单持仓,SI
19,东吴期货,4663,799.0,2026-05-06,SI2609,多单持仓,SI
20,国联期货,4296,586.0,2026-05-06,SI2609,多单持仓,SI
1,国泰君安期货,29391,2731.0,2026-05-07,SI2609,多单持仓,SI
2,中信期货,19076,-671.0,2026-05-07,SI2609,多单持仓,SI
3,东证期货,14007,-1329.0,2026-05-07,SI2609,多单持仓,SI
4,永安期货,12193,2340.0,2026-05-07,SI2609,多单持仓,SI
5,方正中期,11348,1856.0,2026-05-07,SI2609,多单持仓,SI
6,银河期货,11186,1609.0,2026-05-07,SI2609,多单持仓,SI
7,徽商期货,9122,4092.0,2026-05-07,SI2609,多单持仓,SI
8,中辉期货,8446,3537.0,2026-05-07,SI2609,多单持仓,SI
9,海通期货,8367,448.0,2026-05-07,SI2609,多单持仓,SI
10,广发期货,8100,545.0,2026-05-07,SI2609,多单持仓,SI
11,中信建投,7847,1270.0,2026-05-07,SI2609,多单持仓,SI
12,国信期货,7522,-12.0,2026-05-07,SI2609,多单持仓,SI
13,招商期货,6706,264.0,2026-05-07,SI2609,多单持仓,SI
14,华泰期货,6624,1501.0,2026-05-07,SI2609,多单持仓,SI
15,南华期货,5951,294.0,2026-05-07,SI2609,多单持仓,SI
16,平安期货,5906,1928.0,2026-05-07,SI2609,多单持仓,SI
17,东吴期货,5448,785.0,2026-05-07,SI2609,多单持仓,SI
18,华安期货,5280,460.0,2026-05-07,SI2609,多单持仓,SI
19,申银万国,5223,1432.0,2026-05-07,SI2609,多单持仓,SI
20,光大期货,5222,1785.0,2026-05-07,SI2609,多单持仓,SI
1,国泰君安期货,34335,4944.0,2026-05-08,SI2609,多单持仓,SI
2,中信期货,21776,2700.0,2026-05-08,SI2609,多单持仓,SI
3,东证期货,14617,610.0,2026-05-08,SI2609,多单持仓,SI
4,永安期货,12520,327.0,2026-05-08,SI2609,多单持仓,SI
5,银河期货,10454,-732.0,2026-05-08,SI2609,多单持仓,SI
6,方正中期,10363,-985.0,2026-05-08,SI2609,多单持仓,SI
7,广发期货,8626,526.0,2026-05-08,SI2609,多单持仓,SI
8,国信期货,8403,881.0,2026-05-08,SI2609,多单持仓,SI
9,中辉期货,8189,-257.0,2026-05-08,SI2609,多单持仓,SI
10,华泰期货,7741,1117.0,2026-05-08,SI2609,多单持仓,SI
11,中信建投,6957,-890.0,2026-05-08,SI2609,多单持仓,SI
12,招商期货,6854,148.0,2026-05-08,SI2609,多单持仓,SI
13,平安期货,6574,668.0,2026-05-08,SI2609,多单持仓,SI
14,海通期货,6548,-1819.0,2026-05-08,SI2609,多单持仓,SI
15,徽商期货,6064,-3058.0,2026-05-08,SI2609,多单持仓,SI
16,一德期货,6007,1482.0,2026-05-08,SI2609,多单持仓,SI
17,中金财富期货,5964,2429.0,2026-05-08,SI2609,多单持仓,SI
18,南华期货,5691,-260.0,2026-05-08,SI2609,多单持仓,SI
19,华安期货,5470,190.0,2026-05-08,SI2609,多单持仓,SI
20,山东齐盛期货,5409,402.0,2026-05-08,SI2609,多单持仓,SI
