排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安期货,50173,5997.0,2026-05-06,SI2609,空单持仓,SI
2,东证期货,21543,5055.0,2026-05-06,SI2609,空单持仓,SI
3,银河期货,21233,3035.0,2026-05-06,SI2609,空单持仓,SI
4,中信期货,20389,-1664.0,2026-05-06,SI2609,空单持仓,SI
5,浙商期货,18583,6911.0,2026-05-06,SI2609,空单持仓,SI
6,华泰期货,15056,2789.0,2026-05-06,SI2609,空单持仓,SI
7,创元期货,14500,1314.0,2026-05-06,SI2609,空单持仓,SI
8,海证期货,6935,74.0,2026-05-06,SI2609,空单持仓,SI
9,方正中期,6668,1530.0,2026-05-06,SI2609,空单持仓,SI
10,一德期货,6637,1444.0,2026-05-06,SI2609,空单持仓,SI
11,中泰期货,5817,-21.0,2026-05-06,SI2609,空单持仓,SI
12,永安期货,5583,1202.0,2026-05-06,SI2609,空单持仓,SI
13,申银万国,5433,1609.0,2026-05-06,SI2609,空单持仓,SI
14,中信建投,4856,-5677.0,2026-05-06,SI2609,空单持仓,SI
15,瑞达期货,4812,917.0,2026-05-06,SI2609,空单持仓,SI
16,招商期货,4459,58.0,2026-05-06,SI2609,空单持仓,SI
17,广发期货,4390,1495.0,2026-05-06,SI2609,空单持仓,SI
18,物产中大期货,4155,1317.0,2026-05-06,SI2609,空单持仓,SI
19,中金财富期货,4115,-321.0,2026-05-06,SI2609,空单持仓,SI
20,国贸期货,4031,441.0,2026-05-06,SI2609,空单持仓,SI
1,国泰君安期货,56593,6420.0,2026-05-07,SI2609,空单持仓,SI
2,浙商期货,27119,8536.0,2026-05-07,SI2609,空单持仓,SI
3,东证期货,24278,2735.0,2026-05-07,SI2609,空单持仓,SI
4,银河期货,23161,1928.0,2026-05-07,SI2609,空单持仓,SI
5,中信期货,18355,-2034.0,2026-05-07,SI2609,空单持仓,SI
6,华泰期货,18119,3063.0,2026-05-07,SI2609,空单持仓,SI
7,创元期货,16723,2223.0,2026-05-07,SI2609,空单持仓,SI
8,海证期货,8636,1701.0,2026-05-07,SI2609,空单持仓,SI
9,方正中期,8011,1343.0,2026-05-07,SI2609,空单持仓,SI
10,永安期货,7886,2303.0,2026-05-07,SI2609,空单持仓,SI
11,广发期货,7543,3153.0,2026-05-07,SI2609,空单持仓,SI
12,申银万国,7088,1655.0,2026-05-07,SI2609,空单持仓,SI
13,一德期货,7066,429.0,2026-05-07,SI2609,空单持仓,SI
14,中泰期货,6136,319.0,2026-05-07,SI2609,空单持仓,SI
15,瑞达期货,5553,741.0,2026-05-07,SI2609,空单持仓,SI
16,中信建投,5498,642.0,2026-05-07,SI2609,空单持仓,SI
17,物产中大期货,5193,1038.0,2026-05-07,SI2609,空单持仓,SI
18,五矿期货,4836,2949.0,2026-05-07,SI2609,空单持仓,SI
19,国贸期货,4787,756.0,2026-05-07,SI2609,空单持仓,SI
20,宏源期货,4514,720.0,2026-05-07,SI2609,空单持仓,SI
1,国泰君安期货,59095,2502.0,2026-05-08,SI2609,空单持仓,SI
2,浙商期货,28760,1641.0,2026-05-08,SI2609,空单持仓,SI
3,银河期货,25728,2567.0,2026-05-08,SI2609,空单持仓,SI
4,东证期货,19529,-4749.0,2026-05-08,SI2609,空单持仓,SI
5,中信期货,17899,-456.0,2026-05-08,SI2609,空单持仓,SI
6,华泰期货,15650,-2469.0,2026-05-08,SI2609,空单持仓,SI
7,创元期货,14953,-1770.0,2026-05-08,SI2609,空单持仓,SI
8,永安期货,9110,1224.0,2026-05-08,SI2609,空单持仓,SI
9,海证期货,9047,411.0,2026-05-08,SI2609,空单持仓,SI
10,一德期货,8599,1533.0,2026-05-08,SI2609,空单持仓,SI
11,方正中期,8271,260.0,2026-05-08,SI2609,空单持仓,SI
12,广发期货,8096,553.0,2026-05-08,SI2609,空单持仓,SI
13,申银万国,7744,656.0,2026-05-08,SI2609,空单持仓,SI
14,中泰期货,6813,677.0,2026-05-08,SI2609,空单持仓,SI
15,中信建投,6720,1222.0,2026-05-08,SI2609,空单持仓,SI
16,瑞达期货,5899,346.0,2026-05-08,SI2609,空单持仓,SI
17,物产中大期货,5555,362.0,2026-05-08,SI2609,空单持仓,SI
18,五矿期货,4782,-54.0,2026-05-08,SI2609,空单持仓,SI
19,中财期货,4758,321.0,2026-05-08,SI2609,空单持仓,SI
20,东吴期货,4676,301.0,2026-05-08,SI2609,空单持仓,SI
