排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,93210,20105.0,2026-05-06,SI2609,成交量,SI
2,国泰君安期货,87193,15916.0,2026-05-06,SI2609,成交量,SI
3,东证期货,39537,146.0,2026-05-06,SI2609,成交量,SI
4,华闻期货,36208,7254.0,2026-05-06,SI2609,成交量,SI
5,广发期货,30214,12427.0,2026-05-06,SI2609,成交量,SI
6,海通期货,25460,-5150.0,2026-05-06,SI2609,成交量,SI
7,浙商期货,23104,9284.0,2026-05-06,SI2609,成交量,SI
8,中信建投,20618,13655.0,2026-05-06,SI2609,成交量,SI
9,中泰期货,18418,4749.0,2026-05-06,SI2609,成交量,SI
10,银河期货,11897,2460.0,2026-05-06,SI2609,成交量,SI
11,中辉期货,8879,4836.0,2026-05-06,SI2609,成交量,SI
12,华泰期货,8439,2218.0,2026-05-06,SI2609,成交量,SI
13,方正中期,8316,2583.0,2026-05-06,SI2609,成交量,SI
14,国信期货,7597,4169.0,2026-05-06,SI2609,成交量,SI
15,南华期货,6932,309.0,2026-05-06,SI2609,成交量,SI
16,五矿期货,6870,693.0,2026-05-06,SI2609,成交量,SI
17,徽商期货,6385,1294.0,2026-05-06,SI2609,成交量,SI
18,招商期货,5106,3327.0,2026-05-06,SI2609,成交量,SI
19,东吴期货,5054,2307.0,2026-05-06,SI2609,成交量,SI
20,渤海期货,4925,2154.0,2026-05-06,SI2609,成交量,SI
1,中信期货,187545,94335.0,2026-05-07,SI2609,成交量,SI
2,国泰君安期货,151723,64530.0,2026-05-07,SI2609,成交量,SI
3,东证期货,79474,39937.0,2026-05-07,SI2609,成交量,SI
4,广发期货,64354,34140.0,2026-05-07,SI2609,成交量,SI
5,华闻期货,54343,18135.0,2026-05-07,SI2609,成交量,SI
6,海通期货,48997,23537.0,2026-05-07,SI2609,成交量,SI
7,浙商期货,39100,15996.0,2026-05-07,SI2609,成交量,SI
8,中泰期货,26007,7589.0,2026-05-07,SI2609,成交量,SI
9,五矿期货,22810,15940.0,2026-05-07,SI2609,成交量,SI
10,徽商期货,22666,16281.0,2026-05-07,SI2609,成交量,SI
11,银河期货,22275,10378.0,2026-05-07,SI2609,成交量,SI
12,方正中期,17677,9361.0,2026-05-07,SI2609,成交量,SI
13,中信建投,17392,-3226.0,2026-05-07,SI2609,成交量,SI
14,华泰期货,17318,8879.0,2026-05-07,SI2609,成交量,SI
15,东吴期货,14047,8993.0,2026-05-07,SI2609,成交量,SI
16,中辉期货,13852,4973.0,2026-05-07,SI2609,成交量,SI
17,永安期货,12693,9352.0,2026-05-07,SI2609,成交量,SI
18,申银万国,12507,7657.0,2026-05-07,SI2609,成交量,SI
19,平安期货,12346,8781.0,2026-05-07,SI2609,成交量,SI
20,国信期货,12150,4553.0,2026-05-07,SI2609,成交量,SI
1,中信期货,145094,-42451.0,2026-05-08,SI2609,成交量,SI
2,国泰君安期货,131722,-20001.0,2026-05-08,SI2609,成交量,SI
3,东证期货,71493,-7981.0,2026-05-08,SI2609,成交量,SI
4,华闻期货,50175,-4168.0,2026-05-08,SI2609,成交量,SI
5,广发期货,49419,-14935.0,2026-05-08,SI2609,成交量,SI
6,海通期货,48278,-719.0,2026-05-08,SI2609,成交量,SI
7,浙商期货,33708,-5392.0,2026-05-08,SI2609,成交量,SI
8,银河期货,23495,1220.0,2026-05-08,SI2609,成交量,SI
9,中辉期货,17676,3824.0,2026-05-08,SI2609,成交量,SI
10,徽商期货,16650,-6016.0,2026-05-08,SI2609,成交量,SI
11,永安期货,15657,2964.0,2026-05-08,SI2609,成交量,SI
12,五矿期货,15421,-7389.0,2026-05-08,SI2609,成交量,SI
13,中信建投,15376,-2016.0,2026-05-08,SI2609,成交量,SI
14,中泰期货,14762,-11245.0,2026-05-08,SI2609,成交量,SI
15,方正中期,14219,-3458.0,2026-05-08,SI2609,成交量,SI
16,华泰期货,13966,-3352.0,2026-05-08,SI2609,成交量,SI
17,中财期货,13315,4336.0,2026-05-08,SI2609,成交量,SI
18,申银万国,11373,-1134.0,2026-05-08,SI2609,成交量,SI
19,东方财富期货,11229,-591.0,2026-05-08,SI2609,成交量,SI
20,东吴期货,11220,-2827.0,2026-05-08,SI2609,成交量,SI
