排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,37184,-528.0,2026-05-06,SM2607,多单持仓,SM
2,东证期货,19041,-1053.0,2026-05-06,SM2607,多单持仓,SM
3,华泰期货,17065,1384.0,2026-05-06,SM2607,多单持仓,SM
4,国泰君安,16697,1693.0,2026-05-06,SM2607,多单持仓,SM
5,永安期货,16501,-1134.0,2026-05-06,SM2607,多单持仓,SM
6,五矿期货,12329,1309.0,2026-05-06,SM2607,多单持仓,SM
7,国投期货,11802,395.0,2026-05-06,SM2607,多单持仓,SM
8,中信建投,11269,1484.0,2026-05-06,SM2607,多单持仓,SM
9,浙商期货,10182,-143.0,2026-05-06,SM2607,多单持仓,SM
10,创元期货,10011,64.0,2026-05-06,SM2607,多单持仓,SM
11,信达期货,7587,-146.0,2026-05-06,SM2607,多单持仓,SM
12,银河期货,7456,1598.0,2026-05-06,SM2607,多单持仓,SM
13,招商期货,7351,-55.0,2026-05-06,SM2607,多单持仓,SM
14,申银万国,6518,910.0,2026-05-06,SM2607,多单持仓,SM
15,南华期货,6318,198.0,2026-05-06,SM2607,多单持仓,SM
16,瑞达期货,6256,-83.0,2026-05-06,SM2607,多单持仓,SM
17,锦泰期货,5818,720.0,2026-05-06,SM2607,多单持仓,SM
18,中粮期货,5388,52.0,2026-05-06,SM2607,多单持仓,SM
19,广发期货,4551,44.0,2026-05-06,SM2607,多单持仓,SM
20,融达期货,4483,384.0,2026-05-06,SM2607,多单持仓,SM
1,中信期货,40972,3788.0,2026-05-07,SM2607,多单持仓,SM
2,华泰期货,22052,4987.0,2026-05-07,SM2607,多单持仓,SM
3,国泰君安,20218,3521.0,2026-05-07,SM2607,多单持仓,SM
4,东证期货,19494,453.0,2026-05-07,SM2607,多单持仓,SM
5,永安期货,17773,1272.0,2026-05-07,SM2607,多单持仓,SM
6,中信建投,15818,4549.0,2026-05-07,SM2607,多单持仓,SM
7,五矿期货,13421,1092.0,2026-05-07,SM2607,多单持仓,SM
8,国投期货,12372,570.0,2026-05-07,SM2607,多单持仓,SM
9,创元期货,10975,964.0,2026-05-07,SM2607,多单持仓,SM
10,浙商期货,10212,30.0,2026-05-07,SM2607,多单持仓,SM
11,招商期货,8112,761.0,2026-05-07,SM2607,多单持仓,SM
12,银河期货,7875,419.0,2026-05-07,SM2607,多单持仓,SM
13,申银万国,7612,1094.0,2026-05-07,SM2607,多单持仓,SM
14,信达期货,7578,-9.0,2026-05-07,SM2607,多单持仓,SM
15,南华期货,6464,146.0,2026-05-07,SM2607,多单持仓,SM
16,瑞达期货,6267,11.0,2026-05-07,SM2607,多单持仓,SM
17,锦泰期货,6118,300.0,2026-05-07,SM2607,多单持仓,SM
18,中粮期货,5510,122.0,2026-05-07,SM2607,多单持仓,SM
19,平安期货,5116,1325.0,2026-05-07,SM2607,多单持仓,SM
20,一德期货,4817,586.0,2026-05-07,SM2607,多单持仓,SM
1,中信期货,41069,97.0,2026-05-08,SM2607,多单持仓,SM
2,东证期货,21740,2246.0,2026-05-08,SM2607,多单持仓,SM
3,国泰君安,21507,1289.0,2026-05-08,SM2607,多单持仓,SM
4,永安期货,19263,1490.0,2026-05-08,SM2607,多单持仓,SM
5,华泰期货,17961,-4091.0,2026-05-08,SM2607,多单持仓,SM
6,中信建投,16924,1106.0,2026-05-08,SM2607,多单持仓,SM
7,国投期货,14453,2081.0,2026-05-08,SM2607,多单持仓,SM
8,五矿期货,13776,355.0,2026-05-08,SM2607,多单持仓,SM
9,浙商期货,11259,1047.0,2026-05-08,SM2607,多单持仓,SM
10,创元期货,11127,152.0,2026-05-08,SM2607,多单持仓,SM
11,申银万国,9129,1517.0,2026-05-08,SM2607,多单持仓,SM
12,银河期货,9105,1230.0,2026-05-08,SM2607,多单持仓,SM
13,招商期货,8098,-14.0,2026-05-08,SM2607,多单持仓,SM
14,信达期货,7493,-85.0,2026-05-08,SM2607,多单持仓,SM
15,瑞达期货,6605,338.0,2026-05-08,SM2607,多单持仓,SM
16,南华期货,6597,133.0,2026-05-08,SM2607,多单持仓,SM
17,锦泰期货,6108,-10.0,2026-05-08,SM2607,多单持仓,SM
18,中粮期货,5523,13.0,2026-05-08,SM2607,多单持仓,SM
19,平安期货,5228,112.0,2026-05-08,SM2607,多单持仓,SM
20,一德期货,5021,204.0,2026-05-08,SM2607,多单持仓,SM
