排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,36289,2238.0,2026-05-06,SM2607,空单持仓,SM
2,东证期货,35976,2984.0,2026-05-06,SM2607,空单持仓,SM
3,永安期货,19009,-1567.0,2026-05-06,SM2607,空单持仓,SM
4,国泰君安,18701,308.0,2026-05-06,SM2607,空单持仓,SM
5,华泰期货,14066,306.0,2026-05-06,SM2607,空单持仓,SM
6,中信建投,10728,1382.0,2026-05-06,SM2607,空单持仓,SM
7,浙商期货,10053,-394.0,2026-05-06,SM2607,空单持仓,SM
8,乾坤期货,9804,335.0,2026-05-06,SM2607,空单持仓,SM
9,五矿期货,9652,1665.0,2026-05-06,SM2607,空单持仓,SM
10,银河期货,9173,701.0,2026-05-06,SM2607,空单持仓,SM
11,国投期货,8671,271.0,2026-05-06,SM2607,空单持仓,SM
12,申银万国,8516,1779.0,2026-05-06,SM2607,空单持仓,SM
13,中金财富,8350,1015.0,2026-05-06,SM2607,空单持仓,SM
14,招商期货,7402,93.0,2026-05-06,SM2607,空单持仓,SM
15,南华期货,6727,20.0,2026-05-06,SM2607,空单持仓,SM
16,广发期货,6543,211.0,2026-05-06,SM2607,空单持仓,SM
17,锦泰期货,5960,684.0,2026-05-06,SM2607,空单持仓,SM
18,瑞达期货,4980,300.0,2026-05-06,SM2607,空单持仓,SM
19,中财期货,4952,32.0,2026-05-06,SM2607,空单持仓,SM
20,平安期货,4594,-271.0,2026-05-06,SM2607,空单持仓,SM
1,中信期货,38180,1891.0,2026-05-07,SM2607,空单持仓,SM
2,东证期货,29225,-6751.0,2026-05-07,SM2607,空单持仓,SM
3,国泰君安,23516,4815.0,2026-05-07,SM2607,空单持仓,SM
4,永安期货,21404,2395.0,2026-05-07,SM2607,空单持仓,SM
5,乾坤期货,15026,5222.0,2026-05-07,SM2607,空单持仓,SM
6,华泰期货,14841,775.0,2026-05-07,SM2607,空单持仓,SM
7,中信建投,14611,3883.0,2026-05-07,SM2607,空单持仓,SM
8,中金财富,11436,3086.0,2026-05-07,SM2607,空单持仓,SM
9,银河期货,10285,1112.0,2026-05-07,SM2607,空单持仓,SM
10,申银万国,10136,1620.0,2026-05-07,SM2607,空单持仓,SM
11,浙商期货,10066,13.0,2026-05-07,SM2607,空单持仓,SM
12,国投期货,9775,1104.0,2026-05-07,SM2607,空单持仓,SM
13,五矿期货,9530,-122.0,2026-05-07,SM2607,空单持仓,SM
14,招商期货,7860,458.0,2026-05-07,SM2607,空单持仓,SM
15,南华期货,6924,197.0,2026-05-07,SM2607,空单持仓,SM
16,广发期货,6862,319.0,2026-05-07,SM2607,空单持仓,SM
17,锦泰期货,6263,303.0,2026-05-07,SM2607,空单持仓,SM
18,瑞达期货,5995,1015.0,2026-05-07,SM2607,空单持仓,SM
19,平安期货,5324,730.0,2026-05-07,SM2607,空单持仓,SM
20,宏源期货,4848,716.0,2026-05-07,SM2607,空单持仓,SM
1,中信期货,38900,720.0,2026-05-08,SM2607,空单持仓,SM
2,东证期货,30332,1107.0,2026-05-08,SM2607,空单持仓,SM
3,国泰君安,25022,1506.0,2026-05-08,SM2607,空单持仓,SM
4,永安期货,23375,1971.0,2026-05-08,SM2607,空单持仓,SM
5,乾坤期货,20743,5717.0,2026-05-08,SM2607,空单持仓,SM
6,华泰期货,15495,654.0,2026-05-08,SM2607,空单持仓,SM
7,中信建投,14231,-380.0,2026-05-08,SM2607,空单持仓,SM
8,国投期货,12044,2269.0,2026-05-08,SM2607,空单持仓,SM
9,中金财富,11923,487.0,2026-05-08,SM2607,空单持仓,SM
10,浙商期货,10687,621.0,2026-05-08,SM2607,空单持仓,SM
11,银河期货,10497,212.0,2026-05-08,SM2607,空单持仓,SM
12,五矿期货,10061,531.0,2026-05-08,SM2607,空单持仓,SM
13,申银万国,8310,-1826.0,2026-05-08,SM2607,空单持仓,SM
14,招商期货,7955,95.0,2026-05-08,SM2607,空单持仓,SM
15,广发期货,7239,377.0,2026-05-08,SM2607,空单持仓,SM
16,南华期货,6924,0.0,2026-05-08,SM2607,空单持仓,SM
17,瑞达期货,6518,523.0,2026-05-08,SM2607,空单持仓,SM
18,锦泰期货,6253,-10.0,2026-05-08,SM2607,空单持仓,SM
19,平安期货,6155,831.0,2026-05-08,SM2607,空单持仓,SM
20,宏源期货,4425,-423.0,2026-05-08,SM2607,空单持仓,SM
