排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,32022,-7200.0,2026-05-06,SM2607,成交量,SM
2,东证期货,25369,-3278.0,2026-05-06,SM2607,成交量,SM
3,国泰君安,23385,770.0,2026-05-06,SM2607,成交量,SM
4,华泰期货,18846,-5594.0,2026-05-06,SM2607,成交量,SM
5,银河期货,16143,3076.0,2026-05-06,SM2607,成交量,SM
6,国投期货,15296,-11015.0,2026-05-06,SM2607,成交量,SM
7,南华期货,14212,-9223.0,2026-05-06,SM2607,成交量,SM
8,中信建投,11414,-860.0,2026-05-06,SM2607,成交量,SM
9,华闻期货,11188,-1283.0,2026-05-06,SM2607,成交量,SM
10,浙商期货,9707,-4133.0,2026-05-06,SM2607,成交量,SM
11,光大期货,7200,-310.0,2026-05-06,SM2607,成交量,SM
12,招商期货,7166,1635.0,2026-05-06,SM2607,成交量,SM
13,海通期货,5912,-371.0,2026-05-06,SM2607,成交量,SM
14,永安期货,5537,-1952.0,2026-05-06,SM2607,成交量,SM
15,五矿期货,5150,-5570.0,2026-05-06,SM2607,成交量,SM
16,中辉期货,4188,1393.0,2026-05-06,SM2607,成交量,SM
17,申银万国,3539,-3597.0,2026-05-06,SM2607,成交量,SM
18,国信期货,3517,590.0,2026-05-06,SM2607,成交量,SM
19,方正中期,2987,-206.0,2026-05-06,SM2607,成交量,SM
20,华西期货,2956,-1534.0,2026-05-06,SM2607,成交量,SM
1,东证期货,72238,46869.0,2026-05-07,SM2607,成交量,SM
2,国泰君安,52046,28661.0,2026-05-07,SM2607,成交量,SM
3,中信期货,51775,19753.0,2026-05-07,SM2607,成交量,SM
4,华泰期货,33296,14450.0,2026-05-07,SM2607,成交量,SM
5,银河期货,28843,12700.0,2026-05-07,SM2607,成交量,SM
6,华闻期货,22326,11138.0,2026-05-07,SM2607,成交量,SM
7,浙商期货,17489,7782.0,2026-05-07,SM2607,成交量,SM
8,海通期货,15802,9890.0,2026-05-07,SM2607,成交量,SM
9,招商期货,14033,6867.0,2026-05-07,SM2607,成交量,SM
10,中信建投,13990,2576.0,2026-05-07,SM2607,成交量,SM
11,南华期货,11333,-2879.0,2026-05-07,SM2607,成交量,SM
12,国投期货,9810,-5486.0,2026-05-07,SM2607,成交量,SM
13,国贸期货,8441,5789.0,2026-05-07,SM2607,成交量,SM
14,光大期货,8408,1208.0,2026-05-07,SM2607,成交量,SM
15,国信期货,7771,4254.0,2026-05-07,SM2607,成交量,SM
16,永安期货,7465,1928.0,2026-05-07,SM2607,成交量,SM
17,中辉期货,7042,2854.0,2026-05-07,SM2607,成交量,SM
18,五矿期货,6816,1666.0,2026-05-07,SM2607,成交量,SM
19,徽商期货,6724,3879.0,2026-05-07,SM2607,成交量,SM
20,华西期货,6702,3746.0,2026-05-07,SM2607,成交量,SM
1,浙商期货,37544,20055.0,2026-05-08,SM2607,成交量,SM
2,中信期货,36887,-14888.0,2026-05-08,SM2607,成交量,SM
3,国泰君安,33111,-18935.0,2026-05-08,SM2607,成交量,SM
4,东证期货,29413,-42825.0,2026-05-08,SM2607,成交量,SM
5,国投期货,29102,19292.0,2026-05-08,SM2607,成交量,SM
6,申银万国,26083,21973.0,2026-05-08,SM2607,成交量,SM
7,华泰期货,23421,-9875.0,2026-05-08,SM2607,成交量,SM
8,银河期货,20530,-8313.0,2026-05-08,SM2607,成交量,SM
9,南华期货,17839,6506.0,2026-05-08,SM2607,成交量,SM
10,中信建投,15218,1228.0,2026-05-08,SM2607,成交量,SM
11,锦泰期货,13174,8933.0,2026-05-08,SM2607,成交量,SM
12,华闻期货,10838,-11488.0,2026-05-08,SM2607,成交量,SM
13,招商期货,10713,-3320.0,2026-05-08,SM2607,成交量,SM
14,海通期货,8255,-7547.0,2026-05-08,SM2607,成交量,SM
15,光大期货,7635,-773.0,2026-05-08,SM2607,成交量,SM
16,乾坤期货,5894,-335.0,2026-05-08,SM2607,成交量,SM
17,永安期货,5667,-1798.0,2026-05-08,SM2607,成交量,SM
18,华西期货,5570,-1132.0,2026-05-08,SM2607,成交量,SM
19,五矿期货,5230,-1586.0,2026-05-08,SM2607,成交量,SM
20,广发期货,5020,-1539.0,2026-05-08,SM2607,成交量,SM
