排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,5499,1565.0,2026-05-06,sn2606,多单持仓,SN
2,中信期货,4007,15.0,2026-05-06,sn2606,多单持仓,SN
3,东证期货,3397,680.0,2026-05-06,sn2606,多单持仓,SN
4,瑞达期货,1952,764.0,2026-05-06,sn2606,多单持仓,SN
5,永安期货,1784,535.0,2026-05-06,sn2606,多单持仓,SN
6,银河期货,1363,92.0,2026-05-06,sn2606,多单持仓,SN
7,中金财富,1234,210.0,2026-05-06,sn2606,多单持仓,SN
8,华泰期货,1224,232.0,2026-05-06,sn2606,多单持仓,SN
9,广发期货,1141,440.0,2026-05-06,sn2606,多单持仓,SN
10,平安期货,1086,126.0,2026-05-06,sn2606,多单持仓,SN
11,方正中期,1031,389.0,2026-05-06,sn2606,多单持仓,SN
12,海通期货,1023,432.0,2026-05-06,sn2606,多单持仓,SN
13,中信建投,984,153.0,2026-05-06,sn2606,多单持仓,SN
14,中粮期货,829,330.0,2026-05-06,sn2606,多单持仓,SN
15,南华期货,813,-277.0,2026-05-06,sn2606,多单持仓,SN
16,东吴期货,778,332.0,2026-05-06,sn2606,多单持仓,SN
17,东海期货,712,-48.0,2026-05-06,sn2606,多单持仓,SN
18,国投期货,668,109.0,2026-05-06,sn2606,多单持仓,SN
19,中泰期货,588,30.0,2026-05-06,sn2606,多单持仓,SN
20,光大期货,577,161.0,2026-05-06,sn2606,多单持仓,SN
1,国泰君安,5581,82.0,2026-05-07,sn2606,多单持仓,SN
2,中信期货,4224,217.0,2026-05-07,sn2606,多单持仓,SN
3,东证期货,3115,-282.0,2026-05-07,sn2606,多单持仓,SN
4,永安期货,2172,388.0,2026-05-07,sn2606,多单持仓,SN
5,瑞达期货,1939,-13.0,2026-05-07,sn2606,多单持仓,SN
6,华泰期货,1433,209.0,2026-05-07,sn2606,多单持仓,SN
7,银河期货,1395,32.0,2026-05-07,sn2606,多单持仓,SN
8,中金财富,1260,26.0,2026-05-07,sn2606,多单持仓,SN
9,中信建投,1130,146.0,2026-05-07,sn2606,多单持仓,SN
10,平安期货,1103,17.0,2026-05-07,sn2606,多单持仓,SN
11,东吴期货,1078,300.0,2026-05-07,sn2606,多单持仓,SN
12,方正中期,1053,22.0,2026-05-07,sn2606,多单持仓,SN
13,中粮期货,938,109.0,2026-05-07,sn2606,多单持仓,SN
14,广发期货,915,-226.0,2026-05-07,sn2606,多单持仓,SN
15,海通期货,861,-162.0,2026-05-07,sn2606,多单持仓,SN
16,光大期货,812,235.0,2026-05-07,sn2606,多单持仓,SN
17,南华期货,754,-59.0,2026-05-07,sn2606,多单持仓,SN
18,国投期货,724,56.0,2026-05-07,sn2606,多单持仓,SN
19,东海期货,695,-17.0,2026-05-07,sn2606,多单持仓,SN
20,新湖期货,628,279.0,2026-05-07,sn2606,多单持仓,SN
1,国泰君安,5997,416.0,2026-05-08,sn2606,多单持仓,SN
2,中信期货,4441,217.0,2026-05-08,sn2606,多单持仓,SN
3,东证期货,3275,160.0,2026-05-08,sn2606,多单持仓,SN
4,永安期货,2404,232.0,2026-05-08,sn2606,多单持仓,SN
5,瑞达期货,1787,-152.0,2026-05-08,sn2606,多单持仓,SN
6,华泰期货,1375,-58.0,2026-05-08,sn2606,多单持仓,SN
7,中金财富,1304,44.0,2026-05-08,sn2606,多单持仓,SN
8,银河期货,1298,-97.0,2026-05-08,sn2606,多单持仓,SN
9,平安期货,1159,56.0,2026-05-08,sn2606,多单持仓,SN
10,中信建投,1088,-42.0,2026-05-08,sn2606,多单持仓,SN
11,东吴期货,1048,-30.0,2026-05-08,sn2606,多单持仓,SN
12,东亚期货,966,349.0,2026-05-08,sn2606,多单持仓,SN
13,中粮期货,958,20.0,2026-05-08,sn2606,多单持仓,SN
14,海通期货,900,39.0,2026-05-08,sn2606,多单持仓,SN
15,广发期货,883,-32.0,2026-05-08,sn2606,多单持仓,SN
16,南华期货,864,110.0,2026-05-08,sn2606,多单持仓,SN
17,东海期货,842,147.0,2026-05-08,sn2606,多单持仓,SN
18,光大期货,814,2.0,2026-05-08,sn2606,多单持仓,SN
19,方正中期,805,-248.0,2026-05-08,sn2606,多单持仓,SN
20,国投期货,704,-20.0,2026-05-08,sn2606,多单持仓,SN
