排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,4811,429.0,2026-05-06,sn2606,空单持仓,SN
2,中信期货,4608,1097.0,2026-05-06,sn2606,空单持仓,SN
3,银河期货,2939,420.0,2026-05-06,sn2606,空单持仓,SN
4,东证期货,2585,602.0,2026-05-06,sn2606,空单持仓,SN
5,广发期货,1997,574.0,2026-05-06,sn2606,空单持仓,SN
6,中信建投,1978,711.0,2026-05-06,sn2606,空单持仓,SN
7,方正中期,1743,484.0,2026-05-06,sn2606,空单持仓,SN
8,东海期货,1660,137.0,2026-05-06,sn2606,空单持仓,SN
9,海证期货,1423,135.0,2026-05-06,sn2606,空单持仓,SN
10,光大期货,1331,130.0,2026-05-06,sn2606,空单持仓,SN
11,南华期货,1185,72.0,2026-05-06,sn2606,空单持仓,SN
12,金瑞期货,1069,189.0,2026-05-06,sn2606,空单持仓,SN
13,中泰期货,924,498.0,2026-05-06,sn2606,空单持仓,SN
14,大有期货,896,197.0,2026-05-06,sn2606,空单持仓,SN
15,瑞达期货,884,256.0,2026-05-06,sn2606,空单持仓,SN
16,国投期货,829,433.0,2026-05-06,sn2606,空单持仓,SN
17,东方财富,721,422.0,2026-05-06,sn2606,空单持仓,SN
18,华泰期货,660,221.0,2026-05-06,sn2606,空单持仓,SN
19,中粮期货,646,71.0,2026-05-06,sn2606,空单持仓,SN
20,兴证期货,606,-180.0,2026-05-06,sn2606,空单持仓,SN
1,中信期货,5172,564.0,2026-05-07,sn2606,空单持仓,SN
2,国泰君安,5061,250.0,2026-05-07,sn2606,空单持仓,SN
3,银河期货,2768,-171.0,2026-05-07,sn2606,空单持仓,SN
4,东证期货,2467,-118.0,2026-05-07,sn2606,空单持仓,SN
5,中信建投,2404,426.0,2026-05-07,sn2606,空单持仓,SN
6,广发期货,2136,139.0,2026-05-07,sn2606,空单持仓,SN
7,方正中期,1892,149.0,2026-05-07,sn2606,空单持仓,SN
8,东海期货,1678,18.0,2026-05-07,sn2606,空单持仓,SN
9,海证期货,1594,171.0,2026-05-07,sn2606,空单持仓,SN
10,光大期货,1314,-17.0,2026-05-07,sn2606,空单持仓,SN
11,中泰期货,1265,341.0,2026-05-07,sn2606,空单持仓,SN
12,南华期货,1237,52.0,2026-05-07,sn2606,空单持仓,SN
13,金瑞期货,1107,38.0,2026-05-07,sn2606,空单持仓,SN
14,国投期货,944,115.0,2026-05-07,sn2606,空单持仓,SN
15,瑞达期货,910,26.0,2026-05-07,sn2606,空单持仓,SN
16,大有期货,815,-81.0,2026-05-07,sn2606,空单持仓,SN
17,华泰期货,779,119.0,2026-05-07,sn2606,空单持仓,SN
18,中粮期货,702,56.0,2026-05-07,sn2606,空单持仓,SN
19,国贸期货,699,113.0,2026-05-07,sn2606,空单持仓,SN
20,兴证期货,672,66.0,2026-05-07,sn2606,空单持仓,SN
1,中信期货,5402,230.0,2026-05-08,sn2606,空单持仓,SN
2,国泰君安,5381,320.0,2026-05-08,sn2606,空单持仓,SN
3,银河期货,2776,8.0,2026-05-08,sn2606,空单持仓,SN
4,东证期货,2541,74.0,2026-05-08,sn2606,空单持仓,SN
5,中信建投,2511,107.0,2026-05-08,sn2606,空单持仓,SN
6,方正中期,2207,315.0,2026-05-08,sn2606,空单持仓,SN
7,广发期货,2095,-41.0,2026-05-08,sn2606,空单持仓,SN
8,海证期货,1782,188.0,2026-05-08,sn2606,空单持仓,SN
9,东海期货,1655,-23.0,2026-05-08,sn2606,空单持仓,SN
10,光大期货,1349,35.0,2026-05-08,sn2606,空单持仓,SN
11,中泰期货,1260,-5.0,2026-05-08,sn2606,空单持仓,SN
12,南华期货,1244,7.0,2026-05-08,sn2606,空单持仓,SN
13,金瑞期货,1096,-11.0,2026-05-08,sn2606,空单持仓,SN
14,瑞达期货,978,68.0,2026-05-08,sn2606,空单持仓,SN
15,国投期货,938,-6.0,2026-05-08,sn2606,空单持仓,SN
16,大有期货,821,6.0,2026-05-08,sn2606,空单持仓,SN
17,中粮期货,717,15.0,2026-05-08,sn2606,空单持仓,SN
18,东方财富,680,42.0,2026-05-08,sn2606,空单持仓,SN
19,兴证期货,655,-17.0,2026-05-08,sn2606,空单持仓,SN
20,新湖期货,654,174.0,2026-05-08,sn2606,空单持仓,SN
