排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,60218,7677.0,2026-05-06,sn2606,成交量,SN
2,中信期货,35164,-639.0,2026-05-06,sn2606,成交量,SN
3,东证期货,17540,3701.0,2026-05-06,sn2606,成交量,SN
4,广发期货,15350,-486.0,2026-05-06,sn2606,成交量,SN
5,银河期货,12294,-2199.0,2026-05-06,sn2606,成交量,SN
6,海通期货,10803,-1506.0,2026-05-06,sn2606,成交量,SN
7,华泰期货,10153,-2177.0,2026-05-06,sn2606,成交量,SN
8,中泰期货,9578,1266.0,2026-05-06,sn2606,成交量,SN
9,渤海期货,9280,1334.0,2026-05-06,sn2606,成交量,SN
10,华闻期货,8728,1518.0,2026-05-06,sn2606,成交量,SN
11,中信建投,7568,-1615.0,2026-05-06,sn2606,成交量,SN
12,东方财富,6425,-3463.0,2026-05-06,sn2606,成交量,SN
13,方正中期,6019,-1364.0,2026-05-06,sn2606,成交量,SN
14,东吴期货,6015,2671.0,2026-05-06,sn2606,成交量,SN
15,徽商期货,5913,-2645.0,2026-05-06,sn2606,成交量,SN
16,宝城期货,5227,1148.0,2026-05-06,sn2606,成交量,SN
17,瑞达期货,5226,-2186.0,2026-05-06,sn2606,成交量,SN
18,国信期货,5028,-3320.0,2026-05-06,sn2606,成交量,SN
19,中辉期货,4305,1073.0,2026-05-06,sn2606,成交量,SN
20,招商期货,4212,1389.0,2026-05-06,sn2606,成交量,SN
1,国泰君安,89176,28958.0,2026-05-07,sn2606,成交量,SN
2,中信期货,50161,14997.0,2026-05-07,sn2606,成交量,SN
3,东证期货,30274,12734.0,2026-05-07,sn2606,成交量,SN
4,广发期货,26647,11297.0,2026-05-07,sn2606,成交量,SN
5,银河期货,23841,11547.0,2026-05-07,sn2606,成交量,SN
6,华泰期货,18384,8231.0,2026-05-07,sn2606,成交量,SN
7,徽商期货,17876,11963.0,2026-05-07,sn2606,成交量,SN
8,东方财富,16777,10352.0,2026-05-07,sn2606,成交量,SN
9,渤海期货,16525,7245.0,2026-05-07,sn2606,成交量,SN
10,海通期货,15537,4734.0,2026-05-07,sn2606,成交量,SN
11,国信期货,14948,9920.0,2026-05-07,sn2606,成交量,SN
12,中信建投,14946,7378.0,2026-05-07,sn2606,成交量,SN
13,中泰期货,14833,5255.0,2026-05-07,sn2606,成交量,SN
14,华闻期货,12182,3454.0,2026-05-07,sn2606,成交量,SN
15,方正中期,12129,6110.0,2026-05-07,sn2606,成交量,SN
16,宝城期货,9812,4585.0,2026-05-07,sn2606,成交量,SN
17,瑞达期货,8881,3655.0,2026-05-07,sn2606,成交量,SN
18,东吴期货,8811,2796.0,2026-05-07,sn2606,成交量,SN
19,中辉期货,7363,3058.0,2026-05-07,sn2606,成交量,SN
20,创元期货,7100,3939.0,2026-05-07,sn2606,成交量,SN
1,国泰君安,83084,-6092.0,2026-05-08,sn2606,成交量,SN
2,中信期货,42293,-7868.0,2026-05-08,sn2606,成交量,SN
3,东证期货,27332,-2942.0,2026-05-08,sn2606,成交量,SN
4,银河期货,20723,-3118.0,2026-05-08,sn2606,成交量,SN
5,广发期货,19485,-7162.0,2026-05-08,sn2606,成交量,SN
6,华泰期货,17910,-474.0,2026-05-08,sn2606,成交量,SN
7,海通期货,17038,1501.0,2026-05-08,sn2606,成交量,SN
8,渤海期货,15589,-936.0,2026-05-08,sn2606,成交量,SN
9,东方财富,15448,-1329.0,2026-05-08,sn2606,成交量,SN
10,徽商期货,15307,-2569.0,2026-05-08,sn2606,成交量,SN
11,中信建投,14087,-859.0,2026-05-08,sn2606,成交量,SN
12,国信期货,12988,-1960.0,2026-05-08,sn2606,成交量,SN
13,中泰期货,11522,-3311.0,2026-05-08,sn2606,成交量,SN
14,华闻期货,11421,-761.0,2026-05-08,sn2606,成交量,SN
15,方正中期,10453,-1676.0,2026-05-08,sn2606,成交量,SN
16,瑞达期货,8724,-157.0,2026-05-08,sn2606,成交量,SN
17,宝城期货,8513,-1299.0,2026-05-08,sn2606,成交量,SN
18,东吴期货,7084,-1727.0,2026-05-08,sn2606,成交量,SN
19,创元期货,6910,-190.0,2026-05-08,sn2606,成交量,SN
20,宏源期货,6195,-222.0,2026-05-08,sn2606,成交量,SN
