排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,20764,62.0,2026-05-06,sp2609,多单持仓,SP
2,东证期货,11023,293.0,2026-05-06,sp2609,多单持仓,SP
3,中信期货,10395,494.0,2026-05-06,sp2609,多单持仓,SP
4,永安期货,10262,-563.0,2026-05-06,sp2609,多单持仓,SP
5,银河期货,8737,-28.0,2026-05-06,sp2609,多单持仓,SP
6,广发期货,7418,-39.0,2026-05-06,sp2609,多单持仓,SP
7,中财期货,7163,82.0,2026-05-06,sp2609,多单持仓,SP
8,华泰期货,7135,-477.0,2026-05-06,sp2609,多单持仓,SP
9,光大期货,5872,702.0,2026-05-06,sp2609,多单持仓,SP
10,徽商期货,5492,329.0,2026-05-06,sp2609,多单持仓,SP
11,浙商期货,5468,-339.0,2026-05-06,sp2609,多单持仓,SP
12,申万期货,5403,-142.0,2026-05-06,sp2609,多单持仓,SP
13,中信建投,5152,48.0,2026-05-06,sp2609,多单持仓,SP
14,大地期货,4570,310.0,2026-05-06,sp2609,多单持仓,SP
15,瑞达期货,4414,-5.0,2026-05-06,sp2609,多单持仓,SP
16,南华期货,4220,213.0,2026-05-06,sp2609,多单持仓,SP
17,国联期货,4187,119.0,2026-05-06,sp2609,多单持仓,SP
18,新湖期货,3873,-501.0,2026-05-06,sp2609,多单持仓,SP
19,方正中期,3849,-666.0,2026-05-06,sp2609,多单持仓,SP
20,国投期货,3797,40.0,2026-05-06,sp2609,多单持仓,SP
1,国泰君安,19927,-837.0,2026-05-07,sp2609,多单持仓,SP
2,东证期货,10659,-364.0,2026-05-07,sp2609,多单持仓,SP
3,永安期货,9732,-530.0,2026-05-07,sp2609,多单持仓,SP
4,中信期货,9719,-676.0,2026-05-07,sp2609,多单持仓,SP
5,银河期货,9284,547.0,2026-05-07,sp2609,多单持仓,SP
6,华泰期货,8653,1518.0,2026-05-07,sp2609,多单持仓,SP
7,广发期货,8190,772.0,2026-05-07,sp2609,多单持仓,SP
8,中财期货,7571,408.0,2026-05-07,sp2609,多单持仓,SP
9,徽商期货,6659,1167.0,2026-05-07,sp2609,多单持仓,SP
10,浙商期货,6132,664.0,2026-05-07,sp2609,多单持仓,SP
11,光大期货,6076,204.0,2026-05-07,sp2609,多单持仓,SP
12,中信建投,5998,846.0,2026-05-07,sp2609,多单持仓,SP
13,申万期货,5949,546.0,2026-05-07,sp2609,多单持仓,SP
14,大地期货,4898,328.0,2026-05-07,sp2609,多单持仓,SP
15,瑞达期货,4648,234.0,2026-05-07,sp2609,多单持仓,SP
16,新湖期货,4556,683.0,2026-05-07,sp2609,多单持仓,SP
17,国信期货,4431,710.0,2026-05-07,sp2609,多单持仓,SP
18,方正中期,4333,484.0,2026-05-07,sp2609,多单持仓,SP
19,南华期货,4325,105.0,2026-05-07,sp2609,多单持仓,SP
20,国联期货,4290,103.0,2026-05-07,sp2609,多单持仓,SP
1,国泰君安,18795,-1132.0,2026-05-08,sp2609,多单持仓,SP
2,东证期货,11240,581.0,2026-05-08,sp2609,多单持仓,SP
3,银河期货,10978,1694.0,2026-05-08,sp2609,多单持仓,SP
4,永安期货,9232,-500.0,2026-05-08,sp2609,多单持仓,SP
5,中信期货,9004,-715.0,2026-05-08,sp2609,多单持仓,SP
6,华泰期货,8932,279.0,2026-05-08,sp2609,多单持仓,SP
7,广发期货,8730,540.0,2026-05-08,sp2609,多单持仓,SP
8,中财期货,6463,-1108.0,2026-05-08,sp2609,多单持仓,SP
9,申万期货,6227,278.0,2026-05-08,sp2609,多单持仓,SP
10,浙商期货,6116,-16.0,2026-05-08,sp2609,多单持仓,SP
11,中信建投,6091,93.0,2026-05-08,sp2609,多单持仓,SP
12,徽商期货,5917,-742.0,2026-05-08,sp2609,多单持仓,SP
13,瑞达期货,5260,612.0,2026-05-08,sp2609,多单持仓,SP
14,方正中期,4702,369.0,2026-05-08,sp2609,多单持仓,SP
15,大地期货,4659,-239.0,2026-05-08,sp2609,多单持仓,SP
16,国信期货,4468,37.0,2026-05-08,sp2609,多单持仓,SP
17,南华期货,4290,-35.0,2026-05-08,sp2609,多单持仓,SP
18,新湖期货,4177,-379.0,2026-05-08,sp2609,多单持仓,SP
19,国投期货,3955,-147.0,2026-05-08,sp2609,多单持仓,SP
20,国联期货,3816,-474.0,2026-05-08,sp2609,多单持仓,SP
