排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,34289,490.0,2026-05-06,sp2609,空单持仓,SP
2,国泰君安,23815,-772.0,2026-05-06,sp2609,空单持仓,SP
3,东证期货,20612,1372.0,2026-05-06,sp2609,空单持仓,SP
4,中金财富,12796,-149.0,2026-05-06,sp2609,空单持仓,SP
5,银河期货,11153,1327.0,2026-05-06,sp2609,空单持仓,SP
6,瑞达期货,10351,288.0,2026-05-06,sp2609,空单持仓,SP
7,乾坤期货,10137,1790.0,2026-05-06,sp2609,空单持仓,SP
8,华泰期货,9401,144.0,2026-05-06,sp2609,空单持仓,SP
9,永安期货,7590,399.0,2026-05-06,sp2609,空单持仓,SP
10,广发期货,6750,67.0,2026-05-06,sp2609,空单持仓,SP
11,平安期货,6014,-366.0,2026-05-06,sp2609,空单持仓,SP
12,国贸期货,5985,-1.0,2026-05-06,sp2609,空单持仓,SP
13,浙商期货,5631,133.0,2026-05-06,sp2609,空单持仓,SP
14,招商期货,4192,211.0,2026-05-06,sp2609,空单持仓,SP
15,中信建投,4121,-451.0,2026-05-06,sp2609,空单持仓,SP
16,光大期货,3911,-22.0,2026-05-06,sp2609,空单持仓,SP
17,海通期货,3355,267.0,2026-05-06,sp2609,空单持仓,SP
18,宏源期货,3209,-866.0,2026-05-06,sp2609,空单持仓,SP
19,新湖期货,3067,406.0,2026-05-06,sp2609,空单持仓,SP
20,国元期货,2879,-138.0,2026-05-06,sp2609,空单持仓,SP
1,中信期货,34290,1.0,2026-05-07,sp2609,空单持仓,SP
2,国泰君安,27717,3902.0,2026-05-07,sp2609,空单持仓,SP
3,东证期货,27197,6585.0,2026-05-07,sp2609,空单持仓,SP
4,中金财富,13164,368.0,2026-05-07,sp2609,空单持仓,SP
5,银河期货,12522,1369.0,2026-05-07,sp2609,空单持仓,SP
6,瑞达期货,10944,593.0,2026-05-07,sp2609,空单持仓,SP
7,乾坤期货,10195,58.0,2026-05-07,sp2609,空单持仓,SP
8,华泰期货,8708,-693.0,2026-05-07,sp2609,空单持仓,SP
9,永安期货,7123,-467.0,2026-05-07,sp2609,空单持仓,SP
10,广发期货,6632,-118.0,2026-05-07,sp2609,空单持仓,SP
11,国贸期货,6046,61.0,2026-05-07,sp2609,空单持仓,SP
12,平安期货,5870,-144.0,2026-05-07,sp2609,空单持仓,SP
13,招商期货,4617,425.0,2026-05-07,sp2609,空单持仓,SP
14,海通期货,4148,793.0,2026-05-07,sp2609,空单持仓,SP
15,光大期货,4078,167.0,2026-05-07,sp2609,空单持仓,SP
16,华源期货,3912,1663.0,2026-05-07,sp2609,空单持仓,SP
17,中信建投,3682,-439.0,2026-05-07,sp2609,空单持仓,SP
18,浙商期货,3533,-2098.0,2026-05-07,sp2609,空单持仓,SP
19,宏源期货,3424,215.0,2026-05-07,sp2609,空单持仓,SP
20,中辉期货,3075,341.0,2026-05-07,sp2609,空单持仓,SP
1,中信期货,35180,890.0,2026-05-08,sp2609,空单持仓,SP
2,国泰君安,25970,-1747.0,2026-05-08,sp2609,空单持仓,SP
3,东证期货,25278,-1919.0,2026-05-08,sp2609,空单持仓,SP
4,银河期货,14172,1650.0,2026-05-08,sp2609,空单持仓,SP
5,中金财富,12558,-606.0,2026-05-08,sp2609,空单持仓,SP
6,乾坤期货,10334,139.0,2026-05-08,sp2609,空单持仓,SP
7,瑞达期货,9846,-1098.0,2026-05-08,sp2609,空单持仓,SP
8,华泰期货,8298,-410.0,2026-05-08,sp2609,空单持仓,SP
9,国贸期货,6527,481.0,2026-05-08,sp2609,空单持仓,SP
10,广发期货,6416,-216.0,2026-05-08,sp2609,空单持仓,SP
11,平安期货,5632,-238.0,2026-05-08,sp2609,空单持仓,SP
12,永安期货,5204,-1919.0,2026-05-08,sp2609,空单持仓,SP
13,招商期货,4185,-432.0,2026-05-08,sp2609,空单持仓,SP
14,海通期货,4100,-48.0,2026-05-08,sp2609,空单持仓,SP
15,光大期货,4013,-65.0,2026-05-08,sp2609,空单持仓,SP
16,中辉期货,3550,475.0,2026-05-08,sp2609,空单持仓,SP
17,中信建投,3506,-176.0,2026-05-08,sp2609,空单持仓,SP
18,大地期货,3388,1172.0,2026-05-08,sp2609,空单持仓,SP
19,宏源期货,3120,-304.0,2026-05-08,sp2609,空单持仓,SP
20,中泰期货,3116,255.0,2026-05-08,sp2609,空单持仓,SP
