排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,72116,-9730.0,2026-05-06,sp2609,成交量,SP
2,中信期货,35682,-15138.0,2026-05-06,sp2609,成交量,SP
3,东证期货,25783,-13015.0,2026-05-06,sp2609,成交量,SP
4,华泰期货,17299,3807.0,2026-05-06,sp2609,成交量,SP
5,浙商期货,10682,-1860.0,2026-05-06,sp2609,成交量,SP
6,银河期货,10041,-633.0,2026-05-06,sp2609,成交量,SP
7,广发期货,5010,-2128.0,2026-05-06,sp2609,成交量,SP
8,瑞达期货,4759,420.0,2026-05-06,sp2609,成交量,SP
9,中信建投,4223,-1020.0,2026-05-06,sp2609,成交量,SP
10,宏源期货,4046,-821.0,2026-05-06,sp2609,成交量,SP
11,徽商期货,3961,-2794.0,2026-05-06,sp2609,成交量,SP
12,方正中期,3929,-1038.0,2026-05-06,sp2609,成交量,SP
13,平安期货,3188,248.0,2026-05-06,sp2609,成交量,SP
14,华闻期货,2998,-1340.0,2026-05-06,sp2609,成交量,SP
15,海通期货,2937,-1176.0,2026-05-06,sp2609,成交量,SP
16,国信期货,2734,-1773.0,2026-05-06,sp2609,成交量,SP
17,东吴期货,2630,-608.0,2026-05-06,sp2609,成交量,SP
18,中辉期货,2575,-457.0,2026-05-06,sp2609,成交量,SP
19,中泰期货,2473,-864.0,2026-05-06,sp2609,成交量,SP
20,永安期货,2386,-293.0,2026-05-06,sp2609,成交量,SP
1,国泰君安,108183,36067.0,2026-05-07,sp2609,成交量,SP
2,中信期货,59779,24097.0,2026-05-07,sp2609,成交量,SP
3,东证期货,47125,21342.0,2026-05-07,sp2609,成交量,SP
4,华泰期货,24531,7232.0,2026-05-07,sp2609,成交量,SP
5,银河期货,15540,5499.0,2026-05-07,sp2609,成交量,SP
6,浙商期货,13900,3218.0,2026-05-07,sp2609,成交量,SP
7,徽商期货,8458,4497.0,2026-05-07,sp2609,成交量,SP
8,广发期货,6994,1984.0,2026-05-07,sp2609,成交量,SP
9,中信建投,6527,2304.0,2026-05-07,sp2609,成交量,SP
10,中泰期货,5957,3484.0,2026-05-07,sp2609,成交量,SP
11,华闻期货,5210,2212.0,2026-05-07,sp2609,成交量,SP
12,海通期货,5056,2119.0,2026-05-07,sp2609,成交量,SP
13,宏源期货,5034,988.0,2026-05-07,sp2609,成交量,SP
14,国信期货,4914,2180.0,2026-05-07,sp2609,成交量,SP
15,东方财富,4826,2566.0,2026-05-07,sp2609,成交量,SP
16,创元期货,4575,2973.0,2026-05-07,sp2609,成交量,SP
17,永安期货,4385,1999.0,2026-05-07,sp2609,成交量,SP
18,方正中期,4314,385.0,2026-05-07,sp2609,成交量,SP
19,中辉期货,4296,1721.0,2026-05-07,sp2609,成交量,SP
20,华安期货,3916,2674.0,2026-05-07,sp2609,成交量,SP
1,国泰君安,204313,96130.0,2026-05-08,sp2609,成交量,SP
2,中信期货,98929,39150.0,2026-05-08,sp2609,成交量,SP
3,东证期货,65452,18327.0,2026-05-08,sp2609,成交量,SP
4,华泰期货,49417,24886.0,2026-05-08,sp2609,成交量,SP
5,银河期货,28476,12936.0,2026-05-08,sp2609,成交量,SP
6,浙商期货,23980,10080.0,2026-05-08,sp2609,成交量,SP
7,中泰期货,21579,15622.0,2026-05-08,sp2609,成交量,SP
8,华闻期货,20678,15468.0,2026-05-08,sp2609,成交量,SP
9,广发期货,15464,8470.0,2026-05-08,sp2609,成交量,SP
10,徽商期货,13299,4841.0,2026-05-08,sp2609,成交量,SP
11,中信建投,11587,5060.0,2026-05-08,sp2609,成交量,SP
12,海通期货,10231,5175.0,2026-05-08,sp2609,成交量,SP
13,瑞达期货,9990,6713.0,2026-05-08,sp2609,成交量,SP
14,宏源期货,8652,3618.0,2026-05-08,sp2609,成交量,SP
15,光大期货,8222,5561.0,2026-05-08,sp2609,成交量,SP
16,永安期货,8207,3822.0,2026-05-08,sp2609,成交量,SP
17,东吴期货,7289,3426.0,2026-05-08,sp2609,成交量,SP
18,方正中期,7261,2947.0,2026-05-08,sp2609,成交量,SP
19,东方财富,7233,2407.0,2026-05-08,sp2609,成交量,SP
20,国信期货,7191,2277.0,2026-05-08,sp2609,成交量,SP
