排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,42921,2272.0,2026-05-06,SR2609,多单持仓,SR
2,东证期货,35627,842.0,2026-05-06,SR2609,多单持仓,SR
3,中粮期货,34855,1702.0,2026-05-06,SR2609,多单持仓,SR
4,银河期货,34058,3591.0,2026-05-06,SR2609,多单持仓,SR
5,国泰君安,26158,4356.0,2026-05-06,SR2609,多单持仓,SR
6,华泰期货,22561,-2768.0,2026-05-06,SR2609,多单持仓,SR
7,光大期货,16957,1419.0,2026-05-06,SR2609,多单持仓,SR
8,广发期货,16121,1714.0,2026-05-06,SR2609,多单持仓,SR
9,中信建投,15876,2974.0,2026-05-06,SR2609,多单持仓,SR
10,永安期货,15626,772.0,2026-05-06,SR2609,多单持仓,SR
11,平安期货,13635,762.0,2026-05-06,SR2609,多单持仓,SR
12,国投期货,13320,45.0,2026-05-06,SR2609,多单持仓,SR
13,创元期货,13282,1057.0,2026-05-06,SR2609,多单持仓,SR
14,中泰期货,11310,243.0,2026-05-06,SR2609,多单持仓,SR
15,西部期货,11191,51.0,2026-05-06,SR2609,多单持仓,SR
16,宏源期货,11099,11.0,2026-05-06,SR2609,多单持仓,SR
17,东吴期货,9588,560.0,2026-05-06,SR2609,多单持仓,SR
18,国信期货,9545,2205.0,2026-05-06,SR2609,多单持仓,SR
19,方正中期,9456,1432.0,2026-05-06,SR2609,多单持仓,SR
20,民生期货,8726,1007.0,2026-05-06,SR2609,多单持仓,SR
1,中信期货,44841,1920.0,2026-05-07,SR2609,多单持仓,SR
2,东证期货,39901,4274.0,2026-05-07,SR2609,多单持仓,SR
3,中粮期货,34762,-93.0,2026-05-07,SR2609,多单持仓,SR
4,银河期货,32321,-1737.0,2026-05-07,SR2609,多单持仓,SR
5,国泰君安,26660,502.0,2026-05-07,SR2609,多单持仓,SR
6,华泰期货,19851,-2710.0,2026-05-07,SR2609,多单持仓,SR
7,中信建投,16345,469.0,2026-05-07,SR2609,多单持仓,SR
8,永安期货,15787,161.0,2026-05-07,SR2609,多单持仓,SR
9,广发期货,15746,-375.0,2026-05-07,SR2609,多单持仓,SR
10,光大期货,15453,-1504.0,2026-05-07,SR2609,多单持仓,SR
11,创元期货,13772,490.0,2026-05-07,SR2609,多单持仓,SR
12,国投期货,13070,-250.0,2026-05-07,SR2609,多单持仓,SR
13,平安期货,12581,-1054.0,2026-05-07,SR2609,多单持仓,SR
14,西部期货,11155,-36.0,2026-05-07,SR2609,多单持仓,SR
15,宏源期货,11080,-19.0,2026-05-07,SR2609,多单持仓,SR
16,中泰期货,10447,-863.0,2026-05-07,SR2609,多单持仓,SR
17,中财期货,9879,1327.0,2026-05-07,SR2609,多单持仓,SR
18,东吴期货,9614,26.0,2026-05-07,SR2609,多单持仓,SR
19,瑞达期货,8361,922.0,2026-05-07,SR2609,多单持仓,SR
20,方正中期,8285,-1171.0,2026-05-07,SR2609,多单持仓,SR
1,中信期货,42524,-2317.0,2026-05-08,SR2609,多单持仓,SR
2,东证期货,39409,-492.0,2026-05-08,SR2609,多单持仓,SR
3,中粮期货,32612,-2150.0,2026-05-08,SR2609,多单持仓,SR
4,银河期货,32544,223.0,2026-05-08,SR2609,多单持仓,SR
5,国泰君安,26750,90.0,2026-05-08,SR2609,多单持仓,SR
6,华泰期货,20034,183.0,2026-05-08,SR2609,多单持仓,SR
7,中信建投,18538,2193.0,2026-05-08,SR2609,多单持仓,SR
8,广发期货,17245,1499.0,2026-05-08,SR2609,多单持仓,SR
9,永安期货,15919,132.0,2026-05-08,SR2609,多单持仓,SR
10,光大期货,14717,-736.0,2026-05-08,SR2609,多单持仓,SR
11,国投期货,14693,1623.0,2026-05-08,SR2609,多单持仓,SR
12,平安期货,13525,944.0,2026-05-08,SR2609,多单持仓,SR
13,创元期货,13392,-380.0,2026-05-08,SR2609,多单持仓,SR
14,宏源期货,11714,634.0,2026-05-08,SR2609,多单持仓,SR
15,西部期货,10672,-483.0,2026-05-08,SR2609,多单持仓,SR
16,中泰期货,10034,-413.0,2026-05-08,SR2609,多单持仓,SR
17,东吴期货,9827,213.0,2026-05-08,SR2609,多单持仓,SR
18,中财期货,9543,-336.0,2026-05-08,SR2609,多单持仓,SR
19,中金财富,8344,1071.0,2026-05-08,SR2609,多单持仓,SR
20,方正中期,8293,8.0,2026-05-08,SR2609,多单持仓,SR
