排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中粮期货,89898,4733.0,2026-05-06,SR2609,空单持仓,SR
2,乾坤期货,80116,-2294.0,2026-05-06,SR2609,空单持仓,SR
3,中信期货,64185,3183.0,2026-05-06,SR2609,空单持仓,SR
4,东证期货,52019,3615.0,2026-05-06,SR2609,空单持仓,SR
5,永安期货,24273,1128.0,2026-05-06,SR2609,空单持仓,SR
6,华泰期货,23907,3766.0,2026-05-06,SR2609,空单持仓,SR
7,银河期货,23336,-609.0,2026-05-06,SR2609,空单持仓,SR
8,中金财富,22984,151.0,2026-05-06,SR2609,空单持仓,SR
9,浙商期货,21475,319.0,2026-05-06,SR2609,空单持仓,SR
10,国泰君安,21292,1912.0,2026-05-06,SR2609,空单持仓,SR
11,融达期货,12927,894.0,2026-05-06,SR2609,空单持仓,SR
12,宏源期货,12339,378.0,2026-05-06,SR2609,空单持仓,SR
13,国投期货,11241,-1179.0,2026-05-06,SR2609,空单持仓,SR
14,瑞达期货,10681,1206.0,2026-05-06,SR2609,空单持仓,SR
15,大地期货,9787,648.0,2026-05-06,SR2609,空单持仓,SR
16,光大期货,9475,303.0,2026-05-06,SR2609,空单持仓,SR
17,华金期货,9021,2707.0,2026-05-06,SR2609,空单持仓,SR
18,首创京都期货,7271,-1053.0,2026-05-06,SR2609,空单持仓,SR
19,一德期货,6546,34.0,2026-05-06,SR2609,空单持仓,SR
20,广发期货,6020,1204.0,2026-05-06,SR2609,空单持仓,SR
1,中粮期货,91209,1311.0,2026-05-07,SR2609,空单持仓,SR
2,乾坤期货,80581,465.0,2026-05-07,SR2609,空单持仓,SR
3,中信期货,60460,-3725.0,2026-05-07,SR2609,空单持仓,SR
4,东证期货,47493,-4526.0,2026-05-07,SR2609,空单持仓,SR
5,永安期货,26864,2591.0,2026-05-07,SR2609,空单持仓,SR
6,华泰期货,25338,1431.0,2026-05-07,SR2609,空单持仓,SR
7,浙商期货,23875,2400.0,2026-05-07,SR2609,空单持仓,SR
8,银河期货,21700,-1636.0,2026-05-07,SR2609,空单持仓,SR
9,国泰君安,21334,42.0,2026-05-07,SR2609,空单持仓,SR
10,中金财富,21199,-1785.0,2026-05-07,SR2609,空单持仓,SR
11,融达期货,13089,162.0,2026-05-07,SR2609,空单持仓,SR
12,宏源期货,12746,407.0,2026-05-07,SR2609,空单持仓,SR
13,国投期货,10867,-374.0,2026-05-07,SR2609,空单持仓,SR
14,大地期货,10081,294.0,2026-05-07,SR2609,空单持仓,SR
15,光大期货,9802,327.0,2026-05-07,SR2609,空单持仓,SR
16,华金期货,9665,644.0,2026-05-07,SR2609,空单持仓,SR
17,瑞达期货,9224,-1457.0,2026-05-07,SR2609,空单持仓,SR
18,首创京都期货,7056,-215.0,2026-05-07,SR2609,空单持仓,SR
19,一德期货,6677,131.0,2026-05-07,SR2609,空单持仓,SR
20,中辉期货,5817,397.0,2026-05-07,SR2609,空单持仓,SR
1,中粮期货,92860,1651.0,2026-05-08,SR2609,空单持仓,SR
2,乾坤期货,73219,-7362.0,2026-05-08,SR2609,空单持仓,SR
3,中信期货,63588,3128.0,2026-05-08,SR2609,空单持仓,SR
4,东证期货,49244,1751.0,2026-05-08,SR2609,空单持仓,SR
5,永安期货,27127,263.0,2026-05-08,SR2609,空单持仓,SR
6,国泰君安,26794,5460.0,2026-05-08,SR2609,空单持仓,SR
7,华泰期货,24774,-564.0,2026-05-08,SR2609,空单持仓,SR
8,浙商期货,24631,756.0,2026-05-08,SR2609,空单持仓,SR
9,中金财富,22354,1155.0,2026-05-08,SR2609,空单持仓,SR
10,银河期货,22190,490.0,2026-05-08,SR2609,空单持仓,SR
11,融达期货,13308,219.0,2026-05-08,SR2609,空单持仓,SR
12,宏源期货,13023,277.0,2026-05-08,SR2609,空单持仓,SR
13,国投期货,11961,1094.0,2026-05-08,SR2609,空单持仓,SR
14,大地期货,10715,634.0,2026-05-08,SR2609,空单持仓,SR
15,光大期货,10155,353.0,2026-05-08,SR2609,空单持仓,SR
16,华金期货,9657,-8.0,2026-05-08,SR2609,空单持仓,SR
17,首创京都期货,7334,278.0,2026-05-08,SR2609,空单持仓,SR
18,一德期货,6947,270.0,2026-05-08,SR2609,空单持仓,SR
19,瑞达期货,6915,-2309.0,2026-05-08,SR2609,空单持仓,SR
20,中辉期货,6123,306.0,2026-05-08,SR2609,空单持仓,SR
